sample_id	GFP1_9_mapped_reads	total_reads	mapped_pct
DIC1_S21_L002	589	26830020	0
DIC2_S22_L002	709	28154991	0
DIC3_S23_L002	643	31132663	0
DIC4_S24_L002	300	29563948	0
DIT1_S5_L001	41990	29811911	0
DIT2_S6_L001	70266	25774667	0
DIT3_S7_L001	51721	29918163	0
DIT4_S8_L001	25180	28853148	0
DIT5_S9_L001	25029	28619889	0
DMC1_S18_L002	89	23024624	0
DMC2_S19_L002	68	25530872	0
DMC3_S20_L002	16	25068422	0
PIC1_S14_L002	42961	31778580	0
PIC2_S15_L002	34372	34985498	0
PIC3_S16_L002	33560	35920885	0
PIC4_S17_L002	26991	28681463	0
PIT1_S3_L001	409875	36496352	1
PIT2_S1_L001	229418	34561905	0
PIT3_S2_L001	261061	33311103	0
PIT4_S3_L001	309997	30211339	1
PIT5_S4_L001	261981	30739208	0
PMC1_S10_L001	31523	26817776	0
PMC2_S11_L001	44499	34180905	0
PMC3_S12_L001	37798	32689246	0
PMC4_S13_L002	37716	29593023	0
PMT1_S10_L002	183132	25702332	0
PMT2_S11_L002	229769	28186590	0
PMT3_S12_L002	237417	29282076	0
PMT4_S13_L002	222199	28411841	0
PMT5_S14_L002	112494	29459675	0
