"Geneid","IM-206","IM-207","IM-208","H-107","H-108","H-109","H-110"
"AT1G01010",44,43,42,307,328,221,247
"AT1G01020",145,149,149,127,143,156,175
"AT1G03987",0,0,0,0,0,0,1
"AT1G01030",63,42,16,25,13,11,17
"AT1G01040",573,624,575,729,678,897,866
"AT1G03993",0,0,0,0,0,0,0
"AT1G01046",8,8,2,4,9,6,8
"AT1G01050",574,575,741,843,756,651,930
"AT1G03997",0,0,0,0,0,0,0
"AT1G01060",5622,1769,28,4716,3064,266,2355
"AT1G01070",131,108,21,110,122,97,104
"AT1G04003",0,0,0,0,0,0,0
"AT1G01080",764,747,1403,295,291,443,412
"AT1G01090",1770,2194,2121,1425,1382,1128,1471
"AT1G01100",1963,2316,2213,1570,1958,2081,2428
"AT1G01110",38,31,35,24,19,16,25
"AT1G01120",2832,2259,460,506,518,441,411
"AT1G01130",27,48,16,17,16,17,22
"AT1G01140",1894,1472,571,2883,2379,1789,3412
"AT1G01150",3,2,4,2,1,1,7
"AT1G01160",224,212,205,211,225,239,314
"AT1G04007",5,7,5,7,7,4,5
"AT1G01170",265,208,257,157,140,140,181
"AT1G04013",3,3,3,2,4,2,2
"AT1G01180",310,186,109,285,263,232,339
"AT1G08765",2,8,4,2,0,0,4
"AT1G01183",0,0,0,0,0,0,0
"AT1G01190",30,53,119,19,13,47,48
"AT1G01200",16,29,14,7,11,4,19
"AT1G01210",61,85,111,69,88,100,100
"AT1G04017",0,0,0,0,0,0,0
"AT1G01220",330,362,638,295,249,319,359
"AT1G04023",0,0,0,0,0,0,0
"AT1G01225",34,31,33,25,18,20,33
"AT1G01230",313,282,341,319,354,416,443
"AT1G01240",624,701,304,583,725,913,833
"AT1G01250",24,38,68,15,16,1,15
"AT1G01260",216,224,202,227,198,246,201
"AT1G01270",0,0,0,0,0,0,0
"AT1G01280",0,0,0,0,0,0,0
"AT1G01290",136,129,116,170,161,171,195
"AT1G01300",383,669,1094,412,421,614,488
"AT1G01305",0,0,0,0,0,0,0
"AT1G01310",0,0,3,0,1,1,2
"AT1G01320",3395,3605,5967,4524,4744,4754,4861
"AT1G01335",0,0,0,1,0,0,0
"AT1G01340",144,72,67,1013,918,865,735
"AT1G01350",201,220,213,279,258,282,253
"AT1G01355",2,2,1,3,2,2,1
"AT1G01360",229,159,177,184,142,130,181
"AT1G01370",18,46,70,39,31,43,38
"AT1G01380",25,16,24,15,16,2,7
"AT1G01390",49,37,69,37,27,17,42
"AT1G01400",0,0,0,0,0,0,0
"AT1G01410",0,0,0,0,0,0,0
"AT1G01420",114,75,192,147,136,85,166
"AT1G01430",1551,1252,752,485,476,532,669
"AT1G01440",315,315,283,429,380,419,459
"AT1G01448",75,58,71,42,48,66,63
"AT1G01450",0,0,0,0,0,0,0
"AT1G01453",0,2,1,3,9,13,3
"AT1G01460",3,0,0,0,0,0,0
"AT1G01470",1983,2109,2979,2581,3018,2854,2982
"AT1G01480",34,11,5,80,162,161,123
"AT1G01490",1157,783,419,815,845,858,915
"AT1G01500",119,198,385,233,250,274,295
"AT1G01510",435,461,482,342,353,434,481
"AT1G01520",38,16,3,93,67,9,94
"AT1G01530",0,0,0,5,1,3,2
"AT1G01540",1175,1423,853,496,603,902,654
"AT1G01550",1799,1665,1456,2587,2434,3127,2930
"AT1G01560",115,34,46,874,849,1457,1084
"AT1G01570",29,28,16,8,10,19,22
"AT1G01580",31,25,11,45,26,11,33
"AT1G01590",4,5,2,2,2,0,0
"AT1G01600",96,197,113,83,89,121,109
"AT1G01610",960,746,690,474,448,366,496
"AT1G01620",9335,8190,2613,1764,1592,1846,1907
"AT1G01630",715,817,650,613,560,678,822
"AT1G01640",17,15,21,28,42,37,26
"AT1G01650",550,493,591,886,895,916,865
"AT1G04027",5,2,6,8,9,7,9
"AT1G01660",21,15,14,16,42,23,31
"AT1G01670",20,18,24,30,48,43,63
"AT1G01680",68,23,3,620,517,644,594
"AT1G01690",39,51,83,42,41,45,38
"AT1G01695",7,8,6,6,6,3,5
"AT1G08775",0,0,0,0,0,0,0
"AT1G04033",0,0,0,0,0,0,0
"AT1G04037",10,8,11,9,8,10,21
"AT1G01700",27,33,20,14,22,16,19
"AT1G01710",457,469,424,479,439,495,499
"AT1G01715",19,27,18,10,17,31,29
"AT1G01720",213,187,142,818,916,556,685
"AT1G04043",0,0,0,0,0,0,0
"AT1G01725",38,23,20,42,49,33,32
"AT1G04047",4,6,4,6,2,6,4
"AT1G01730",249,231,271,574,589,499,624
"AT1G01740",48,46,108,63,72,66,62
"AT1G01750",2,1,1,1,5,5,2
"AT1G04053",0,0,0,0,0,0,0
"AT1G01760",33,30,30,25,27,32,37
"AT1G04057",0,0,0,0,0,0,0
"AT1G01770",207,170,281,180,200,285,177
"AT1G01780",84,80,95,77,130,123,85
"AT1G01790",2215,2416,2737,1105,972,1071,1364
"AT1G04063",0,0,0,0,0,0,0
"AT1G01800",606,499,547,785,715,776,854
"AT1G01810",2,2,2,5,1,3,3
"AT1G01820",615,585,789,864,883,1059,977
"AT1G01830",198,178,296,445,366,243,417
"AT1G04067",0,0,0,0,0,0,0
"AT1G01840",1,2,0,0,0,0,1
"AT1G01860",109,113,157,53,65,62,74
"AT1G04073",0,0,0,0,0,0,0
"AT1G01870",0,0,0,0,0,0,0
"AT1G01880",24,24,25,17,11,21,17
"AT1G01890",0,0,0,0,0,0,0
"AT1G01900",32,48,58,23,19,32,22
"AT1G04077",0,0,0,0,0,0,0
"AT1G01910",420,499,640,498,558,691,627
"AT1G04083",0,1,1,2,0,0,0
"AT1G01920",139,159,164,87,81,138,129
"AT1G01930",184,181,166,138,152,231,206
"AT1G01940",91,100,162,121,124,143,187
"AT1G01950",240,383,205,264,219,296,316
"AT1G01960",944,1060,1344,880,875,1297,1135
"AT1G01970",288,401,600,213,223,241,280
"AT1G01980",0,0,0,0,0,1,0
"AT1G01990",198,252,171,174,183,204,230
"AT1G02000",148,163,123,127,118,104,133
"AT1G02010",128,150,189,125,125,102,158
"AT1G02020",157,166,179,188,171,189,194
"AT1G02030",3,3,2,3,6,1,3
"AT1G02040",0,0,0,0,0,0,1
"AT1G02050",45,33,62,33,57,43,60
"AT1G02060",58,54,64,25,30,49,33
"AT1G02065",20,24,27,23,21,20,15
"AT1G02067",0,0,0,0,0,0,0
"AT1G02070",5,4,4,5,3,4,5
"AT1G02080",1395,1507,1442,1348,1449,1844,1611
"AT1G02090",296,362,397,450,475,481,545
"AT1G02100",376,348,308,534,590,568,629
"AT1G02110",285,325,331,150,149,193,195
"AT1G02120",1050,1047,1086,1897,1852,1782,2020
"AT1G02130",449,505,510,611,610,597,721
"AT1G04087",0,0,0,0,0,0,0
"AT1G02136",0,1,0,0,0,0,0
"AT1G02140",675,889,955,934,953,1067,1215
"AT1G02145",214,245,258,221,232,219,259
"AT1G02150",907,1073,1646,447,511,710,686
"AT1G02160",185,189,241,152,169,202,218
"AT1G02170",502,364,320,802,856,975,954
"AT1G02180",39,50,65,24,30,25,23
"AT1G02190",5,0,1,1,1,0,3
"AT1G02205",357,461,381,226,200,307,260
"AT1G08785",0,0,0,0,0,0,0
"AT1G04093",0,0,0,0,0,0,0
"AT1G02210",0,0,0,0,0,0,0
"AT1G02220",96,41,13,975,1098,624,700
"AT1G02228",0,0,0,0,0,0,0
"AT1G02230",16,9,21,213,212,149,271
"AT1G02250",1,0,0,3,1,2,1
"AT1G02260",222,175,475,266,275,323,287
"AT1G02270",261,364,351,432,403,644,473
"AT1G08795",3,0,0,6,5,9,8
"AT1G02280",859,946,1107,532,547,567,581
"AT1G02290",94,84,90,61,84,87,98
"AT1G02300",289,395,507,214,239,391,299
"AT1G02305",1000,801,730,1539,1486,1331,1358
"AT1G04097",1,0,0,0,0,0,0
"AT1G02310",9,5,2,45,105,71,38
"AT1G04103",0,0,0,0,3,1,0
"AT1G02320",0,0,0,0,0,0,0
"AT1G02330",231,291,241,350,346,362,384
"AT1G02335",150,95,90,61,40,81,65
"AT1G02340",91,176,37,42,35,26,60
"AT1G02350",38,34,29,12,19,21,28
"AT1G04107",235,286,127,60,85,80,106
"AT1G02360",51,24,44,269,285,401,272
"AT1G02370",38,75,82,44,33,80,63
"AT1G02380",148,159,24,61,65,57,45
