sample_id	GFP1_9_mapped_reads	total_reads	mapped_pct
DIC2_S22_L002	533	28154984	0
DIC3_S23_L002	470	31132656	0
DIC4_S24_L002	214	29563942	0
DIT1_S5_L001	31281	29811636	0
DIT2_S6_L001	52631	25774140	0
DIT3_S7_L001	38496	29917858	0
DIT4_S8_L001	18674	28852984	0
DIT5_S9_L001	18635	28619702	0
DMC1_S18_L002	68	23024624	0
DMC2_S19_L002	49	25530872	0
DMC3_S20_L002	7	25068422	0
PIC1_S14_L002	30415	31778120	0
PIC2_S15_L002	24573	34985118	0
PIC3_S16_L002	23941	35920420	0
PIC4_S17_L002	19182	28681204	0
PIT1_S3_L001	293845	36493854	0
PIT2_S1_L001	167427	34560300	0
PIT3_S2_L001	190344	33309352	0
PIT4_S3_L001	226407	30209450	0
PIT5_S4_L001	190866	30737486	0
PMC1_S10_L001	22493	26817372	0
PMC2_S11_L001	31402	34180262	0
PMC3_S12_L001	27177	32688858	0
PMC4_S13_L002	27215	29592716	0
PMT1_S10_L002	130111	25700862	0
PMT2_S11_L002	166197	28184820	0
PMT3_S12_L002	170856	29280496	0
PMT4_S13_L002	160232	28410538	0
PMT5_S14_L002	79969	29458706	0
