,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
ath04626,Organismal Systems,Environmental adaptation,ath04626,Plant-pathogen interaction - Arabidopsis thaliana (thale cress),67/703,215/5536,0.311627906976744,2.45401435707433,8.29314717804562,3.16190245233502e-13,3.85752099184872e-11,2.99548653379107e-11,816436/837430/824241/828455/815949/834473/829855/823902/838832/834244/843997/843936/839523/835341/835008/821036/827114/819251/838470/815862/823956/838506/826427/832170/826725/843998/817575/831091/825806/834842/842710/816235/818429/819253/821037/823964/829980/834966/821005/828520/828457/819252/820235/827896/825809/818931/836753/822147/829480/841591/821717/825804/844385/818710/835726/828283/821586/827826/827311/826541/821676/831123/829685/828151/826409/834561/817625,67
ath04016,Environmental Information Processing,Signal transduction,ath04016,MAPK signaling pathway - plant - Arabidopsis thaliana (thale cress),41/703,144/5536,0.284722222222222,2.24213687371582,5.75975268852109,2.54053687318044e-07,1.54972749264007e-05,1.20341220308547e-05,816436/837430/822298/828455/815949/837082/836040/822119/843916/839324/839523/820429/835008/817143/838506/826725/817575/834469/834842/842710/844164/821902/818429/843609/834470/838652/842650/827896/829103/828714/829480/841591/818710/819614/834509/826407/821676/828151/826409/838330/828713,41
ath00480,Metabolism,Metabolism of other amino acids,ath00480,Glutathione metabolism - Arabidopsis thaliana (thale cress),31/703,102/5536,0.303921568627451,2.39332831283296,5.41653817796534,1.64893793322949e-06,6.7056809284666e-05,5.20717242072471e-05,817496/831800/817495/843328/843329/820083/836368/843799/839515/839295/839479/814822/838288/827931/844169/837465/837304/835392/843864/834076/817491/844174/817498/822003/831150/817715/842652/841805/821163/825483/829042,31
ath04144,Cellular Processes,Transport and catabolism,ath04144,Endocytosis - Arabidopsis thaliana (thale cress),38/703,158/5536,0.240506329113924,1.89394457748888,4.34767244186121,5.27105708876458e-05,0.0016076724120732,0.00124840825786529,829691/831856/831319/819730/839242/820438/834847/818802/826791/831569/826790/820102/828782/826673/820233/831232/818720/841689/826789/820932/816289/824478/825257/842381/827614/842251/838077/815211/837568/829976/836508/825098/843918/822317/825402/820284/828241/832340,38
ath00071,Metabolism,Lipid metabolism,ath00071,Fatty acid degradation - Arabidopsis thaliana (thale cress),15/703,47/5536,0.319148936170213,2.5132411246633,3.97318261516133,0.000458358401845094,0.0111839450050203,0.0086846855086439,832820/841849/842864/814974/819865/842748/819870/828484/819767/827381/817876/837140/821961/836635/827314,15
ath00565,Metabolism,Lipid metabolism,ath00565,Ether lipid metabolism - Arabidopsis thaliana (thale cress),10/703,26/5536,0.384615384615385,3.02877776561987,3.95433472646979,0.000801819600458263,0.0154344881771435,0.0119853661427344,819730/821243/818802/826791/826790/826673/841689/826789/820932/837820,10
ath00520,Metabolism,Carbohydrate metabolism,ath00520,Amino sugar and nucleotide sugar metabolism - Arabidopsis thaliana (thale cress),30/703,133/5536,0.225563909774436,1.77627568209286,3.45583020170244,0.00100592527461797,0.0154344881771435,0.0119853661427344,832474/834475/818959/837112/826696/843027/824608/820429/839942/827725/837111/831298/821995/817426/831419/823794/817697/826833/828492/825458/818066/837189/824280/835258/819902/815007/844193/831513/831402/831926,30
ath00460,Metabolism,Metabolism of other amino acids,ath00460,Cyanoamino acid metabolism - Arabidopsis thaliana (thale cress),19/703,71/5536,0.267605633802817,2.10734678340312,3.58134217575055,0.00101209758538646,0.0154344881771435,0.0119853661427344,825182/842945/823555/827024/832525/825184/819055/830894/842479/835545/839435/832290/828896/821201/842478/840543/823556/832220/829042,19
ath01250,Metabolism,Global and overview maps,ath01250,Biosynthesis of nucleotide sugars - Arabidopsis thaliana (thale cress),24/703,100/5536,0.24,1.8899573257468,3.42497602574793,0.00127699180324592,0.0173103333328891,0.013442018981536,834475/837112/826696/843027/839942/837111/831298/821995/817426/831419/823794/817697/826833/828492/825458/818066/824280/835258/819902/815007/844193/831513/831402/831926,24
ath04141,Genetic Information Processing,Folding, sorting and degradation,ath04141,Protein processing in endoplasmic reticulum - Arabidopsis thaliana (thale cress),43/703,219/5536,0.19634703196347,1.54619796436667,3.14533481473046,0.00196226836838079,0.0239396740942456,0.0185899108583443,837429/831856/824489/835341/843560/837365/824661/820438/844087/839355/837438/820091/820102/824384/834207/814694/827367/835019/832267/816258/838779/842812/832950/825434/837054/828520/836301/831917/831870/818481/816225/820956/820142/842280/843462/825521/817854/837441/831392/828856/814675/819925/820016,43
ath01200,Metabolism,Global and overview maps,ath01200,Carbon metabolism - Arabidopsis thaliana (thale cress),50/703,272/5536,0.183823529411765,1.44757760856832,2.88684150569253,0.00373610246846057,0.0407360089866354,0.0316327938636513,827024/821817/816509/827563/838352/820006/827226/829715/830635/837465/832075/831024/836704/831039/816218/828733/816270/828805/820984/834076/819567/841765/832657/833655/828798/838652/827381/831183/827841/818879/835764/815120/837140/824707/836809/843450/820630/831150/838199/820139/836635/838301/822359/834065/831884/840543/843565/821163/835598/814643,50
ath02010,Environmental Information Processing,Membrane transport,ath02010,ABC transporters - Arabidopsis thaliana (thale cress),17/703,68/5536,0.25,1.96870554765292,3.06520882915281,0.0040068205560625,0.0407360089866354,0.0316327938636513,838122/819314/827189/839353/822863/827188/818520/817544/827530/841761/842281/824516/818211/827187/841571/830144/818768,17
