,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
ath01240,Metabolism,Global and overview maps,ath01240,Biosynthesis of cofactors - Arabidopsis thaliana (thale cress),106/1621,236/5536,0.449152542372881,1.5339349010341,5.39375000264648,1.4192030966071e-07,1.78819590172494e-05,1.28475227692853e-05,818302/826833/837528/825326/816874/819059/839303/817294/832224/842339/836701/833002/839501/828466/823955/836156/841439/814663/838901/828392/835603/823893/817642/830775/836476/822396/843830/820348/836707/829387/832797/824930/843310/821577/839489/839868/827843/820447/817437/832736/823948/834149/831596/827991/826702/843835/827027/821313/834835/829123/835895/5007993/841433/819010/816134/820656/841221/836418/830724/820179/842350/829509/820951/844318/821206/839197/817589/838945/821965/825516/830740/834671/835863/839964/818644/829782/820722/836175/844204/834085/821399/830339/829848/819219/833928/824729/824034/815152/818937/828029/817195/835567/843222/816777/818356/829949/839932/842354/836451/824130/817513/837542/835750/819289/829232/838468,106
ath00196,Metabolism,Energy metabolism,ath00196,Photosynthesis - antenna proteins - Arabidopsis thaliana (thale cress),18/1621,22/5536,0.818181818181818,2.79423475968818,5.42552366800576,4.7358119425421e-07,2.98356152380152e-05,2.14357803715063e-05,843990/839870/815055/841099/839871/830325/823901/825320/842446/820043/824654/826626/838151/839869/835515/822391/818006/838498,18
ath03030,Genetic Information Processing,Replication and repair,ath03030,DNA replication - Arabidopsis thaliana (thale cress),28/1621,43/5536,0.651162790697674,2.22383541597923,5.1836644626286,1.11093821511685e-06,4.66594050349075e-05,3.35230478947539e-05,837513/827591/817292/832836/838771/818812/816985/821600/836517/816142/841506/837333/828153/832272/815415/817506/834193/841056/843052/834670/843086/837406/837346/834492/830696/836845/836221/827651,28
ath04814,Cellular Processes,Cell motility,ath04814,Motor proteins - Arabidopsis thaliana (thale cress),51/1621,98/5536,0.520408163265306,1.77728537435949,4.99526311849997,1.57648545499684e-06,4.96592918324005e-05,3.5678355034139e-05,828991/842782/823396/838333/830060/843557/834459/836390/835556/819717/835516/823602/825338/827054/817411/818339/824985/832097/830445/827837/838418/816676/821947/821439/816792/828826/825867/843509/836391/832098/823523/837394/820385/842245/817504/832451/838777/824542/820999/827876/839405/827154/817886/841425/843911/839246/816548/828845/831100/830555/838590,51
ath01230,Metabolism,Global and overview maps,ath01230,Biosynthesis of amino acids - Arabidopsis thaliana (thale cress),104/1621,242/5536,0.429752066115702,1.4676788636746,4.78682878725619,2.48111015834573e-06,6.25239759903123e-05,4.49211523405753e-05,831666/815120/816781/832326/829679/814643/838301/820006/838199/841875/835571/833841/819042/836279/821050/825317/841307/824459/839501/842935/826468/819061/829737/841308/819954/831759/827149/843869/829921/825259/831169/824872/838140/838445/830897/816232/817329/828797/836707/829387/836509/824923/838431/836262/832223/832736/829106/819152/840138/826975/840006/844395/830108/837776/831660/827027/835427/829510/832872/829420/821870/820660/841433/824015/830052/819654/842175/826458/831255/830888/820166/817519/842579/825246/831061/833535/840076/816652/835369/830067/839817/843742/819639/830442/818978/827715/843612/821147/831490/821977/840011/836625/837292/820461/818195/837509/821482/828758/829949/821287/824130/821203/837542/828759,104
ath00290,Metabolism,Amino acid metabolism,ath00290,Valine, leucine and isoleucine biosynthesis - Arabidopsis thaliana (thale cress),16/1621,21/5536,0.761904761904762,2.60203871801651,4.73254043960803,1.14487780205342e-05,0.000240424338431219,0.000172735949081744,836707/838431/826975/840006/844395/841433/824015/820166/843742/831490/821977/825068/818912/824130/837542/831270,16
ath01200,Metabolism,Global and overview maps,ath01200,Carbon metabolism - Arabidopsis thaliana (thale cress),111/1621,272/5536,0.408088235294118,1.39369307254055,4.28418998383554,2.04749103087691e-05,0.000349431048123694,0.000251053217532478,821072/815120/820630/831330/836704/837140/821163/833655/831150/816781/829679/820946/814643/838301/824707/816808/820006/828222/838199/841875/835598/830819/824385/819042/839031/836279/825317/819364/3770570/824459/834417/815842/819061/818751/829737/844326/831759/836724/838445/818138/834351/829387/821543/835945/839891/836262/832736/822349/834876/820665/841757/840138/820664/837776/818382/827027/839429/832872/829910/829420/821870/822139/819022/830052/841221/819654/841863/822181/820951/820166/830825/842579/825246/840098/816652/825167/835369/820723/844378/819639/843129/840895/843029/833559/840953/828564/831500/818978/824746/840346/831406/816505/820461/821482/833497/837733/833830/824572/820632/818104/833828/828758/829949/840141/837848/833829/832513/838342/835168/828759/836640,111
ath00195,Metabolism,Energy metabolism,ath00195,Photosynthesis - Arabidopsis thaliana (thale cress),40/1621,77/5536,0.519480519480519,1.77411730773853,4.40129045332798,2.21860982935679e-05,0.000349431048123694,0.000251053217532478,817297/825887/843942/844245/824246/817630/838400/843099/829359/842386/827996/828183/820859/836751/817606/836789/842016/840021/825797/816545/841033/840149/839449/826551/839918/838622/841653/828984/828996/826892/827877/837358/837178/836525/825866/824699/837974/834535/838591/821143,40
ath04145,Cellular Processes,Transport and catabolism,ath04145,Phagosome - Arabidopsis thaliana (thale cress),42/1621,83/5536,0.506024096385542,1.7281612569959,4.30064210033157,3.1782689380714e-05,0.000429215985098569,0.000308375728642247,842344/842782/835114/839805/819114/821415/837737/838579/840326/828471/820647/841599/830047/829654/830063/826558/816680/841658/838614/836408/823959/834459/816290/836390/829750/829016/832097/827837/816386/836391/832098/817504/832451/839405/827154/816724/841425/843911/831100/838590/838880/828701,42
ath04144,Cellular Processes,Transport and catabolism,ath04144,Endocytosis - Arabidopsis thaliana (thale cress),70/1621,158/5536,0.443037974683544,1.51305257732764,4.20982899531858,3.40647607221087e-05,0.000429215985098569,0.000308375728642247,829037/828241/818802/823935/826673/842381/825402/836105/821415/816289/815211/3770404/832359/839362/827864/835519/838077/820419/821079/824529/822317/838957/817306/820932/827303/835435/842251/825257/843634/836652/837568/830364/841199/823749/834706/824538/818915/832340/825098/818918/819330/830785/834718/827637/837606/841301/844050/826558/829733/837603/837629/838174/837958/841658/838801/831171/827512/819717/838263/828531/836207/824863/842378/843509/834483/825881/825902/816724/839493/838880,70
