,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839550,AT1G01070,81.7045413592447,-1.09350583763785,0.365929401408427,-2.98829728747965,0.00280536529687562,0.00553807618289031,839550,UMAMIT28,H_DOWN
839463,AT1G01080,657.035747810311,-2.47313454113292,0.202595655188068,-12.2072437280904,2.84360023517045e-34,8.94880994008139e-33,839463,CP28B,H_DOWN
839410,AT1G01100,1854.74186231319,-1.07863952461074,0.167388186711899,-6.44394055398452,1.1641069610553e-10,6.19572656320059e-10,839410,P1w,H_DOWN
839394,AT1G01110,25.3059895442215,-1.48524291583031,0.380726865547685,-3.90107200261204,9.57676588505074e-05,0.000239871035453988,839394,IQD18,H_DOWN
839395,AT1G01120,648.18499596684,-2.51083432777997,0.491315179557365,-5.11043507762578,3.21417751778915e-07,1.15299001041161e-06,839395,KCS1,H_DOWN
839233,AT1G01190,13.9333836456236,-1.32470806379877,0.495724356086036,-2.672267455765,0.00753405731527865,0.0137492957168647,839233,CYP78A8,H_DOWN
839493,AT1G01200,10.5868995715442,-2.05003538734106,0.618873244981121,-3.31252870271294,0.000924566383510728,0.0019837608709806,839493,ATRAB-A3,H_DOWN
837247,AT1G01430,699.341327794432,-1.12413818741558,0.20332986979799,-5.52864263638402,3.22717978235029e-08,1.31262081656932e-07,837247,MOAT3,H_DOWN
839411,AT1G01580,17.768399201139,-1.08543851088477,0.394789857025573,-2.74940830309746,0.0059702964949468,0.0111268749143133,839411,ATFRO2,H_DOWN
839297,AT1G01610,438.083036345526,-1.55576814173915,0.200210277568609,-7.77067071996845,7.80716101955297e-15,6.2974716257683e-14,839297,ATGPAT4,H_DOWN
839235,AT1G01620,3467.6736255364,-3.3100076536037,0.407830287005112,-8.11613987256961,4.81245993843405e-16,4.35374455785478e-15,839235,PIP1;3,H_DOWN
837332,AT1G01790,1579.44044283546,-1.14564806959493,0.211602935399299,-5.4141407227318,6.15837207236632e-08,2.43254040491586e-07,837332,ATKEA1,H_DOWN
839283,AT1G01860,101.355259947647,-1.56310029218058,0.203115675333175,-7.6956162522493,1.40813837042016e-14,1.10864475203666e-13,839283,PFC1,H_DOWN
839577,AT1G02150,942.496983360171,-1.25479151830963,0.186629869315875,-6.72342279887616,1.77504550855521e-11,1.03281768378137e-10,839577,CCR16,H_DOWN
839248,AT1G02280,652.34042202272,-1.68153248157125,0.192888338251731,-8.71764719843637,2.84042409377136e-18,3.13015019318106e-17,839248,ATTOC33,H_DOWN
839255,AT1G02290,93.6081349206736,-1.0020287018703,0.206448335798989,-4.85365356902629,1.21207399646399e-06,3.98757139607307e-06,839255,NFRKB3,H_DOWN
839300,AT1G02340,117.602737985586,-2.03108254508863,0.508013126173456,-3.9980906800332,6.38554892897805e-05,0.000163833283666967,839300,FBI1,H_DOWN
837940,AT1G02640,163.155345907356,-3.14076851405141,0.820696305833645,-3.82695583217118,0.000129737782876367,0.000318687959297892,837940,ATBXL2,H_DOWN
839467,AT1G02730,113.173659102053,-1.02520971268233,0.242533716031038,-4.22708120528333,2.36742246464467e-05,6.44169336384108e-05,839467,ATCSLD5,H_DOWN
839389,AT1G02900,17.2156513717089,-1.80245554712047,0.393022356570326,-4.58613999175373,4.51515912263012e-06,1.36984492924416e-05,839389,ATRALF1,H_DOWN
838240,AT1G02950,7.65895883768742,-1.44550394833588,0.495045411637396,-2.91994211915788,0.00350096402801335,0.00680514749608278,838240,ATGSTF4,H_DOWN
