,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
1,AT1G01010,321.014213695856,1.28129633353652,0.239500385738171,5.3498716905503,8.80166126699078e-08,1.79529440787537e-06,839580,ANAC001,UP
2,AT1G01040,719.480874224127,1.39194931866907,0.233139857276351,5.97044767432935,2.36603459176397e-09,7.48344199866833e-08,839574,ASU1,UP
3,AT1G01070,81.7045413592447,-2.09026848047352,0.360350864919175,-5.80064787951142,6.60591873913575e-09,1.87770043747641e-07,839550,UMAMIT28,DOWN
4,AT1G01120,648.18499596684,-1.66833124828511,0.491477772739418,-3.39452024246406,0.000687489574886554,0.00387927967345694,839395,KCS1,DOWN
5,AT1G01340,950.011018823237,1.1368935065014,0.246020603439848,4.62113128171142,3.81653157948613e-06,4.71533225824453e-05,838832,ACBK1,UP
6,AT1G01580,17.768399201139,-1.3024852307339,0.384866008163572,-3.38425634664085,0.000713713336570363,0.00400389044500457,839411,ATFRO2,DOWN
7,AT1G01600,19.3499683814228,1.49079455788024,0.316478473529417,4.71057175312642,2.47022810054199e-06,3.26630379548237e-05,839347,CYP86A4,UP
8,AT1G01620,3467.6736255364,-2.17970470478472,0.407889399201272,-5.34386210833872,9.09867943748649e-08,1.84562439528904e-06,839235,PIP1;3,DOWN
9,AT1G01660,23.7126425760299,1.56598381631298,0.295007880584483,5.3082779117981,1.10665818826098e-07,2.19118672620746e-06,839461,PUB55,UP
10,AT1G01680,600.299133479065,1.02639454117211,0.287535010151369,3.56963327920236,0.000357481308447541,0.00225416987879602,839251,ATPUB54,UP
11,AT1G02010,118.337764868682,1.17387496727062,0.243460815384522,4.8216176612101,1.4239868639795e-06,2.01083375811567e-05,839288,SEC1A,UP
12,AT1G02065,6.62325764196395,2.12103785725014,0.573256027123184,3.69998352724578,0.000215613461983253,0.00146416428915816,839275,SPL8,UP
13,AT1G02205,91.7233323081955,1.07510612241637,0.370776083952893,2.89961022014828,0.00373626957868599,0.0157343304432945,837602,CER1,UP
14,AT1G02250,4.73690744809092,1.80279056704533,0.517502469251167,3.48363664748112,0.000494650537107706,0.00293157295720894,839390,anac005,UP
15,AT1G02520,14.2692758410567,2.03709634423759,0.411622207201872,4.94894665204139,7.461619332383e-07,1.14068780126453e-05,839353,ABCB11,UP
16,AT1G02900,17.2156513717089,-2.0892328148744,0.382312509248469,-5.46472522958066,4.63624379560161e-08,1.03372281956789e-06,839389,ATRALF1,DOWN
17,AT1G03020,16.9432140488528,-3.16077050019659,0.675320405502856,-4.68040129461662,2.86313933624087e-06,3.69707482051876e-05,839505,GRXS1,DOWN
18,AT1G03060,907.309510468939,1.09116166629948,0.200049890151076,5.45444771539462,4.91252863660367e-08,1.08002089157427e-06,839323,BCHA1,UP
19,AT1G03130,12757.5580940629,-1.44537814009859,0.223317636465721,-6.47229732041542,9.65239496082765e-11,4.14146961277994e-09,838400,PSAD-2,DOWN
20,AT1G03600,3898.80068992802,-1.74562042552653,0.190763365440377,-9.15071099472781,5.65600533198344e-20,1.1536679764654e-17,839449,PSB27,DOWN
21,AT1G03680,3435.5587645414,-1.20437844620549,0.126520157941457,-9.51926132405535,1.74414384687882e-21,4.57401723843971e-19,839436,ATHM1,DOWN
22,AT1G03870,817.578054406166,-2.37378016685959,0.62135263338033,-3.8203429732736,0.000133266228487867,0.000971771515180144,839384,FLA9,DOWN
23,AT1G03920,6.48068138470329,1.93607417752342,0.528468932051569,3.6635534467606,0.000248740284275131,0.00164598970330335,839369,NDR2,UP
24,AT1G04160,87.2080508086796,1.38353504242193,0.300047576971497,4.61105220840813,4.00635893229312e-06,4.90489027708517e-05,839246,ATXIB,UP
25,AT1G04240,345.382507183691,-1.07984940971538,0.384904524434236,-2.80549939313557,0.00502386759801198,0.020076593405226,839570,IAA3,DOWN
26,AT1G04250,376.875947788059,-1.75139520413502,0.498072557213958,-3.51634551787336,0.0004375311913333,0.00265886196245,839568,AtIAA17,DOWN
27,AT1G04520,105.677091961495,-1.09759377109463,0.426615221904834,-2.57279561238786,0.0100880763323539,0.0353588279276728,839502,PDLP2,DOWN
