,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839580,AT1G01010,321.014213695856,1.28129633353652,0.239500385738171,5.3498716905503,8.80166126699078e-08,1.79529440787537e-06,839580,ANAC001,UP
839574,AT1G01040,719.480874224127,1.39194931866907,0.233139857276351,5.97044767432935,2.36603459176397e-09,7.48344199866833e-08,839574,ASU1,UP
838832,AT1G01340,950.011018823237,1.1368935065014,0.246020603439848,4.62113128171142,3.81653157948613e-06,4.71533225824453e-05,838832,ACBK1,UP
839347,AT1G01600,19.3499683814228,1.49079455788024,0.316478473529417,4.71057175312642,2.47022810054199e-06,3.26630379548237e-05,839347,CYP86A4,UP
839461,AT1G01660,23.7126425760299,1.56598381631298,0.295007880584483,5.3082779117981,1.10665818826098e-07,2.19118672620746e-06,839461,PUB55,UP
839251,AT1G01680,600.299133479065,1.02639454117211,0.287535010151369,3.56963327920236,0.000357481308447541,0.00225416987879602,839251,ATPUB54,UP
839288,AT1G02010,118.337764868682,1.17387496727062,0.243460815384522,4.8216176612101,1.4239868639795e-06,2.01083375811567e-05,839288,SEC1A,UP
839275,AT1G02065,6.62325764196395,2.12103785725014,0.573256027123184,3.69998352724578,0.000215613461983253,0.00146416428915816,839275,SPL8,UP
837602,AT1G02205,91.7233323081955,1.07510612241637,0.370776083952893,2.89961022014828,0.00373626957868599,0.0157343304432945,837602,CER1,UP
839390,AT1G02250,4.73690744809092,1.80279056704533,0.517502469251167,3.48363664748112,0.000494650537107706,0.00293157295720894,839390,anac005,UP
839353,AT1G02520,14.2692758410567,2.03709634423759,0.411622207201872,4.94894665204139,7.461619332383e-07,1.14068780126453e-05,839353,ABCB11,UP
839323,AT1G03060,907.309510468939,1.09116166629948,0.200049890151076,5.45444771539462,4.91252863660367e-08,1.08002089157427e-06,839323,BCHA1,UP
839369,AT1G03920,6.48068138470329,1.93607417752342,0.528468932051569,3.6635534467606,0.000248740284275131,0.00164598970330335,839369,NDR2,UP
839246,AT1G04160,87.2080508086796,1.38353504242193,0.300047576971497,4.61105220840813,4.00635893229312e-06,4.90489027708517e-05,839246,ATXIB,UP
839457,AT1G04650,27.8392779488448,1.1851877448896,0.407356687972628,2.90945939979077,0.00362054408897013,0.0153349290013311,839457,FLIP,UP
839418,AT1G04770,539.767219582495,1.33928740095783,0.31404438538341,4.26464367233544,2.00221475009415e-05,0.000193620670455768,839418,SDI2,UP
837054,AT1G05520,737.696768927407,1.04058045359183,0.151855251875545,6.85244955798206,7.25959888868315e-12,3.89103902478835e-10,837054,AtSEC23B,UP
837101,AT1G05910,1161.95077207897,1.61628963570329,0.226681355994768,7.13022748876003,1.00203176694989e-12,6.43549789916596e-11,837101,BRAT1,UP
837111,AT1G06020,6.2141959225645,1.21449349177846,0.499393716502252,2.4319358687265,0.0150183661991964,0.0485244337052063,837111,FRK3,UP
837112,AT1G06030,7.21368541638234,1.42967958539269,0.507329952495838,2.81804687138874,0.0048316755994548,0.0194298980979171,837112,FRK2,UP
837119,AT1G06100,3.52800046673235,1.94687888443249,0.765423423691131,2.54353188597754,0.0109738040577702,0.0377356784419379,837119,ADS1.3,UP
837327,AT1G08090,145.291430310553,4.02018114025856,0.465657672270376,8.63334028334084,5.95858356084674e-18,9.17913547285964e-16,837327,ACH1,UP
837353,AT1G08320,15.5047024474873,1.69164932608741,0.386875306940791,4.37259575821494,1.22777935627253e-05,0.000128794054472989,837353,bZIP21,UP
837408,AT1G08860,19.330640259062,1.36372673105323,0.307002920496064,4.44206435837705,8.90998994544863e-06,9.82865140251817e-05,837408,BON3,UP
837412,AT1G08910,324.723613900139,1.21821088665184,0.155536444703749,7.83231794305296,4.789564562404e-15,4.50894520278623e-13,837412,PIAL1,UP
837430,AT1G09090,9.21883446102053,2.9089470073638,0.517698153279611,5.61900209404971,1.92063529087712e-08,4.75924351211835e-07,837430,ATRBOHB,UP
837438,AT1G09180,77.7972719620248,1.48567378558682,0.315329009287518,4.71150367339715,2.45895664141152e-06,3.25530984697443e-05,837438,ATSAR1,UP
837465,AT1G09420,91.2448153315785,1.23774455532382,0.360559071602169,3.43284818718834,0.000597276427889527,0.00344434618585821,837465,G6PD4,UP
837480,AT1G09540,17.6425254402191,2.62681946165876,0.367690724459819,7.14410042711267,9.0587156468208e-13,5.86924844070045e-11,837480,ATMYB61,UP
837525,AT1G09930,283.675183959362,2.72487364516525,0.248428967731226,10.9684215574783,5.4210474946964e-28,2.54085649490781e-25,837525,ATOPT2,UP
837651,AT1G11100,37.0246889706887,1.67021167007372,0.279719240296931,5.97102890848957,2.35761959430144e-09,7.4728060493333e-08,837651,FRG5,UP
837657,AT1G11160,12.9285685983531,1.13217182295768,0.454912951475918,2.48876586011559,0.0128187355282809,0.0427013344854831,837657,KTN80.1,UP
837831,AT1G12750,292.576686326754,1.17321286000035,0.191792329789926,6.11709999709265,9.52935740218225e-10,3.30066374548228e-08,837831,ATRBL6,UP
837852,AT1G12940,129.419695746025,2.08617380246017,0.424814930196097,4.9107826824664,9.07135789996731e-07,1.35296508583873e-05,837852,ATNRT2.5,UP
837853,AT1G12950,14.51045984632,2.58846668659924,0.601946830122954,4.30015834798984,1.70676111540174e-05,0.000169514159653674,837853,AtDTX31,UP
837855,AT1G12970,266.012033586021,1.07710769787702,0.204532510366391,5.2661931149602,1.3928176994377e-07,2.67734564580393e-06,837855,PIRL3,UP
837871,AT1G13140,7.96439202586003,1.12474956444401,0.440194414265184,2.55512002877537,0.010615118658694,0.0368426735359021,837871,CYP86C3,UP
837873,AT1G13150,13.3126243653619,1.48478667924076,0.426497792761696,3.48134669027555,0.000498899289459977,0.00295119560889201,837873,CYP86C4,UP
837890,AT1G13300,9.23185352877265,1.22971007437021,0.466451362445314,2.63630932049079,0.0083813290775118,0.0304673759485986,837890,AtNIGT1,UP
837947,AT1G13880,2192.73516036102,2.15910582982825,0.2391548040005,9.02806798655712,1.74729268180414e-19,3.26195851588673e-17,837947,ELM2,UP
838016,AT1G14540,68.0010307864679,1.22914370950365,0.398024119084662,3.08811363575232,0.00201431430563588,0.00948962645238838,838016,PER4,UP
838043,AT1G14780,129.886627651206,1.74255142531179,0.419714470523286,4.15175446092969,3.2993614369372e-05,0.000296296914367263,838043,MACP1,UP
838122,AT1G15520,5768.35511364299,1.09955868445048,0.34972965360747,3.14402474342254,0.00166641348788,0.00809290624438021,838122,ABCG40,UP
838166,AT1G15960,35.4883963789332,1.27097146085109,0.407625833219713,3.11798555751992,0.00182091726401159,0.00872211054770847,838166,ATNRAMP6,UP
838179,AT1G16090,541.985622526552,1.51175025859302,0.295263699712373,5.12000039309158,3.05535019722155e-07,5.28721991316524e-06,838179,WAKL7,UP
838224,AT1G16540,255.646209415912,1.05608601152865,0.19775097550792,5.34048445938689,9.26985242630207e-08,1.87861618306355e-06,838224,ABA3,UP
838297,AT1G17260,18.3491432695337,1.31984896271947,0.307409719467452,4.2934522857831,1.75916133552039e-05,0.000173856281113408,838297,AHA10,UP
838335,AT1G17590,75.3506741433963,1.01632540354571,0.161019873444382,6.31180103303688,2.75806678012085e-10,1.09670492958993e-08,838335,NF-YA8,UP
838399,AT1G18200,113.367666605849,1.23692412298512,0.336801506225695,3.67256113800229,0.000240131675897121,0.00159853780263332,838399,AtRABA6b,UP
838685,AT1G20920,670.661273237182,1.46172637975357,0.270722451465702,5.39935410543057,6.6881247847859e-08,1.41666058542354e-06,838685,RCF1,UP
838831,AT1G22260,8.41577473491561,1.34627475122318,0.413159083294332,3.25849002396034,0.00112006814325079,0.00584830081243698,838831,AtZYP1a,UP
838965,AT1G23550,120.186623979664,1.2421478080488,0.278605238402297,4.45845101539395,8.25540572433407e-06,9.1894053916804e-05,838965,SRO2,UP
839015,AT1G24030,9.6310764194004,1.26238749617282,0.38389956354436,3.28832751076297,0.00100784521346588,0.00536146394770341,839015,PBL28,UP
839019,AT1G24070,56.3513550455121,1.09622072084395,0.250499574301971,4.37613805891136,1.20800517523491e-05,0.000126780114365173,839019,ATCSLA10,UP
839154,AT1G26130,536.669280211769,1.08739018751109,0.189596979801689,5.7352716728318,9.73561657714944e-09,2.61863122805891e-07,839154,ALA12,UP
839165,AT1G26240,30.0007685310357,1.6912254339191,0.293356654984742,5.76508289545049,8.16177148865920e-09,2.27014727428881e-07,839165,EXT19,UP
839181,AT1G26390,3175.13816379988,1.54281529363646,0.310835749634291,4.96344225351055,6.92546389120832e-07,1.06910332207027e-05,839181,AtBBE4,UP
