,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839580,AT1G01010,321.014213695856,4.21467381584232,0.263064235144704,16.0214626420956,9.04962797038112e-58,7.97417018238102e-56,839580,ANAC001,H_UP
839574,AT1G01040,719.480874224127,1.61461118318967,0.233960303619063,6.90121853243363,5.15583455679954e-12,3.18591527213849e-11,839574,ASU1,H_UP
838832,AT1G01340,950.011018823237,4.5730649275697,0.256799655442431,17.8079091254656,6.13595030303354e-71,8.60948084239018e-69,838832,ACBK1,H_UP
837071,AT1G01470,4805.09390601476,1.03101002135944,0.380198900734069,2.71176486667588,0.00669260483659865,0.0123404529961858,837071,AtLEA14,H_UP
837082,AT1G01480,122.995188812568,4.86829211784038,0.512944992859573,9.49086585425186,2.29123096312158e-21,3.23755785032747e-20,837082,ACS2,H_UP
839337,AT1G01520,77.8717438610711,2.32966843909778,0.958163363819212,2.43138960125942,0.0150410312834629,0.0258313618261016,839337,ASG4,H_UP
839523,AT1G01560,621.408375624966,3.88741895781027,0.292729243322069,13.2799132525794,3.02744682389165e-40,1.27761735792163e-38,839523,ATMPK11,H_UP
839347,AT1G01600,19.3499683814228,1.42426198813362,0.327526052297671,4.34854564436048,1.37043298697681e-05,3.85805345304947e-05,839347,CYP86A4,H_UP
839499,AT1G01650,855.225426140829,1.10440865519352,0.202116202180417,5.46422623856588,4.64930276198149e-08,1.85968061567178e-07,839499,ATSPPL4,H_UP
839461,AT1G01660,23.7126425760299,2.61729940032222,0.353166070516962,7.41095937243077,1.25388996273821e-13,9.07720735759449e-13,839461,PUB55,H_UP
839365,AT1G01670,36.3093983786093,1.10274444999128,0.256537058147155,4.29857759325643,1.71897722905722e-05,4.77219273836188e-05,839365,PUB56,H_UP
839251,AT1G01680,600.299133479065,6.01357195970547,0.327508990443235,18.3615477290165,2.6689097277784e-75,4.52257018409465e-73,839251,ATPUB54,H_UP
839265,AT1G01720,783.981218412955,3.08839170418364,0.258853798255612,11.9310271859867,8.15608162203645e-33,2.37032087139632e-31,839265,ANAC002,H_UP
839275,AT1G02065,6.62325764196395,2.39613770892356,0.625752237972845,3.82921156892058,0.000128554454590003,0.000316063178589639,839275,SPL8,H_UP
839232,AT1G02120,1827.35534618912,1.11992038249014,0.116923347143255,9.57824429297266,9.87085686311143e-22,1.43622923274426e-20,839232,VAD1,H_UP
839561,AT1G02170,892.118390247527,1.55513259198837,0.195752537216174,7.94438025736035,1.95164048685507e-15,1.66961896252157e-14,839561,ATMC1,H_UP
839476,AT1G02220,561.211559201235,4.72425448255976,0.426709037807991,11.0713719747496,1.72735559616442e-28,4.00125304184079e-27,839476,ANAC003,H_UP
837630,AT1G02230,139.223476355275,2.50070554957016,0.397978790073915,6.28351462927385,3.31003046074561e-10,1.6735520087162e-09,837630,ANAC004,H_UP
839390,AT1G02250,4.73690744809092,5.1450427196644,0.992455881528779,5.18415258090766,2.16999233196259e-07,7.97254797945992e-07,839390,anac005,H_UP
839538,AT1G02305,1758.92501446029,1.33469570167225,0.302839014721424,4.40727791595813,1.04677840470366e-05,3.00214574628525e-05,839538,AtcathB2,H_UP
839444,AT1G02310,51.3610975318255,5.86801354908275,0.734700729237656,7.98694395631205,1.38324936596688e-15,1.19496471697586e-14,839444,MAN1,H_UP
839558,AT1G02390,413.733587758053,2.04890377779747,0.457663704779418,4.47687626613299,7.57431179400841e-06,2.22028628756103e-05,839558,ATGPAT2,H_UP
839508,AT1G02400,229.477544311701,2.96315838585367,0.435048053435846,6.81110595128919,9.68512659500978e-12,5.80080624691328e-11,839508,ATGA2OX4,H_UP
839242,AT1G02430,6.93925170664785,3.90634353076446,0.811144160153851,4.81584374597918,1.46579193606413e-06,4.77026600082091e-06,839242,ARFD1B,H_UP
839230,AT1G02440,19.3558642233225,4.40438178004404,0.642607481909493,6.85392234612103,7.18520956977322e-12,4.3797172554658e-11,839230,ARFD1A,H_UP
837800,AT1G02450,269.735097013152,2.41763872480619,0.567664687579517,4.25892041147537,2.05416586473521e-05,5.6394840271999e-05,837800,NIMIN-1,H_UP
839353,AT1G02520,14.2692758410567,3.72846664718237,0.560225586747525,6.65529517998018,2.82732036665318e-11,1.6139683948433e-10,839353,ABCB11,H_UP
