,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
1,AT1G01010,321.014213695856,4.21467381584232,0.263064235144704,16.0214626420956,9.04962797038112e-58,7.97417018238102e-56,839580,ANAC001,H_UP
2,AT1G01040,719.480874224127,1.61461118318967,0.233960303619063,6.90121853243363,5.15583455679954e-12,3.18591527213849e-11,839574,ASU1,H_UP
3,AT1G01070,81.7045413592447,-1.09350583763785,0.365929401408427,-2.98829728747965,0.00280536529687562,0.00553807618289031,839550,UMAMIT28,H_DOWN
4,AT1G01080,657.035747810311,-2.47313454113292,0.202595655188068,-12.2072437280904,2.84360023517045e-34,8.94880994008139e-33,839463,CP28B,H_DOWN
5,AT1G01100,1854.74186231319,-1.07863952461074,0.167388186711899,-6.44394055398452,1.1641069610553e-10,6.19572656320059e-10,839410,P1w,H_DOWN
6,AT1G01110,25.3059895442215,-1.48524291583031,0.380726865547685,-3.90107200261204,9.57676588505074e-05,0.000239871035453988,839394,IQD18,H_DOWN
7,AT1G01120,648.18499596684,-2.51083432777997,0.491315179557365,-5.11043507762578,3.21417751778915e-07,1.15299001041161e-06,839395,KCS1,H_DOWN
8,AT1G01190,13.9333836456236,-1.32470806379877,0.495724356086036,-2.672267455765,0.00753405731527865,0.0137492957168647,839233,CYP78A8,H_DOWN
9,AT1G01200,10.5868995715442,-2.05003538734106,0.618873244981121,-3.31252870271294,0.000924566383510728,0.0019837608709806,839493,ATRAB-A3,H_DOWN
10,AT1G01340,950.011018823237,4.5730649275697,0.256799655442431,17.8079091254656,6.13595030303354e-71,8.60948084239018e-69,838832,ACBK1,H_UP
11,AT1G01430,699.341327794432,-1.12413818741558,0.20332986979799,-5.52864263638402,3.22717978235029e-08,1.31262081656932e-07,837247,MOAT3,H_DOWN
12,AT1G01470,4805.09390601476,1.03101002135944,0.380198900734069,2.71176486667588,0.00669260483659865,0.0123404529961858,837071,AtLEA14,H_UP
13,AT1G01480,122.995188812568,4.86829211784038,0.512944992859573,9.49086585425186,2.29123096312158e-21,3.23755785032747e-20,837082,ACS2,H_UP
14,AT1G01520,77.8717438610711,2.32966843909778,0.958163363819212,2.43138960125942,0.0150410312834629,0.0258313618261016,839337,ASG4,H_UP
15,AT1G01560,621.408375624966,3.88741895781027,0.292729243322069,13.2799132525794,3.02744682389165e-40,1.27761735792163e-38,839523,ATMPK11,H_UP
16,AT1G01580,17.768399201139,-1.08543851088477,0.394789857025573,-2.74940830309746,0.0059702964949468,0.0111268749143133,839411,ATFRO2,H_DOWN
17,AT1G01600,19.3499683814228,1.42426198813362,0.327526052297671,4.34854564436048,1.37043298697681e-05,3.85805345304947e-05,839347,CYP86A4,H_UP
18,AT1G01610,438.083036345526,-1.55576814173915,0.200210277568609,-7.77067071996845,7.80716101955297e-15,6.2974716257683e-14,839297,ATGPAT4,H_DOWN
19,AT1G01620,3467.6736255364,-3.3100076536037,0.407830287005112,-8.11613987256961,4.81245993843405e-16,4.35374455785478e-15,839235,PIP1;3,H_DOWN
20,AT1G01650,855.225426140829,1.10440865519352,0.202116202180417,5.46422623856588,4.64930276198149e-08,1.85968061567178e-07,839499,ATSPPL4,H_UP
21,AT1G01660,23.7126425760299,2.61729940032222,0.353166070516962,7.41095937243077,1.25388996273821e-13,9.07720735759449e-13,839461,PUB55,H_UP
22,AT1G01670,36.3093983786093,1.10274444999128,0.256537058147155,4.29857759325643,1.71897722905722e-05,4.77219273836188e-05,839365,PUB56,H_UP
23,AT1G01680,600.299133479065,6.01357195970547,0.327508990443235,18.3615477290165,2.6689097277784e-75,4.52257018409465e-73,839251,ATPUB54,H_UP
24,AT1G01720,783.981218412955,3.08839170418364,0.258853798255612,11.9310271859867,8.15608162203645e-33,2.37032087139632e-31,839265,ANAC002,H_UP
25,AT1G01790,1579.44044283546,-1.14564806959493,0.211602935399299,-5.4141407227318,6.15837207236632e-08,2.43254040491586e-07,837332,ATKEA1,H_DOWN
26,AT1G01860,101.355259947647,-1.56310029218058,0.203115675333175,-7.6956162522493,1.40813837042016e-14,1.10864475203666e-13,839283,PFC1,H_DOWN
27,AT1G02065,6.62325764196395,2.39613770892356,0.625752237972845,3.82921156892058,0.000128554454590003,0.000316063178589639,839275,SPL8,H_UP
28,AT1G02120,1827.35534618912,1.11992038249014,0.116923347143255,9.57824429297266,9.87085686311143e-22,1.43622923274426e-20,839232,VAD1,H_UP
29,AT1G02150,942.496983360171,-1.25479151830963,0.186629869315875,-6.72342279887616,1.77504550855521e-11,1.03281768378137e-10,839577,CCR16,H_DOWN
30,AT1G02170,892.118390247527,1.55513259198837,0.195752537216174,7.94438025736035,1.95164048685507e-15,1.66961896252157e-14,839561,ATMC1,H_UP
31,AT1G02220,561.211559201235,4.72425448255976,0.426709037807991,11.0713719747496,1.72735559616442e-28,4.00125304184079e-27,839476,ANAC003,H_UP
32,AT1G02230,139.223476355275,2.50070554957016,0.397978790073915,6.28351462927385,3.31003046074561e-10,1.6735520087162e-09,837630,ANAC004,H_UP
33,AT1G02250,4.73690744809092,5.1450427196644,0.992455881528779,5.18415258090766,2.16999233196259e-07,7.97254797945992e-07,839390,anac005,H_UP
34,AT1G02280,652.34042202272,-1.68153248157125,0.192888338251731,-8.71764719843637,2.84042409377136e-18,3.13015019318106e-17,839248,ATTOC33,H_DOWN
35,AT1G02290,93.6081349206736,-1.0020287018703,0.206448335798989,-4.85365356902629,1.21207399646399e-06,3.98757139607307e-06,839255,NFRKB3,H_DOWN
36,AT1G02305,1758.92501446029,1.33469570167225,0.302839014721424,4.40727791595813,1.04677840470366e-05,3.00214574628525e-05,839538,AtcathB2,H_UP
37,AT1G02310,51.3610975318255,5.86801354908275,0.734700729237656,7.98694395631205,1.38324936596688e-15,1.19496471697586e-14,839444,MAN1,H_UP
38,AT1G02340,117.602737985586,-2.03108254508863,0.508013126173456,-3.9980906800332,6.38554892897805e-05,0.000163833283666967,839300,FBI1,H_DOWN
39,AT1G02390,413.733587758053,2.04890377779747,0.457663704779418,4.47687626613299,7.57431179400841e-06,2.22028628756103e-05,839558,ATGPAT2,H_UP
40,AT1G02400,229.477544311701,2.96315838585367,0.435048053435846,6.81110595128919,9.68512659500978e-12,5.80080624691328e-11,839508,ATGA2OX4,H_UP
