,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol
1,AT1G01010,321.014213695856,4.21467381584232,0.263064235144704,16.0214626420956,9.04962797038112e-58,7.97417018238102e-56,839580,ANAC001
2,AT1G01020,131.020297206834,0.759418635693546,0.15302260734454,4.96278719120022,6.94887067602137e-07,2.37659792147298e-06,839569,ARV1
3,AT1G01030,26.0643910683869,0.0370800957620321,0.322180635279309,0.115091013244437,0.908372982962252,0.92667168850956,839321,NGA3
4,AT1G01040,719.480874224127,1.61461118318967,0.233960303619063,6.90121853243363,5.15583455679954e-12,3.18591527213849e-11,839574,ASU1
5,AT1G01050,882.961687001707,-0.0160994594303519,0.156911494362148,-0.102602167519957,0.918278722489106,0.934051899049385,839579,AtPPa1
6,AT1G01060,2313.29525159976,1.5964927365079,1.07172601625647,1.4896463389817,0.136317250954287,0.186101432899851,839341,LHY
7,AT1G01070,81.7045413592447,-1.09350583763785,0.365929401408427,-2.98829728747965,0.00280536529687562,0.00553807618289031,839550,UMAMIT28
8,AT1G01080,657.035747810311,-2.47313454113292,0.202595655188068,-12.2072437280904,2.84360023517045e-34,8.94880994008139e-33,839463,CP28B
9,AT1G01090,2293.99356278783,-0.230673767603314,0.159647476041226,-1.44489454718186,0.148487508189518,0.200738344148935,839429,PDH-E1
10,AT1G01100,1854.74186231319,-1.07863952461074,0.167388186711899,-6.44394055398452,1.1641069610553e-10,6.19572656320059e-10,839410,P1w
11,AT1G01110,25.3059895442215,-1.48524291583031,0.380726865547685,-3.90107200261204,9.57676588505074e-05,0.000239871035453988,839394,IQD18
12,AT1G01120,648.18499596684,-2.51083432777997,0.491315179557365,-5.11043507762578,3.21417751778915e-07,1.15299001041161e-06,839395,KCS1
13,AT1G01140,2144.70845885723,0.372680394404437,0.309218502088653,1.20523316647329,0.228113302016449,0.292446483740927,839349,CIPK9
14,AT1G01160,233.775261286341,0.0887536647901526,0.133103627276272,0.666801248067675,0.504899095430986,0.574430747298779,839278,GIF2
15,AT1G01190,13.9333836456236,-1.32470806379877,0.495724356086036,-2.672267455765,0.00753405731527865,0.0137492957168647,839233,CYP78A8
16,AT1G01200,10.5868995715442,-2.05003538734106,0.618873244981121,-3.31252870271294,0.000924566383510728,0.0019837608709806,839493,ATRAB-A3
17,AT1G01220,304.127210804654,0.0824355424308143,0.182576022792199,0.451513518424264,0.651619484150436,0.708970495201756,839420,AtFKGP
18,AT1G01230,508.614600930487,-0.118708544013772,0.148633204763038,-0.798667728405812,0.424483104087947,0.49704663264516,839331,AtORM1
19,AT1G01260,218.506336130078,0.0135940480447912,0.24088245321203,0.0564343639958924,0.954995782055617,0.962995609397747,839545,bHLH013
20,AT1G01290,156.932436686986,-0.0510163913233046,0.130605101650917,-0.390615609026221,0.696081386199012,0.748108350323366,839445,CNX3
21,AT1G01320,5134.67977696189,0.726377167954413,0.263259696961163,2.75916585918418,0.00579491152973997,0.0108286341186677,839293,FLL2
22,AT1G01340,950.011018823237,4.5730649275697,0.256799655442431,17.8079091254656,6.13595030303354e-71,8.60948084239018e-69,838832,ACBK1
23,AT1G01360,210.13924205282,-0.569102440929771,0.175195452850906,-3.24838591224218,0.00116061741553544,0.0024492247661437,838452,PYL9
24,AT1G01370,36.5354908302357,-0.378849047078369,0.236619364441566,-1.60109062913119,0.109356847436713,0.153313943370671,839104,CENH3
25,AT1G01380,5.08741814637833,-0.901408545358513,0.510557702200579,-1.76553706167454,0.0774735471578942,0.112897054332292,838096,ETC1
26,AT1G01420,167.429167606004,-0.31938919980011,0.286425235868786,-1.11508749859745,0.264812928130692,0.33321322863946,837503,UGT72B3
27,AT1G01430,699.341327794432,-1.12413818741558,0.20332986979799,-5.52864263638402,3.22717978235029e-08,1.31262081656932e-07,837247,MOAT3
28,AT1G01470,4805.09390601476,1.03101002135944,0.380198900734069,2.71176486667588,0.00669260483659865,0.0123404529961858,837071,AtLEA14
29,AT1G01480,122.995188812568,4.86829211784038,0.512944992859573,9.49086585425186,2.29123096312158e-21,3.23755785032747e-20,837082,ACS2
30,AT1G01490,1013.00411969308,-0.386540023444291,0.225419870113176,-1.71475577219622,0.0863900134391007,0.124360295762266,839440,AtHMP01
31,AT1G01510,409.635043469109,-0.427155541407546,0.100689962680111,-4.24228522921006,2.21255241979209e-05,6.04943741536552e-05,839401,AN
32,AT1G01520,77.8717438610711,2.32966843909778,0.958163363819212,2.43138960125942,0.0150410312834629,0.0258313618261016,839337,ASG4
33,AT1G01530,1.73864550444512,1.42472481685279,1.19314376763338,1.19409316421168,0.232441526901439,0.297199744390957,837142,AGL28
34,AT1G01550,2905.48379524088,0.527514810402482,0.135996974316278,3.87887166648047,0.000104942096515082,0.000261098875551247,839536,BPS1
35,AT1G01560,621.408375624966,3.88741895781027,0.292729243322069,13.2799132525794,3.02744682389165e-40,1.27761735792163e-38,839523,ATMPK11
36,AT1G01580,17.768399201139,-1.08543851088477,0.394789857025573,-2.74940830309746,0.0059702964949468,0.0111268749143133,839411,ATFRO2
37,AT1G01590,2.38872170069299,-0.093153925698092,1.1741960567834,-0.0793342177909184,0.93676679020187,0.948303645115436,837194,ATFRO1
38,AT1G01600,19.3499683814228,1.42426198813362,0.327526052297671,4.34854564436048,1.37043298697681e-05,3.85805345304947e-05,839347,CYP86A4
39,AT1G01610,438.083036345526,-1.55576814173915,0.200210277568609,-7.77067071996845,7.80716101955297e-15,6.2974716257683e-14,839297,ATGPAT4
40,AT1G01620,3467.6736255364,-3.3100076536037,0.407830287005112,-8.11613987256961,4.81245993843405e-16,4.35374455785478e-15,839235,PIP1;3
41,AT1G01650,855.225426140829,1.10440865519352,0.202116202180417,5.46422623856588,4.64930276198149e-08,1.85968061567178e-07,839499,ATSPPL4
42,AT1G01660,23.7126425760299,2.61729940032222,0.353166070516962,7.41095937243077,1.25388996273821e-13,9.07720735759449e-13,839461,PUB55
43,AT1G01670,36.3093983786093,1.10274444999128,0.256537058147155,4.29857759325643,1.71897722905722e-05,4.77219273836188e-05,839365,PUB56
44,AT1G01680,600.299133479065,6.01357195970547,0.327508990443235,18.3615477290165,2.6689097277784e-75,4.52257018409465e-73,839251,ATPUB54
45,AT1G01690,32.8284897531078,-0.371467924788967,0.289183575741414,-1.28454018813686,0.198953011302621,0.259779259438411,839243,ATPRD3
46,AT1G01695,2.97592937839708,1.35579573806506,0.715166651542685,1.89577594976006,0.057989677370593,0.0871566216003816,6241450,TRM33
47,AT1G01700,17.7741487270495,0.185936893712008,0.343488670943277,0.541318853985472,0.588287827301904,0.651258482719415,839250,ATROPGEF2
48,AT1G01720,783.981218412955,3.08839170418364,0.258853798255612,11.9310271859867,8.15608162203645e-33,2.37032087139632e-31,839265,ANAC002
49,AT1G01740,66.8247604988266,-0.0430485473308621,0.206494814855286,-0.208472776234265,0.834859837074749,0.866695566277239,839253,BSK4
50,AT1G01750,1.68856187163495,-0.751983822491116,0.861637588942852,-0.872737949389754,0.382805927870063,0.456371457140903,839281,ADF11
51,AT1G01760,29.0479670341316,-0.311811768775227,0.275316367527206,-1.13255805158193,0.257399893007321,0.324962017482851,839252,AtTAD1
52,AT1G01780,95.4294962664945,0.771852806177403,0.251690782342505,3.06667093245812,0.00216457007493659,0.00435862104029051,839267,PLIM2b
53,AT1G01790,1579.44044283546,-1.14564806959493,0.211602935399299,-5.4141407227318,6.15837207236632e-08,2.43254040491586e-07,837332,ATKEA1
54,AT1G01820,1007.43115709608,-0.626548115816344,0.184706941867472,-3.39212002257011,0.000693540529488684,0.00152232008012218,839257,PEX11C
55,AT1G01860,101.355259947647,-1.56310029218058,0.203115675333175,-7.6956162522493,1.40813837042016e-14,1.10864475203666e-13,839283,PFC1
56,AT1G01880,13.9838915335085,-0.717590866001962,0.360317467493108,-1.99155170298727,0.0464202670125516,0.0712514561732713,837373,AtGEN1
57,AT1G01900,6.90123625987442,-0.94944734618641,0.439080582856025,-2.16235329745323,0.0305909544751018,0.0488395518286721,839318,ATSBT1.1
58,AT1G01910,673.147056226677,0.0677572557146953,0.123048075546573,0.550656769020734,0.581868985159635,0.645385019590232,839305,AtGET3a
59,AT1G01940,137.189859432373,-0.384695276891736,0.212764419947793,-1.80808086702716,0.0705939155296985,0.103937532763249,839309,CYP18-1
60,AT1G01950,291.770328593389,0.589714643057055,0.18810916998098,3.134959572235,0.00171877796661953,0.00351690134002059,839306,ARK2
61,AT1G01960,975.33131132941,0.349710191452005,0.141726724003004,2.46749647190456,0.0136061562205866,0.023597072538443,839301,BIG3
62,AT1G02000,145.309091762384,0.195605113935717,0.177127719314447,1.10431678730345,0.26945574318958,0.338398071188829,839289,GAE2
63,AT1G02010,118.337764868682,0.431475260209125,0.241137572657798,1.78933235270407,0.0735613066750496,0.107794986013748,839288,SEC1A
64,AT1G02050,45.7342049247222,0.196967075191516,0.316359441401255,0.622605332463249,0.53354390615262,0.601075928640486,839280,LAP6
65,AT1G02065,6.62325764196395,2.39613770892356,0.625752237972845,3.82921156892058,0.000128554454590003,0.000316063178589639,839275,SPL8
66,AT1G02080,1315.12473480919,0.90320920706809,0.20896060306918,4.32238993284809,1.54348088685285e-05,4.31215478205219e-05,839244,NOT1
67,AT1G02090,511.274588159125,0.365153952891356,0.183166759347404,1.99356015355813,0.0462001435843161,0.0709277972694194,839241,ATCSN7
68,AT1G02100,565.353492100257,0.957350890139588,0.156860681068227,6.1031922316032,1.03970668926299e-09,4.98773925474184e-09,837541,LCMT1
69,AT1G02120,1827.35534618912,1.11992038249014,0.116923347143255,9.57824429297266,9.87085686311143e-22,1.43622923274426e-20,839232,VAD1
70,AT1G02130,801.526750245558,0.0752709772664926,0.127674290349879,0.589554694686142,0.55548923315682,0.621255638788221,837023,ARA-5
71,AT1G02140,1319.75921243777,-0.27373970628741,0.139980200737663,-1.95556017811708,0.050516987809523,0.0769598011380347,837560,HAP1
72,AT1G02145,219.894253187902,0.263490671453814,0.118315393464824,2.22701935680205,0.0259459801424322,0.0421818447644013,5007658,ALG12
73,AT1G02150,942.496983360171,-1.25479151830963,0.186629869315875,-6.72342279887616,1.77504550855521e-11,1.03281768378137e-10,839577,CCR16
74,AT1G02170,892.118390247527,1.55513259198837,0.195752537216174,7.94438025736035,1.95164048685507e-15,1.66961896252157e-14,839561,ATMC1
75,AT1G02205,91.7233323081955,0.260050455189086,0.368505316790019,0.705689832250825,0.480381045453246,0.551334482144918,837602,CER1
76,AT1G02220,561.211559201235,4.72425448255976,0.426709037807991,11.0713719747496,1.72735559616442e-28,4.00125304184079e-27,839476,ANAC003
77,AT1G02230,139.223476355275,2.50070554957016,0.397978790073915,6.28351462927385,3.31003046074561e-10,1.6735520087162e-09,837630,ANAC004
78,AT1G02250,4.73690744809092,5.1450427196644,0.992455881528779,5.18415258090766,2.16999233196259e-07,7.97254797945992e-07,839390,anac005
79,AT1G02280,652.34042202272,-1.68153248157125,0.192888338251731,-8.71764719843637,2.84042409377136e-18,3.13015019318106e-17,839248,ATTOC33
80,AT1G02290,93.6081349206736,-1.0020287018703,0.206448335798989,-4.85365356902629,1.21207399646399e-06,3.98757139607307e-06,839255,NFRKB3
