,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839463,AT1G01080,657.035747810311,-1.81606871630477,0.200699477467585,-9.04869678396688,1.44684738324909e-19,3.79791779919305e-18,839463,CP28B,IM_DOWN
839394,AT1G01110,25.3059895442215,-1.23724502714951,0.371098818506657,-3.33400422056939,0.000856053588118232,0.00249114986692953,839394,IQD18,IM_DOWN
839233,AT1G01190,13.9333836456236,-1.2705669645453,0.488383507633695,-2.60157631182392,0.0092796417063976,0.0204625853003236,839233,CYP78A8,IM_DOWN
839493,AT1G01200,10.5868995715442,-1.80268588691307,0.600990780354165,-2.99952336348777,0.00270402384659324,0.00693606675787173,839493,ATRAB-A3,IM_DOWN
838096,AT1G01380,5.08741814637833,-1.4817551154046,0.538063636677942,-2.75386592662738,0.00588958897585223,0.0137657035065304,838096,ETC1,IM_DOWN
839235,AT1G01620,3467.6736255364,-1.13030294881897,0.407220490113892,-2.77565342672922,0.00550908991483236,0.0129838174530696,839235,PIP1;3,IM_DOWN
837332,AT1G01790,1579.44044283546,-1.15200294643458,0.21149353307627,-5.44698899147494,5.12296325437382e-08,3.53773534578686e-07,837332,ATKEA1,IM_DOWN
839283,AT1G01860,101.355259947647,-1.28013719262767,0.19814581703645,-6.46058146356017,1.04301425940992e-10,1.0716679627118e-09,839283,PFC1,IM_DOWN
839318,AT1G01900,6.90123625987442,-1.04144892200805,0.432803433732371,-2.406286181759,0.0161156347320901,0.0331952721405986,839318,ATSBT1.1,IM_DOWN
839577,AT1G02150,942.496983360171,-1.23725056743828,0.1863878481804,-6.63804308873601,3.17874952638813e-11,3.47000363314193e-10,839577,CCR16,IM_DOWN
839248,AT1G02280,652.34042202272,-1.04896458904252,0.191498743847842,-5.47765780581824,4.30992587493605e-08,3.01694811245523e-07,839248,ATTOC33,IM_DOWN
839576,AT1G02300,298.698191757722,-1.12344835997763,0.271181813064905,-4.1427865212655,3.43111300535632e-05,0.000136778842553374,839576,AtcathB1,IM_DOWN
839300,AT1G02340,117.602737985586,-1.84553807658876,0.506322568585037,-3.64498482014397,0.000267407584845813,0.000876987001126754,839300,FBI1,IM_DOWN
839385,AT1G02800,6.99271740020091,-1.20267780210237,0.432920646671982,-2.77805600483088,0.00546851918550872,0.012903385725961,839385,ATCEL2,IM_DOWN
839453,AT1G02970,18.2859751305197,-1.0613018406516,0.345511020007096,-3.0716873824453,0.00212852519185376,0.00561346599441476,839453,ATWEE1,IM_DOWN
839505,AT1G03020,16.9432140488528,-1.59815684035086,0.41095705879407,-3.88886577356905,0.000100713796382793,0.000363054200706356,839505,GRXS1,IM_DOWN
838400,AT1G03130,12757.5580940629,-1.06824254040938,0.22313407438902,-4.78744693446941,1.68916381516947e-06,8.7864438451873e-06,838400,PSAD-2,IM_DOWN
839566,AT1G03160,692.443958700818,-1.0941908424286,0.154842907466822,-7.06645761390816,1.58938689271038e-12,2.07052654402821e-11,839566,FZL,IM_DOWN
839531,AT1G03310,509.05274571189,-1.6268863070742,0.315167032030664,-5.1619812408422,2.44349782158807e-07,1.49970774169616e-06,839531,AtBE2,IM_DOWN
839494,AT1G03470,36.8108393990918,-1.31297712292334,0.326237266979223,-4.02460802556612,5.70702926913074e-05,0.000217659535612329,839494,NET3A,IM_DOWN
839449,AT1G03600,3898.80068992802,-1.43017873266342,0.189672441123387,-7.54025584419534,4.69050310985005e-14,7.36472508958565e-13,839449,PSB27,IM_DOWN
839009,AT1G03630,2128.81230767341,-1.42712641243262,0.282636034446422,-5.04934346120383,4.43331043012685e-07,2.5911752577677e-06,839009,POR,IM_DOWN
839436,AT1G03680,3435.5587645414,-1.22188070113936,0.125426344425956,-9.74181864847923,1.99943502014336e-22,6.58378984435547e-21,839436,ATHM1,IM_DOWN
839398,AT1G03830,59.1547545258734,-1.35551174785685,0.311790475176862,-4.34750852183006,1.37692722442954e-05,5.9685812331677e-05,839398,GBPL1,IM_DOWN
839329,AT1G04020,46.5358215239507,-1.00222104054841,0.37730845492022,-2.65623795989498,0.00790178345806829,0.0178056861495281,839329,ATBARD1,IM_DOWN
839287,AT1G04110,6.87980445145502,-1.34960657058873,0.481319980688459,-2.80396955193573,0.00504776717606976,0.0120447642029507,839287,AtSDD1,IM_DOWN
839246,AT1G04160,87.2080508086796,-1.64336007445323,0.299653866370883,-5.48419446195043,4.1535767964824e-08,2.91863295852347e-07,839246,ATXIB,IM_DOWN
837024,AT1G04180,3.87677053891577,-5.55678087109257,1.24098281694872,-4.47772587597576,7.54423874784302e-06,3.44868303333127e-05,837024,YUC9,IM_DOWN
839570,AT1G04240,345.382507183691,-1.94957412821934,0.379823332481585,-5.13284456613486,2.85395591440857e-07,1.73481773836938e-06,839570,IAA3,IM_DOWN
839540,AT1G04360,27.9581919563164,-1.07216733725679,0.316372860358199,-3.38893587788432,0.000701644160044711,0.00208626862777608,839540,ATL1,IM_DOWN
839474,AT1G04610,2.39446413611777,-3.58676600122533,0.996629570245232,-3.5988958268043,0.000319571160728619,0.00102981759796529,839474,YUC3,IM_DOWN
839472,AT1G04620,319.098190293477,-2.05236631505968,0.44506255190558,-4.6114109270085,3.99945028410363e-06,1.9329506430127e-05,839472,HCAR,IM_DOWN
839457,AT1G04650,27.8392779488448,-1.84445621211569,0.402103333296508,-4.58702044818812,4.49616658843458e-06,2.1541116523842e-05,839457,FLIP,IM_DOWN
839431,AT1G04730,44.7408454459259,-1.21598883717401,0.319622457726636,-3.80445368521011,0.000142117498573781,0.000494738681428858,839431,CTF18,IM_DOWN
839424,AT1G04760,15.7419454657718,-1.95995969617882,0.425269099967439,-4.60875172056679,4.05093721542714e-06,1.95697578768957e-05,839424,ATVAMP726,IM_DOWN
839405,AT1G04820,2712.7713108952,-1.50786498916603,0.285453780997833,-5.28234372617217,1.27541616767169e-07,8.19129526461799e-07,839405,TOR2,IM_DOWN
839343,AT1G05020,13.4220796956521,-1.83647922969287,0.34437315510859,-5.33281762079793,9.67004220574111e-08,6.34180886425338e-07,839343,AP180,IM_DOWN
28716239,AT1G05065,18.1132805202911,-1.79993045974731,0.443064659169964,-4.06245549604271,4.85592074843385e-05,0.000187971377289656,28716239,CLE20,IM_DOWN
839273,AT1G05190,3261.47750966084,-1.59023085641507,0.130414588826246,-12.1936577090602,3.35994826796999e-34,2.25659452424119e-32,839273,EMB2394,IM_DOWN
837031,AT1G05320,137.875073296567,-1.16259553751523,0.291104838154979,-3.99373485127817,6.50405941202867e-05,0.000244418158968918,837031,PICL,IM_DOWN
837040,AT1G05385,179.191550481369,-1.36980450662444,0.170186387260323,-8.04884884552571,8.35763903158133e-16,1.57763864804375e-14,837040,LPA19,IM_DOWN
837043,AT1G05420,9.57327332644153,-1.83225603362737,0.562841135632152,-3.25536979732209,0.00113244808103791,0.00319870480538328,837043,ATOFP12,IM_DOWN
837048,AT1G05470,102.374003917517,-1.29785492399782,0.23207032328818,-5.59250707116985,2.23814035850625e-08,1.63909554380101e-07,837048,CVP2,IM_DOWN
837056,AT1G05540,26.6535020190073,-2.08670116896366,0.445591508186014,-4.68299132866904,2.82718477698509e-06,1.40745883507807e-05,837056,AtDOA1,IM_DOWN
837095,AT1G05850,5707.61047992352,-1.49311142232833,0.196946655528985,-7.58129869389218,3.42112950519792e-14,5.44144851046967e-13,837095,ATCTL1,IM_DOWN
837117,AT1G06080,49.4163633611369,-3.06923163151658,0.52912072091533,-5.80062641698684,6.60676437360227e-09,5.30588452009058e-08,837117,ADS1,IM_DOWN
837128,AT1G06190,929.375954409695,-1.05160153794617,0.185525167371325,-5.66824195793019,1.44270138956278e-08,1.08951898905308e-07,837128,RHON1,IM_DOWN
837158,AT1G06460,1838.99957297702,-1.72076575161288,0.41219426429626,-4.17464749188285,2.9844781411963e-05,0.000120412214235189,837158,ACD31.2,IM_DOWN
837178,AT1G06680,35798.3679280307,-1.63899091960774,0.144029165707809,-11.3795765708505,5.28557351266296e-30,2.88207670570427e-28,837178,OE23,IM_DOWN
837195,AT1G06830,38.9817683937503,-2.41117497236471,0.426436855210291,-5.65423682991865,1.56540244397702e-08,1.17493187183543e-07,837195,CEPD1,IM_DOWN
837205,AT1G06950,1096.15809021048,-1.10627566697697,0.231283959716599,-4.78319235079047,1.72532877160483e-06,8.96609283078152e-06,837205,ATTIC110,IM_DOWN
837216,AT1G07050,231.908957782415,-6.95785094916946,1.37391324996426,-5.06425784113404,4.0999442755711e-07,2.41267482422897e-06,837216,FITNESS,IM_DOWN
837238,AT1G07270,8.08405608892027,-1.61214354141057,0.499952324978034,-3.22459454805296,0.00126151192707794,0.00351770205589873,837238,CDC6b,IM_DOWN
837243,AT1G07320,2587.03755089752,-1.52588248165674,0.192510206525602,-7.92624198579213,2.25877236595797e-15,4.06523663804641e-14,837243,EMB2784,IM_DOWN
837292,AT1G07780,73.0534310804651,-1.45203515129557,0.269373875896975,-5.39040820666262,7.02978166213765e-08,4.74074805881859e-07,837292,PAI1,IM_DOWN
837303,AT1G07880,19.0871177721656,-1.04042952663851,0.29160187878993,-3.56797950327349,0.000359744637700009,0.00114355189377973,837303,ATMPK13,IM_DOWN
837325,AT1G08070,13.2029540900701,-1.00393110353002,0.398471225077388,-2.51945696539329,0.0117536007065196,0.0252604946306263,837325,EMB3102,IM_DOWN
837346,AT1G08260,106.217550991711,-1.09557128945018,0.283504791912179,-3.86438367429626,0.000111370048929769,0.000397822410876257,837346,ABO4,IM_DOWN
837348,AT1G08280,46.241807289184,-1.02218784784841,0.210098391873762,-4.86528163653243,1.14293937054261e-06,6.16046278289287e-06,837348,GALT29A,IM_DOWN
837350,AT1G08300,34.8276762697238,-1.06723826826431,0.312746927229541,-3.41246603993332,0.000643779478076736,0.00193212780961205,837350,NVL,IM_DOWN
837358,AT1G08380,37724.2024700756,-1.59470438014264,0.154674089483961,-10.3100938590494,6.34393341940594e-25,2.44746951481775e-23,837358,PSAO,IM_DOWN
837359,AT1G08390,49.9415520533341,-1.09084548062454,0.183559377472917,-5.94273905066757,2.80298456109885e-09,2.38221245742464e-08,837359,RMI2,IM_DOWN
837374,AT1G08520,3141.61911199774,-1.06842392217054,0.136507620054633,-7.82684455082386,5.00267012416426e-15,8.73416194578205e-14,837374,ALB-1V,IM_DOWN
837376,AT1G08540,1204.93561649964,-1.33320155493932,0.191809440988399,-6.95065658952603,3.6358996636541e-12,4.56383097952343e-11,837376,ABC1,IM_DOWN
837377,AT1G08550,1086.56064533565,-1.71003572079339,0.259270019651593,-6.59557832059156,4.23601337933487e-11,4.538674062907e-10,837377,AVDE1,IM_DOWN
837378,AT1G08560,56.8212789414735,-1.08049617372515,0.243074398852277,-4.4451253559689,8.78406327341658e-06,3.96850143252858e-05,837378,ATSYP111,IM_DOWN
837386,AT1G08640,1008.18517007977,-1.01879235635885,0.224089486811337,-4.54636391405805,5.45806322081617e-06,2.57243634341804e-05,837386,CJD1,IM_DOWN
837388,AT1G08660,235.023660738619,-1.30323374575215,0.214752144010056,-6.0685482408554,1.29071647947892e-09,1.15254127792627e-08,837388,MGP2,IM_DOWN
837394,AT1G08730,11.7056677882513,-1.23637307515235,0.433513009412203,-2.85198609570849,0.00434470010119624,0.0105499777920251,837394,ATXIC,IM_DOWN
837403,AT1G08810,67.1158958601965,-1.44437652631074,0.218283651226545,-6.61697070850121,3.66634106394855e-11,3.96299446995694e-10,837403,AtMYB60,IM_DOWN
837406,AT1G08840,87.3140821472743,-1.09170497891878,0.243970224599982,-4.47474678809169,7.6501919565405e-06,3.494216848655e-05,837406,emb2411,IM_DOWN
837410,AT1G08890,354.112195846251,-2.17943178575167,0.47940345172368,-4.54613286140429,5.46405520371065e-06,2.57470956326293e-05,837410,ESL3.05,IM_DOWN
837418,AT1G08980,884.639217401683,-1.38197085802414,0.302173677005884,-4.57343231123745,4.79798730351731e-06,2.28776758244985e-05,837418,AMI1,IM_DOWN
837440,AT1G09200,495.027109125005,-1.1825109481944,0.24235351963601,-4.87928110130361,1.06473221749795e-06,5.77709015252765e-06,837440,H3.1,IM_DOWN
837452,AT1G09310,8088.26023183922,-1.64613839240878,0.384168580299339,-4.28493759465215,1.82790489747825e-05,7.71249128261796e-05,837452,SVB2,IM_DOWN
837455,AT1G09340,5733.16639752996,-1.53122176114766,0.308852550810825,-4.95777599093087,7.13047090483307e-07,3.99484088409379e-06,837455,CRB,IM_DOWN
837457,AT1G09350,363.795329774952,-2.89638875941294,0.816537850233913,-3.54715798977747,0.000389410991457338,0.00122916388176153,837457,AtGolS3,IM_DOWN
837468,AT1G09450,17.548794577155,-1.207792135096,0.369220302670687,-3.27119642760612,0.00107093497406267,0.00304094180763425,837468,AtHaspin,IM_DOWN
837470,AT1G09470,17.243171364556,-1.40835590508016,0.296962268947363,-4.74254156958167,2.11053503131497e-06,1.07523071704064e-05,837470,AtNEAP3,IM_DOWN
837499,AT1G09710,63.2441116023133,-1.06838632653212,0.239029158359272,-4.46969036692284,7.83329130595938e-06,3.571922462823e-05,837499,DP1,IM_DOWN
837509,AT1G09795,991.681623594015,-1.50482683856336,0.235695094768139,-6.38463367276992,1.71808249653575e-10,1.72269637306263e-09,837509,ATATP-PRT2,IM_DOWN
837510,AT1G09800,30.106621464929,-1.47256885108447,0.280669622614654,-5.24662711043095,1.5490898422807e-07,9.7947474556836e-07,837510,TRUA6,IM_DOWN
