,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839580,AT1G01010,321.014213695856,2.93337748230581,0.264396870045985,11.0945998785675,1.33254966330606e-28,6.71733101440944e-27,839580,ANAC001,IM_UP
839341,AT1G01060,2313.29525159976,2.42645411661762,1.07168305371937,2.26415273452014,0.0235647224891759,0.0461880302263597,839341,LHY,IM_UP
839349,AT1G01140,2144.70845885723,1.16152727912618,0.30903761831876,3.75853038683501,0.000170914284349691,0.000584184758718285,839349,CIPK9,IM_UP
838832,AT1G01340,950.011018823237,3.43617142106829,0.2571865414284,13.3606191132086,1.02706337590216e-40,9.79444983019419e-39,838832,ACBK1,IM_UP
837082,AT1G01480,122.995188812568,5.13079839787994,0.512273292634659,10.0157444700891,1.29979591983369e-23,4.55942743917458e-22,837082,ACS2,IM_UP
839523,AT1G01560,621.408375624966,4.11029836919901,0.292513512729319,14.051652967576,7.52567277694334e-45,8.45831865322882e-43,839523,ATMPK11,IM_UP
839461,AT1G01660,23.7126425760299,1.05131558400924,0.372086556538007,2.82545973654885,0.00472128212335703,0.0113480768025567,839461,PUB55,IM_UP
839251,AT1G01680,600.299133479065,4.98717741853335,0.32791766791432,15.2086267576056,3.09977384484652e-52,4.84290198781022e-50,839251,ATPUB54,IM_UP
839265,AT1G01720,783.981218412955,2.24400055014687,0.259174223147372,8.65827057527587,4.78975504727656e-18,1.11772790186923e-16,839265,ANAC002,IM_UP
839561,AT1G02170,892.118390247527,1.41383646580589,0.19571689149963,7.22388576158517,5.05227044580328e-13,7.02185903158363e-12,839561,ATMC1,IM_UP
839476,AT1G02220,561.211559201235,5.23290315925636,0.426433527911131,12.2713220625253,1.29127522169856e-34,8.94512637069105e-33,839476,ANAC003,IM_UP
837630,AT1G02230,139.223476355275,3.20742283111579,0.396342955410726,8.09254406399623,5.84312529464461e-16,1.12319552457004e-14,837630,ANAC004,IM_UP
839390,AT1G02250,4.73690744809092,3.34225215261907,1.03069938641869,3.24270315541002,0.00118401501819357,0.00332687076987067,839390,anac005,IM_UP
839444,AT1G02310,51.3610975318255,5.2524674593464,0.735720344976678,7.13921736052154,9.38638075633055e-13,1.25927272643852e-11,839444,MAN1,IM_UP
839558,AT1G02390,413.733587758053,1.40145712814496,0.457912827806361,3.06053257965858,0.00220943721430341,0.00579908166256283,839558,ATGPAT2,IM_UP
839508,AT1G02400,229.477544311701,2.33755599396528,0.435469188774976,5.36790214834966,7.96577485503691e-08,5.30947214165229e-07,839508,ATGA2OX4,IM_UP
839242,AT1G02430,6.93925170664785,2.85337094742249,0.826367714724317,3.45290709762832,0.000554579963787033,0.00169021057308585,839242,ARFD1B,IM_UP
839230,AT1G02440,19.3558642233225,4.41075613797496,0.641096938496193,6.88001435215269,5.98465308749662e-12,7.28375264444547e-11,839230,ARFD1A,IM_UP
837800,AT1G02450,269.735097013152,2.5297602035579,0.567465645083931,4.45799710603403,8.27290187213376e-06,3.75837812623705e-05,837800,NIMIN-1,IM_UP
839353,AT1G02520,14.2692758410567,1.69137030294478,0.588720561883541,2.87295945216088,0.00406646304490922,0.0099555583925656,839353,ABCB11,IM_UP
839422,AT1G02580,92.4919443179685,6.06944535644142,0.591435699215908,10.2622235426234,1.04277492062932e-24,3.99500673505103e-23,839422,EMB173,IM_UP
839435,AT1G02850,143.443645117739,1.81562973559222,0.255376481097028,7.10961999238448,1.16362895829075e-12,1.5451225028443e-11,839435,BGLU11,IM_UP
839295,AT1G02920,13053.1809370062,4.0322480915218,0.309856392829324,13.0132802964077,1.02831279500721e-38,8.64606967985257e-37,839295,ATGST11,IM_UP
839515,AT1G02930,18726.395859779,3.85666799619654,0.346341651840155,11.1354437899848,8.43239490284585e-29,4.29993581747202e-27,839515,ATGST1,IM_UP
839479,AT1G02940,4.49777540435311,2.496562530368,0.993298646615453,2.51340575050086,0.0119571722957809,0.0256354791731151,839479,ATGSTF5,IM_UP
839416,AT1G03050,3.69375956404141,5.00561392138026,1.02272264166562,4.89440021903497,9.86059901751375e-07,5.38871584611289e-06,839416,PICALM5A,IM_UP
839408,AT1G03790,7.95534111053754,4.62842250085845,1.2530942889937,3.69359476099385,0.000221106061558017,0.000740009940756845,839408,AtC3H2,IM_UP
839392,AT1G03850,1184.68926678363,3.34250498605312,0.346714394797952,9.64051402596355,5.39173042259996e-22,1.72888543638216e-20,839392,ATGRXS13,IM_UP
839378,AT1G03900,1605.18986138714,1.04371424360076,0.164188734301064,6.35679572075244,2.06005653224491e-10,2.04880295028547e-09,839378,ABCI18,IM_UP
839376,AT1G03905,50.7255224066343,1.21789936798521,0.243781408636857,4.99586648052982,5.85721766195713e-07,3.33579751487212e-06,839376,ABCI19,IM_UP
839317,AT1G04070,80.4599337992736,1.08310211299262,0.205333360181901,5.27484726316815,1.32866699340128e-07,8.51096400047595e-07,839317,ATTOM22-I,IM_UP
839555,AT1G04280,915.918197947109,1.14272703635186,0.205245741238554,5.5676041288656,2.58265744716407e-08,1.87026169965738e-07,839555,NADKc,IM_UP
839500,AT1G04530,1931.05015374938,1.12504894830395,0.289375555264694,3.88785067651916,0.000101135810679523,0.000364337003018677,839500,TPR4,IM_UP
839488,AT1G04580,31.8244937348117,5.89808373261843,1.04140898960213,5.66356137838967,1.4826310278081e-08,1.11852325039674e-07,839488,AAO4,IM_UP
839480,AT1G04600,130.870005330851,4.10903984963611,0.40123615713199,10.240951062355,1.29952570166813e-24,4.91033476535975e-23,839480,ATXIA,IM_UP
839355,AT1G04980,325.531683122332,2.33773323185997,0.417295605071847,5.60210364894083,2.1176585617271e-08,1.55759266965898e-07,839355,ATPDI10,IM_UP
839348,AT1G05000,354.034387164423,4.24079707280308,0.372860157340116,11.3736932984628,5.65433444952706e-30,3.07553910095387e-28,839348,AtPFA-DSP1,IM_UP
839324,AT1G05100,120.693722509242,4.46666959944531,0.633288650485511,7.05313382139556,1.74932462394831e-12,2.2668160082916e-11,839324,MAPKKK18,IM_UP
837033,AT1G05340,1518.16696008031,4.47297299103091,0.615973499660248,7.26163218628409,3.82446998484691e-13,5.41447617584786e-12,837033,AthCYSTM1,IM_UP
837059,AT1G05570,1975.21361913229,1.92205397458281,0.221458685383013,8.67906341654024,3.99041165452109e-18,9.44197404269012e-17,837059,ATGSL06,IM_UP
837075,AT1G05680,118.905091432389,3.51940632838323,0.719813778456037,4.8893289260622,1.01180309077469e-06,5.51026212278755e-06,837075,UGT74E2,IM_UP
837098,AT1G05880,100.860447827813,5.61163127094367,0.511403047588304,10.9730110084546,5.15273602051088e-28,2.51127481849191e-26,837098,ARI12,IM_UP
837111,AT1G06020,6.2141959225645,1.72591289348313,0.715693751332024,2.41152432904566,0.0158859919415565,0.0327885802005573,837111,FRK3,IM_UP
837112,AT1G06030,7.21368541638234,4.23199615124989,1.03117747856838,4.10404245554832,4.05992908246128e-05,0.000159365961791767,837112,FRK2,IM_UP
837122,AT1G06130,1006.32527789835,1.37038513694802,0.17357053997729,7.89526343080641,2.89702683120521e-15,5.16331748095627e-14,837122,GLX2-4,IM_UP
2745743,AT1G06135,1.11257456453672,3.84154877171506,1.23899618923416,3.1005331615181,0.00193172581935423,0.00514994409712625,2745743,CTNIP1,IM_UP
837125,AT1G06160,95.0993945907809,1.806029378298,0.421282334133269,4.2869810385324,1.81117746452148e-05,7.64777235306568e-05,837125,ERF59,IM_UP
837127,AT1G06180,75.2315246645268,1.64450234076501,0.370639078533721,4.43693726865174,9.12478710821815e-06,4.10643381423774e-05,837127,ATMYB13,IM_UP
837163,AT1G06520,67.2338276604129,2.76278636079881,0.523908816508207,5.27341070381764,1.33911424826641e-07,8.57289967307781e-07,837163,ATGPAT1,IM_UP
837168,AT1G06570,1497.37280575251,1.5133088475383,0.461952535483271,3.27589683203093,0.00105327028542404,0.00299696346132862,837168,HPD,IM_UP
837210,AT1G07000,928.257640171372,2.19412169633615,0.284213969888067,7.71996428324853,1.16362307605278e-14,1.9597440934531e-13,837210,ATEXO70B2,IM_UP
837252,AT1G07400,36.7476191261292,2.66481876155241,0.326773985871602,8.15492932965442,3.4938411573137e-16,6.81113511986402e-15,837252,HSP17.8,IM_UP
837255,AT1G07430,56.1276225360836,1.26035791342739,0.49721056816661,2.53485745098857,0.0112493092337505,0.024288055778721,837255,AIP1,IM_UP
837275,AT1G07620,424.640012655217,4.13658632904663,0.340876142389624,12.1351594161098,6.87759335745122e-34,4.50912214497895e-32,837275,ATOBGM,IM_UP
837276,AT1G07630,680.108188729698,1.87959453733884,0.22779384586653,8.25129638682226,1.56685415962013e-16,3.1782900812405e-15,837276,PLL5,IM_UP
837304,AT1G07890,15238.2127677186,1.32441242525483,0.31129327669337,4.2545487628999,2.09471008587021e-05,8.74443215494312e-05,837304,APX1,IM_UP
837305,AT1G07900,191.016001066839,5.37018155020548,0.454396482078395,11.8182727243892,3.14075698565766e-32,1.96245754675171e-30,837305,LBD1,IM_UP
