,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
1,AT1G01010,321.014213695856,2.93337748230581,0.264396870045985,11.0945998785675,1.33254966330606e-28,6.71733101440944e-27,839580,ANAC001,IM_UP
2,AT1G01060,2313.29525159976,2.42645411661762,1.07168305371937,2.26415273452014,0.0235647224891759,0.0461880302263597,839341,LHY,IM_UP
3,AT1G01080,657.035747810311,-1.81606871630477,0.200699477467585,-9.04869678396688,1.44684738324909e-19,3.79791779919305e-18,839463,CP28B,IM_DOWN
4,AT1G01110,25.3059895442215,-1.23724502714951,0.371098818506657,-3.33400422056939,0.000856053588118232,0.00249114986692953,839394,IQD18,IM_DOWN
5,AT1G01140,2144.70845885723,1.16152727912618,0.30903761831876,3.75853038683501,0.000170914284349691,0.000584184758718285,839349,CIPK9,IM_UP
6,AT1G01190,13.9333836456236,-1.2705669645453,0.488383507633695,-2.60157631182392,0.0092796417063976,0.0204625853003236,839233,CYP78A8,IM_DOWN
7,AT1G01200,10.5868995715442,-1.80268588691307,0.600990780354165,-2.99952336348777,0.00270402384659324,0.00693606675787173,839493,ATRAB-A3,IM_DOWN
8,AT1G01340,950.011018823237,3.43617142106829,0.2571865414284,13.3606191132086,1.02706337590216e-40,9.79444983019419e-39,838832,ACBK1,IM_UP
9,AT1G01380,5.08741814637833,-1.4817551154046,0.538063636677942,-2.75386592662738,0.00588958897585223,0.0137657035065304,838096,ETC1,IM_DOWN
10,AT1G01480,122.995188812568,5.13079839787994,0.512273292634659,10.0157444700891,1.29979591983369e-23,4.55942743917458e-22,837082,ACS2,IM_UP
11,AT1G01560,621.408375624966,4.11029836919901,0.292513512729319,14.051652967576,7.52567277694334e-45,8.45831865322882e-43,839523,ATMPK11,IM_UP
12,AT1G01620,3467.6736255364,-1.13030294881897,0.407220490113892,-2.77565342672922,0.00550908991483236,0.0129838174530696,839235,PIP1;3,IM_DOWN
13,AT1G01660,23.7126425760299,1.05131558400924,0.372086556538007,2.82545973654885,0.00472128212335703,0.0113480768025567,839461,PUB55,IM_UP
14,AT1G01680,600.299133479065,4.98717741853335,0.32791766791432,15.2086267576056,3.09977384484652e-52,4.84290198781022e-50,839251,ATPUB54,IM_UP
15,AT1G01720,783.981218412955,2.24400055014687,0.259174223147372,8.65827057527587,4.78975504727656e-18,1.11772790186923e-16,839265,ANAC002,IM_UP
16,AT1G01790,1579.44044283546,-1.15200294643458,0.21149353307627,-5.44698899147494,5.12296325437382e-08,3.53773534578686e-07,837332,ATKEA1,IM_DOWN
17,AT1G01860,101.355259947647,-1.28013719262767,0.19814581703645,-6.46058146356017,1.04301425940992e-10,1.0716679627118e-09,839283,PFC1,IM_DOWN
18,AT1G01900,6.90123625987442,-1.04144892200805,0.432803433732371,-2.406286181759,0.0161156347320901,0.0331952721405986,839318,ATSBT1.1,IM_DOWN
19,AT1G02150,942.496983360171,-1.23725056743828,0.1863878481804,-6.63804308873601,3.17874952638813e-11,3.47000363314193e-10,839577,CCR16,IM_DOWN
20,AT1G02170,892.118390247527,1.41383646580589,0.19571689149963,7.22388576158517,5.05227044580328e-13,7.02185903158363e-12,839561,ATMC1,IM_UP
21,AT1G02220,561.211559201235,5.23290315925636,0.426433527911131,12.2713220625253,1.29127522169856e-34,8.94512637069105e-33,839476,ANAC003,IM_UP
22,AT1G02230,139.223476355275,3.20742283111579,0.396342955410726,8.09254406399623,5.84312529464461e-16,1.12319552457004e-14,837630,ANAC004,IM_UP
23,AT1G02250,4.73690744809092,3.34225215261907,1.03069938641869,3.24270315541002,0.00118401501819357,0.00332687076987067,839390,anac005,IM_UP
24,AT1G02280,652.34042202272,-1.04896458904252,0.191498743847842,-5.47765780581824,4.30992587493605e-08,3.01694811245523e-07,839248,ATTOC33,IM_DOWN
25,AT1G02300,298.698191757722,-1.12344835997763,0.271181813064905,-4.1427865212655,3.43111300535632e-05,0.000136778842553374,839576,AtcathB1,IM_DOWN
26,AT1G02310,51.3610975318255,5.2524674593464,0.735720344976678,7.13921736052154,9.38638075633055e-13,1.25927272643852e-11,839444,MAN1,IM_UP
27,AT1G02340,117.602737985586,-1.84553807658876,0.506322568585037,-3.64498482014397,0.000267407584845813,0.000876987001126754,839300,FBI1,IM_DOWN
28,AT1G02390,413.733587758053,1.40145712814496,0.457912827806361,3.06053257965858,0.00220943721430341,0.00579908166256283,839558,ATGPAT2,IM_UP
29,AT1G02400,229.477544311701,2.33755599396528,0.435469188774976,5.36790214834966,7.96577485503691e-08,5.30947214165229e-07,839508,ATGA2OX4,IM_UP
30,AT1G02430,6.93925170664785,2.85337094742249,0.826367714724317,3.45290709762832,0.000554579963787033,0.00169021057308585,839242,ARFD1B,IM_UP
31,AT1G02440,19.3558642233225,4.41075613797496,0.641096938496193,6.88001435215269,5.98465308749662e-12,7.28375264444547e-11,839230,ARFD1A,IM_UP
32,AT1G02450,269.735097013152,2.5297602035579,0.567465645083931,4.45799710603403,8.27290187213376e-06,3.75837812623705e-05,837800,NIMIN-1,IM_UP
33,AT1G02520,14.2692758410567,1.69137030294478,0.588720561883541,2.87295945216088,0.00406646304490922,0.0099555583925656,839353,ABCB11,IM_UP
34,AT1G02580,92.4919443179685,6.06944535644142,0.591435699215908,10.2622235426234,1.04277492062932e-24,3.99500673505103e-23,839422,EMB173,IM_UP
35,AT1G02800,6.99271740020091,-1.20267780210237,0.432920646671982,-2.77805600483088,0.00546851918550872,0.012903385725961,839385,ATCEL2,IM_DOWN
36,AT1G02850,143.443645117739,1.81562973559222,0.255376481097028,7.10961999238448,1.16362895829075e-12,1.5451225028443e-11,839435,BGLU11,IM_UP
37,AT1G02920,13053.1809370062,4.0322480915218,0.309856392829324,13.0132802964077,1.02831279500721e-38,8.64606967985257e-37,839295,ATGST11,IM_UP
38,AT1G02930,18726.395859779,3.85666799619654,0.346341651840155,11.1354437899848,8.43239490284585e-29,4.29993581747202e-27,839515,ATGST1,IM_UP
39,AT1G02940,4.49777540435311,2.496562530368,0.993298646615453,2.51340575050086,0.0119571722957809,0.0256354791731151,839479,ATGSTF5,IM_UP
40,AT1G02970,18.2859751305197,-1.0613018406516,0.345511020007096,-3.0716873824453,0.00212852519185376,0.00561346599441476,839453,ATWEE1,IM_DOWN
41,AT1G03020,16.9432140488528,-1.59815684035086,0.41095705879407,-3.88886577356905,0.000100713796382793,0.000363054200706356,839505,GRXS1,IM_DOWN
42,AT1G03050,3.69375956404141,5.00561392138026,1.02272264166562,4.89440021903497,9.86059901751375e-07,5.38871584611289e-06,839416,PICALM5A,IM_UP
43,AT1G03130,12757.5580940629,-1.06824254040938,0.22313407438902,-4.78744693446941,1.68916381516947e-06,8.7864438451873e-06,838400,PSAD-2,IM_DOWN
44,AT1G03160,692.443958700818,-1.0941908424286,0.154842907466822,-7.06645761390816,1.58938689271038e-12,2.07052654402821e-11,839566,FZL,IM_DOWN
45,AT1G03310,509.05274571189,-1.6268863070742,0.315167032030664,-5.1619812408422,2.44349782158807e-07,1.49970774169616e-06,839531,AtBE2,IM_DOWN
46,AT1G03470,36.8108393990918,-1.31297712292334,0.326237266979223,-4.02460802556612,5.70702926913074e-05,0.000217659535612329,839494,NET3A,IM_DOWN
47,AT1G03600,3898.80068992802,-1.43017873266342,0.189672441123387,-7.54025584419534,4.69050310985005e-14,7.36472508958565e-13,839449,PSB27,IM_DOWN
48,AT1G03630,2128.81230767341,-1.42712641243262,0.282636034446422,-5.04934346120383,4.43331043012685e-07,2.5911752577677e-06,839009,POR,IM_DOWN
49,AT1G03680,3435.5587645414,-1.22188070113936,0.125426344425956,-9.74181864847923,1.99943502014336e-22,6.58378984435547e-21,839436,ATHM1,IM_DOWN
50,AT1G03790,7.95534111053754,4.62842250085845,1.2530942889937,3.69359476099385,0.000221106061558017,0.000740009940756845,839408,AtC3H2,IM_UP
51,AT1G03830,59.1547545258734,-1.35551174785685,0.311790475176862,-4.34750852183006,1.37692722442954e-05,5.9685812331677e-05,839398,GBPL1,IM_DOWN
52,AT1G03850,1184.68926678363,3.34250498605312,0.346714394797952,9.64051402596355,5.39173042259996e-22,1.72888543638216e-20,839392,ATGRXS13,IM_UP
53,AT1G03900,1605.18986138714,1.04371424360076,0.164188734301064,6.35679572075244,2.06005653224491e-10,2.04880295028547e-09,839378,ABCI18,IM_UP
54,AT1G03905,50.7255224066343,1.21789936798521,0.243781408636857,4.99586648052982,5.85721766195713e-07,3.33579751487212e-06,839376,ABCI19,IM_UP
55,AT1G04020,46.5358215239507,-1.00222104054841,0.37730845492022,-2.65623795989498,0.00790178345806829,0.0178056861495281,839329,ATBARD1,IM_DOWN
56,AT1G04070,80.4599337992736,1.08310211299262,0.205333360181901,5.27484726316815,1.32866699340128e-07,8.51096400047595e-07,839317,ATTOM22-I,IM_UP
57,AT1G04110,6.87980445145502,-1.34960657058873,0.481319980688459,-2.80396955193573,0.00504776717606976,0.0120447642029507,839287,AtSDD1,IM_DOWN
58,AT1G04160,87.2080508086796,-1.64336007445323,0.299653866370883,-5.48419446195043,4.1535767964824e-08,2.91863295852347e-07,839246,ATXIB,IM_DOWN
59,AT1G04180,3.87677053891577,-5.55678087109257,1.24098281694872,-4.47772587597576,7.54423874784302e-06,3.44868303333127e-05,837024,YUC9,IM_DOWN
60,AT1G04240,345.382507183691,-1.94957412821934,0.379823332481585,-5.13284456613486,2.85395591440857e-07,1.73481773836938e-06,839570,IAA3,IM_DOWN
61,AT1G04280,915.918197947109,1.14272703635186,0.205245741238554,5.5676041288656,2.58265744716407e-08,1.87026169965738e-07,839555,NADKc,IM_UP
62,AT1G04360,27.9581919563164,-1.07216733725679,0.316372860358199,-3.38893587788432,0.000701644160044711,0.00208626862777608,839540,ATL1,IM_DOWN
63,AT1G04530,1931.05015374938,1.12504894830395,0.289375555264694,3.88785067651916,0.000101135810679523,0.000364337003018677,839500,TPR4,IM_UP
64,AT1G04580,31.8244937348117,5.89808373261843,1.04140898960213,5.66356137838967,1.4826310278081e-08,1.11852325039674e-07,839488,AAO4,IM_UP
65,AT1G04600,130.870005330851,4.10903984963611,0.40123615713199,10.240951062355,1.29952570166813e-24,4.91033476535975e-23,839480,ATXIA,IM_UP
66,AT1G04610,2.39446413611777,-3.58676600122533,0.996629570245232,-3.5988958268043,0.000319571160728619,0.00102981759796529,839474,YUC3,IM_DOWN
67,AT1G04620,319.098190293477,-2.05236631505968,0.44506255190558,-4.6114109270085,3.99945028410363e-06,1.9329506430127e-05,839472,HCAR,IM_DOWN
68,AT1G04650,27.8392779488448,-1.84445621211569,0.402103333296508,-4.58702044818812,4.49616658843458e-06,2.1541116523842e-05,839457,FLIP,IM_DOWN
69,AT1G04730,44.7408454459259,-1.21598883717401,0.319622457726636,-3.80445368521011,0.000142117498573781,0.000494738681428858,839431,CTF18,IM_DOWN
70,AT1G04760,15.7419454657718,-1.95995969617882,0.425269099967439,-4.60875172056679,4.05093721542714e-06,1.95697578768957e-05,839424,ATVAMP726,IM_DOWN
71,AT1G04820,2712.7713108952,-1.50786498916603,0.285453780997833,-5.28234372617217,1.27541616767169e-07,8.19129526461799e-07,839405,TOR2,IM_DOWN
72,AT1G04980,325.531683122332,2.33773323185997,0.417295605071847,5.60210364894083,2.1176585617271e-08,1.55759266965898e-07,839355,ATPDI10,IM_UP
73,AT1G05000,354.034387164423,4.24079707280308,0.372860157340116,11.3736932984628,5.65433444952706e-30,3.07553910095387e-28,839348,AtPFA-DSP1,IM_UP
74,AT1G05020,13.4220796956521,-1.83647922969287,0.34437315510859,-5.33281762079793,9.67004220574111e-08,6.34180886425338e-07,839343,AP180,IM_DOWN
75,AT1G05065,18.1132805202911,-1.79993045974731,0.443064659169964,-4.06245549604271,4.85592074843385e-05,0.000187971377289656,28716239,CLE20,IM_DOWN
76,AT1G05100,120.693722509242,4.46666959944531,0.633288650485511,7.05313382139556,1.74932462394831e-12,2.2668160082916e-11,839324,MAPKKK18,IM_UP
77,AT1G05190,3261.47750966084,-1.59023085641507,0.130414588826246,-12.1936577090602,3.35994826796999e-34,2.25659452424119e-32,839273,EMB2394,IM_DOWN
78,AT1G05320,137.875073296567,-1.16259553751523,0.291104838154979,-3.99373485127817,6.50405941202867e-05,0.000244418158968918,837031,PICL,IM_DOWN
79,AT1G05340,1518.16696008031,4.47297299103091,0.615973499660248,7.26163218628409,3.82446998484691e-13,5.41447617584786e-12,837033,AthCYSTM1,IM_UP
80,AT1G05385,179.191550481369,-1.36980450662444,0.170186387260323,-8.04884884552571,8.35763903158133e-16,1.57763864804375e-14,837040,LPA19,IM_DOWN
81,AT1G05420,9.57327332644153,-1.83225603362737,0.562841135632152,-3.25536979732209,0.00113244808103791,0.00319870480538328,837043,ATOFP12,IM_DOWN
82,AT1G05470,102.374003917517,-1.29785492399782,0.23207032328818,-5.59250707116985,2.23814035850625e-08,1.63909554380101e-07,837048,CVP2,IM_DOWN
83,AT1G05540,26.6535020190073,-2.08670116896366,0.445591508186014,-4.68299132866904,2.82718477698509e-06,1.40745883507807e-05,837056,AtDOA1,IM_DOWN
