"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","157/5177","199/20875",3.14088386393738e-58,7.00417101658036e-55,3.58060760488861e-55,"836059/841853/829266/842789/843989/837479/835809/816733/821268/821382/822416/835328/828893/825716/840099/838243/824559/839350/842072/815111/843110/828871/833461/816078/843890/823814/817646/843222/831437/829696/829490/827922/821840/829729/818599/821673/842794/819185/817630/828489/819992/837332/829678/829220/819353/824134/836262/822277/830772/838876/840297/829195/831741/837719/836710/829484/828697/840953/825246/832410/816652/818051/819639/843637/827564/824691/834494/820740/833476/827921/833979/840895/821399/841099/839870/823901/841995/839871/824832/820974/835506/840098/843491/814688/817656/825797/835168/837040/835286/820828/830325/830739/816623/819705/827996/842785/835515/827223/836751/2745715/842719/820461/825414/843029/842016/819406/839869/828388/824654/826626/843099/824775/815058/838591/824246/824572/844245/836789/842446/825320/824746/835806/821203/831799/841984/820043/826551/842354/3768499/818006/818532/843903/841919/843413/837178/824699/819295/842386/837848/817606/827927/815055/839449/838151/838168/837974/827877/825866/833828/837358/836525/821134/838455/822391/838498/820871/821143",157
"GO:0009657","GO:0009657","plastid organization","195/5177","303/20875",1.63229479352332e-48,1.8200086947785e-45,9.30408032308293e-46,"828912/829266/818253/842789/840038/819740/829506/817170/837198/827505/830913/816846/837583/832756/841637/836365/835165/834025/819954/837193/835057/829548/820197/817128/820236/815275/842073/841506/831647/835175/839941/832346/843271/820961/822052/840099/816668/840860/822043/830957/839662/836893/842072/843064/816579/838675/822306/832082/842573/824048/832368/834575/829919/843356/823814/818514/832467/817809/829483/814834/817646/819931/817684/834236/829696/835788/831524/826935/837797/827922/840144/821840/828977/835388/837205/818362/824886/831086/830864/819185/835926/832538/823827/817569/835409/819992/837332/837734/814965/821494/827333/836364/835652/823721/821456/829306/834671/842833/821452/838761/817429/814640/843502/816667/819424/842672/829948/834442/832327/836874/816181/822157/827001/824885/840031/823899/836461/832713/834255/837634/837719/816386/841375/830101/824636/828697/841000/10723110/816229/835467/839753/816652/833614/823537/818051/824556/822055/818197/834494/819589/833476/824576/822397/834902/822570/825466/833995/828494/817344/821509/821399/837376/831259/824861/829555/817225/816940/830699/829314/840100/818500/831975/821298/819858/817741/817656/835549/832376/827759/843251/816623/841512/835621/843812/824858/820461/829972/819406/817947/837455/827144/824441/841033/827588/825494/828181/825489/843189/819295/840472/832500/832252/818392/843133/818854",195
"GO:0019684","GO:0019684","photosynthesis, light reaction","109/5177","132/20875",2.14306434295305e-44,1.5930111615951e-41,8.14364450322158e-42,"836059/829266/837479/835809/816733/821268/821382/822416/828893/840099/838243/839350/815111/833461/816078/823814/817646/843222/829696/829490/821840/829729/818599/821673/819185/828489/819992/829678/829220/830772/838876/840297/831741/829484/828697/818051/843637/827564/824691/834494/820740/833476/827921/833979/821399/841099/839870/823901/841995/839871/843491/814688/825797/837040/835286/820828/830325/816623/827996/842785/835515/827223/836751/2745715/842719/842016/819406/839869/828388/824654/826626/843099/815058/824246/824572/844245/836789/842446/825320/835806/831799/841984/820043/826551/842354/3768499/818006/843903/841919/843413/837178/819295/842386/817606/827927/815055/839449/838151/838168/837974/827877/825866/837358/836525/838455/822391/838498/820871/821143",109
"GO:0009658","GO:0009658","chloroplast organization","140/5177","226/20875",1.65725342463649e-32,9.23918784234841e-30,4.72317226021399e-30,"828912/829266/842789/819740/829506/827505/830913/816846/837583/832756/841637/836365/835165/834025/819954/835057/829548/820197/817128/842073/831647/835175/839941/843271/822052/840860/836893/843064/816579/838675/822306/832082/842573/824048/832368/834575/832467/817809/829483/814834/817646/819931/817684/834236/835788/831524/837797/827922/828977/835388/837205/818362/824886/830864/835926/832538/823827/835409/819992/837332/837734/814965/821494/827333/836364/835652/823721/821456/834671/821452/838761/816667/819424/842672/829948/834442/832327/836874/816181/822157/827001/824885/836461/832713/834255/837634/837719/841375/830101/824636/828697/841000/839753/816652/823537/824556/818197/834494/819589/833476/824576/822397/834902/822570/825466/833995/828494/817344/821509/821399/837376/831259/824861/829555/817225/816940/830699/840100/831975/821298/817741/817656/827759/843251/841512/835621/843812/829972/819406/837455/824441/827588/825494/828181/825489/819295/840472/832500/832252/843133",140
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","193/5177","359/20875",2.31338598467056e-32,1.03177014916307e-29,5.27452004504888e-30,"836059/816781/829266/819042/817221/837466/837214/830819/819364/824459/829679/837507/826595/837479/829792/836279/3770570/844293/820199/829866/838889/835809/816733/827856/820944/835177/829034/829737/831184/821268/822343/817568/834417/841147/821382/827899/822416/824710/831645/828013/819070/837904/842836/828893/840099/838243/839350/822349/842072/829622/825895/815111/816697/840138/833461/816078/823814/831596/835006/817646/821870/819845/843222/829696/829490/821840/829729/841468/818599/821673/824599/820827/816505/819185/828489/824098/819992/829678/829220/834351/837610/835369/821313/835945/828758/820163/836262/830024/842375/829420/830772/838876/840297/831741/821589/833559/829484/818580/828697/825246/828564/818212/831769/816652/818051/819639/843637/827564/830052/824691/834494/820740/834883/832042/833476/827921/833979/820723/816672/844047/821399/841099/839870/823901/841995/839871/843491/814688/825797/835168/837040/835286/839531/820828/830325/816623/827996/842785/835515/827223/836751/2745715/842719/820461/822590/842016/819406/839869/828388/824654/826626/843099/815058/838591/824246/823850/824572/844245/836789/842446/825320/835806/831799/841984/820043/826551/842354/3768499/818006/843903/832513/841919/843413/837178/819295/842386/817606/827927/828759/815055/839449/838151/838168/837974/827877/825866/837358/836525/838455/822391/838498/820871/821143",193
"GO:0009409","GO:0009409","response to cold","201/5177","430/20875",1.8406314011286e-23,6.84101337419462e-21,3.49719966214434e-21,"821874/835934/836497/823706/827305/820428/835379/818982/816762/827392/831925/827786/839752/821148/837507/837479/841092/831657/827863/840521/829330/839621/830303/833835/842359/821802/835919/836543/819965/818568/836629/831635/825307/819634/836867/842058/826716/830307/829754/832393/824477/816297/836236/842312/827336/835313/828552/821432/824036/836519/840099/820609/818685/842697/843048/838495/835011/833552/843356/834398/815304/843527/829684/839131/814686/816633/824566/841757/830336/832371/829240/819217/821840/841468/828936/828598/841372/816538/837206/843835/827419/819743/828556/838632/826859/819294/844279/844282/837403/829697/817317/818531/818457/819174/836262/818213/830024/822277/837636/831051/818820/840069/821003/818903/835320/838259/820082/824694/839283/837483/837619/838984/814873/826594/832195/831087/818558/820288/837286/821684/821966/836367/838209/844047/817165/838895/830332/840895/843793/821206/837457/825368/836772/841099/823901/821642/817205/839814/838290/840098/838674/837843/828651/835168/816124/818299/822168/835257/818458/830517/818697/820921/820461/843182/835307/839436/825414/843029/816092/824654/839395/815058/817947/824379/824572/835567/830039/828579/837455/842446/825320/835144/829949/841996/831100/826551/3768499/824261/824514/825753/820041/824087/820335/815055/839815/844085/816705/819758/828653/831454/834301/821134/818853/822391/819757/841346/817439/818854/829544/828652/831453",201
"GO:0009767","GO:0009767","photosynthetic electron transport chain","41/5177","46/20875",4.57062078618032e-20,1.45606919331173e-17,7.44358242320796e-18,"836059/829266/835809/821268/828893/815111/817646/829490/821673/819185/828489/829220/827921/814688/825797/820828/827996/842785/836751/842016/828388/843099/824246/824572/836789/841984/826551/842354/3768499/843413/819295/842386/838168/837974/827877/825866/837358/836525/838455/820871/821143",41
"GO:0003002","GO:0003002","regionalization","104/5177","186/20875",1.01938478942474e-19,2.84153510052145e-17,1.45262332493025e-17,"823706/837960/827954/818982/817252/834031/841978/834213/828155/819666/838512/831541/840912/839928/816291/828523/829842/814786/828635/826172/817721/817830/831141/815269/829845/824589/840211/841645/814812/824468/827965/833970/831171/822138/837498/818340/829919/827132/820060/840218/838621/820777/817299/829783/826364/818036/831518/819153/835648/843134/823605/837277/821847/844282/830915/843693/816492/837048/821852/829267/832968/6240858/817173/814726/837997/836142/817761/820634/844348/824443/816640/837654/824585/831383/838363/824637/836414/835028/818336/830976/816621/830889/819276/817593/817788/827127/835401/832093/823703/818444/826909/834409/3768574/817947/827914/828569/819127/834713/843393/834792/817199/835618/837452/839040",104
"GO:0007389","GO:0007389","pattern specification process","119/5177","228/20875",4.40453862930977e-19,1.09134679370675e-16,5.57908226379237e-17,"823706/838039/837960/827954/818982/817252/834031/841978/834213/828155/818270/819666/838512/831541/840912/839928/816291/828523/829842/814786/828635/826172/817721/843634/817830/835098/831141/815269/829845/824589/840211/841645/814812/824468/827965/833970/831171/822138/837498/818340/829919/827132/820060/840218/843432/838621/831757/830360/820777/817299/829783/839385/826364/818036/831518/819153/835648/843134/823605/837277/821847/844282/830915/843693/816492/837048/821852/829267/832968/6240858/817173/814726/837997/836461/836142/817761/820634/844348/824443/816640/837654/824585/831383/838363/830879/824637/836414/835028/818336/814670/830976/817361/816621/827760/830889/819276/817593/817788/827127/835401/832093/823703/818444/826909/834409/3768574/817947/827914/828569/819127/834713/843393/838916/834792/817199/835618/837452/836053/839040",119
"GO:0048366","GO:0048366","leaf development","192/5177","436/20875",7.02262796316406e-19,1.56604603578559e-16,8.00579587800703e-17,"831213/836497/843314/821138/841853/818982/835701/821463/843736/821718/816762/826870/829743/839626/829244/841851/820530/822417/825648/832171/829025/818030/836617/818862/819666/832773/830498/838512/827702/819282/831541/839286/827642/831889/828328/820621/839621/830891/830756/841968/842529/843034/829157/826172/841072/825336/821781/817830/820730/835098/842760/820816/836742/830454/830019/831764/824853/824589/823594/828558/820318/821873/834663/842876/828165/821982/842071/830463/836321/839401/841645/829216/827125/826470/816495/841753/820609/836845/824468/832268/833970/831171/829930/822138/816579/828890/838138/843141/818340/829919/824452/820060/844375/830360/820777/842311/831081/842858/820732/821783/818362/819153/835648/830735/827123/825338/836337/836861/844282/836218/829843/817659/843693/836584/839329/837610/816492/824251/837048/819424/820658/832968/839108/824134/834442/818213/817173/830701/830751/839990/830566/828167/819300/816181/827568/837997/818820/823899/839901/826715/836710/830445/829175/824443/825528/816640/837654/824457/824585/838363/835467/824229/825828/820582/830512/828263/828908/818558/828645/820723/819038/829392/816940/830889/834197/828475/834439/826750/817788/832093/835307/829311/824775/3768574/827914/832582/828569/819127/842743/827588/841842/837989/843393/839568/817199/3768521/841156/835246/831234/818853/836053/818854",192
