"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","GO:0042742","defense response to bacterium","179/2105","434/20875",1.28949670943316e-66,2.54030851758332e-63,1.82429850260859e-63,"843660/821135/824681/816436/842988/840190/823671/838338/838508/828430/817628/819130/820307/826770/828414/834101/828420/841606/834678/831700/826753/815864/826860/824073/832320/817626/831173/823679/828413/817828/817474/823729/836602/6241037/819632/832524/828415/834646/828963/836686/843406/831826/819248/828427/835828/819326/843208/825139/817471/832750/835341/828422/829308/832801/827563/828418/828950/815147/828425/828481/843716/832488/841944/836150/835012/843810/824188/818348/830058/833963/826752/827714/832618/817039/825837/837365/824408/830520/829589/829466/820669/818491/830350/820035/824629/837800/5008297/840250/820141/825706/837999/837210/834545/836153/836518/818802/824900/826791/823593/835392/28720712/828419/838224/828412/828429/836646/834577/824807/818429/842281/817841/834892/826884/844276/828967/836377/834768/823964/831345/828782/840016/816258/816913/844423/825144/830154/824548/823622/818549/842275/822474/828424/826809/834660/841270/10723040/831955/824711/818670/828606/836753/828426/820630/832285/826757/829480/836819/825650/837405/827085/818588/821717/828032/829303/844127/844385/830916/842733/838501/838812/838438/834536/834690/836149/821453/827710/821607/840115/839232/819684/828423/837393/829901/827397/836565/823804/822529/828713/834561",179
"GO:0009620","GO:0009620","response to fungus","140/2105","376/20875",8.12832535194299e-46,8.00640047166384e-43,5.74972067000598e-43,"836823/843660/821135/824681/842988/840190/821832/823671/838338/838508/843353/817628/819130/824763/826642/834101/822298/841606/834678/830917/827745/836533/832660/842711/843748/826860/824073/826861/820155/823679/834378/817828/844307/833954/836602/6241037/832524/818952/816283/817744/841082/824212/835828/830902/832686/832750/840188/818064/824210/829308/836596/839026/820429/820591/824405/836150/843810/815943/827714/817039/838721/839392/827831/818403/829589/829466/822110/830401/827663/841328/830350/824306/819700/839028/822093/840250/837210/834545/834842/820848/830779/825135/836825/818167/827493/840948/817901/824807/818429/819253/842281/824211/814694/830443/817553/835091/844423/837635/837673/818549/842275/825189/823620/822474/818605/827381/828287/821460/820355/828457/819252/820398/828064/819552/818670/829480/836819/825650/827085/822169/821717/825452/830916/842733/817745/821453/827710/834630/818715/833810/838824/837393/828151/835632/839112/837071/839141/834026/817375/831594",140
"GO:0140546","GO:0140546","defense response to symbiont","130/2105","372/20875",3.78457587311474e-39,2.48520482334534e-36,1.78472630647937e-36,"818171/821135/840190/821832/838338/838508/817628/829955/834101/832474/822298/818959/828420/834678/815864/815949/826860/824073/817626/831173/824893/836612/817828/819632/816381/828963/836686/843842/838043/829869/835828/816859/830943/824608/832750/829308/835550/820429/836614/832241/824405/843716/824257/840017/817923/843810/830058/843276/835358/815862/837365/843617/832170/824408/831903/830520/829589/843620/822184/842432/837531/831158/834469/837800/817197/821569/820141/834545/820848/827493/826791/823593/28720712/814753/838336/837125/824807/818429/825831/842281/834892/826884/835639/834768/823964/831345/833957/841026/840016/835091/844423/834753/828416/830154/818549/825434/834660/839574/10723040/820355/839846/819552/820338/832530/816894/839735/831863/829480/836819/825650/834517/821717/818989/842733/838812/838438/834536/821300/843462/827710/836163/821607/821676/827397/828151/842754/841327/834561/831876/839808",130
"GO:0009751","GO:0009751","response to salicylic acid","89/2105","199/20875",8.63129549148809e-37,4.25091302955788e-34,3.05275293172631e-34,"843660/821135/838122/842988/833667/820307/826642/834101/815864/832320/832476/842863/823729/839748/844307/838107/832524/834646/836686/831826/838043/819248/824212/828427/814985/829308/831174/835550/6240315/824405/828481/824257/842862/837768/818348/830058/815943/817039/844028/838721/824408/830520/825291/830401/831156/6240283/824306/5008297/834545/830779/5008204/843864/828412/817901/824807/817841/823964/817491/835019/816258/844423/830587/828416/823620/820355/832845/839846/842580/842428/818670/828426/839735/831863/825650/827085/818588/827634/838723/825804/842733/838812/843462/827710/825880/839232/837393/827397/828151/838147",89
"GO:0050832","GO:0050832","defense response to fungus","104/2105","274/20875",4.24949432414748e-35,1.67430076371411e-32,1.20238323613773e-32,"836823/821135/821832/823671/838338/838508/843353/817628/824763/834101/822298/841606/834678/830917/836533/832660/842711/843748/826860/824073/826861/823679/834378/817828/833954/836602/6241037/818952/817744/841082/835828/832686/818064/829308/836596/839026/820429/820591/824405/836150/843810/815943/827714/817039/838721/839392/827831/818403/829589/829466/822110/830401/827663/841328/830350/819700/839028/822093/840250/837210/834545/834842/825135/836825/827493/817901/824807/818429/842281/814694/830443/817553/835091/844423/837635/818549/842275/825189/822474/818605/828287/820355/828457/828064/819552/818670/829480/836819/825650/827085/825452/830916/842733/817745/821453/827710/834630/818715/837393/835632/837071/839141/817375/831594",104
"GO:0031347","GO:0031347","regulation of defense response","106/2105","297/20875",5.27140100837346e-33,1.73077666441595e-30,1.24294086934279e-30,"824681/817484/821832/838338/824763/834101/832474/822298/817495/841606/837408/824073/831173/830142/826796/817828/6241037/836686/825433/825139/832750/829308/826456/824405/828481/843716/843810/830058/833963/832618/835358/821213/817039/843617/818403/832170/824408/829589/843620/822184/842432/825291/830401/831158/822093/837800/820141/825706/837999/837210/827493/817746/28720712/816412/814753/838336/824807/825831/842281/834892/826884/830443/836377/834768/831345/833957/841026/828782/838310/844423/837673/818549/821808/822474/825434/10723040/820355/828457/824711/818670/821061/832530/836753/836819/825650/827085/821717/842733/838501/834536/820142/823426/819969/836163/826407/831392/837393/829901/827397/835632/842754/841327/839141/834561/831876/817375",106
"GO:0080134","GO:0080134","regulation of response to stress","134/2105","443/20875",8.94217566279982e-33,2.51658372224509e-30,1.80726076553428e-30,"824681/817484/821832/838338/824763/834101/832474/822298/819120/817495/841606/834678/837408/822092/824349/815949/824073/831173/842057/830142/826796/817828/823729/6241037/836686/817744/829853/825433/819248/834836/825139/832750/829308/826456/824405/828481/843716/843810/830058/833963/832618/835358/821213/817039/843617/843057/818403/832170/824408/829589/843620/822184/842432/825291/830401/816622/831158/819715/822093/837800/844166/820141/825706/837999/837210/827493/817746/28720712/816412/814753/838336/824807/824359/825831/842281/834892/826884/830443/836377/840181/834768/825927/831345/833957/841026/828782/838310/844423/837673/818549/821808/831293/822474/825434/821005/832137/10723040/820355/828457/819961/824711/818670/821061/832530/836753/836819/825650/827085/821717/842733/838501/834536/820142/823426/819969/817745/836163/826407/831392/832733/824115/837393/829901/827397/835632/839780/842754/833026/841327/839141/834561/834026/831876/817375",134
"GO:0012501","GO:0012501","programmed cell death","81/2105","194/20875",5.32166529398363e-31,1.31046007864347e-28,9.41094494093948e-29,"843660/820564/838338/838508/829955/828420/837408/831173/838212/823729/822119/836686/838043/828427/6240393/830902/817807/824608/824405/837783/824257/824188/827714/829566/815862/837365/843617/834758/832170/824408/829589/843620/834210/831158/817197/828614/834842/827493/824900/817746/823593/842710/828412/842281/834892/826884/823964/833957/835091/844125/816258/835203/818435/838779/828416/823622/834660/10723040/820355/839561/839846/839735/829480/834517/821717/842733/829993/830497/843462/821607/840115/839232/836158/821676/837393/823804/836574/820317/842754/834561/839808",81
"GO:0008219","GO:0008219","cell death","81/2105","196/20875",1.26655920413412e-30,2.77235736904914e-28,1.99094218755119e-28,"843660/820564/838338/838508/829955/828420/837408/831173/838212/823729/822119/836686/838043/828427/6240393/830902/817807/824608/824405/837783/824257/824188/827714/829566/815862/837365/843617/834758/832170/824408/829589/843620/834210/831158/817197/828614/834842/827493/824900/817746/823593/842710/828412/842281/834892/826884/823964/833957/835091/844125/816258/835203/818435/838779/828416/823622/834660/10723040/820355/839561/839846/839735/829480/834517/821717/842733/829993/830497/843462/821607/840115/839232/836158/821676/837393/823804/836574/820317/842754/834561/839808",81
"GO:0002376","GO:0002376","immune system process","96/2105","276/20875",5.56303734244461e-29,1.09591835646159e-26,7.87023388236374e-27,"840190/821832/838338/838508/817628/829955/834101/832474/828420/815949/826860/824073/817626/831173/836612/817828/833523/828963/836686/838043/835828/816859/824608/835550/836614/824405/824257/817923/830058/843276/832618/824410/836222/815862/837365/843617/832170/824408/829589/843620/842432/837531/831158/817197/820141/820848/827493/826791/823593/28720712/820357/842710/814753/838336/824807/842281/834892/826884/834768/823964/833957/835091/834753/830154/818549/825434/834660/818291/839574/10723040/820355/839846/819552/839735/829480/836819/825650/834517/821717/818989/842733/822601/838438/834536/821300/843462/821607/836158/821676/827397/823804/842754/841327/834561/831876/839808",96
