"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","103/3797","199/20875",6.02376185837547e-27,1.32763711358595e-23,8.04647768239839e-24,"837479/832477/829266/825834/821382/842789/829729/828722/818051/815111/843637/816652/837719/842794/828697/823901/827921/821399/836262/842719/840297/834494/835515/822277/819406/840895/835506/841099/819353/831437/824775/3768499/824691/819705/837040/825797/818006/841995/839869/824134/830325/843491/824832/827223/816623/839870/826626/824654/832410/841984/820461/842785/840098/830739/2745715/820828/824572/842354/818532/836751/827996/842016/818599/835806/842446/825320/843029/828388/836789/820043/824699/837178/837848/826551/824746/819295/838168/843903/843099/827927/837974/824246/844245/841919/825414/838151/815058/839449/831799/817606/842386/820871/833828/825866/827877/821134/836525/837358/838498/838455/815055/821143/822391",103
"GO:0019684","GO:0019684","photosynthesis, light reaction","75/3797","132/20875",2.88308418025161e-23,3.17715876663728e-20,1.92559674986279e-20,"837479/832477/829266/821382/829729/818051/815111/843637/828697/823901/827921/821399/842719/840297/834494/835515/819406/841099/3768499/824691/837040/825797/818006/841995/839869/830325/843491/827223/816623/839870/826626/824654/841984/842785/2745715/820828/824572/842354/836751/827996/842016/818599/835806/842446/825320/828388/836789/820043/837178/826551/819295/838168/843903/843099/827927/837974/824246/844245/841919/838151/815058/839449/831799/817606/842386/820871/825866/827877/836525/837358/838498/838455/815055/821143/822391",75
"GO:0140546","GO:0140546","defense response to symbiont","142/3797","372/20875",4.84652681566203e-20,3.56058170057303e-17,2.1579798347632e-17,"829308/823405/837531/817628/839566/823593/825650/841427/842281/819632/842432/843615/842787/830520/821832/843620/816500/823508/818077/842736/832170/814753/841327/830452/844066/821297/843462/835112/836686/841968/819634/832750/834536/819552/829282/824405/815862/835513/840190/834307/840016/831889/834517/834376/834561/839551/829480/829785/834042/842754/834562/819104/831155/819056/842951/829589/832530/836163/840859/844407/834545/836134/836819/818429/826791/841792/820713/839160/837775/816580/828626/839808/818581/844250/827788/820202/832693/838647/833534/829510/830463/834443/836111/833747/829854/818299/840148/837365/829277/839203/837464/822525/843750/816765/822184/820429/836578/841996/819576/838508/819682/820337/831863/835358/816346/830943/821966/821379/828579/829949/824893/824148/836612/824072/839843/839602/816859/827093/828608/818959/841140/843842/28720712/820159/816381/828963/829883/836614/815864/815949/835639/834469/830859/816736/836613/819126/822807/830860/828519/834905/2745743/841403",142
"GO:0009409","GO:0009409","response to cold","156/3797","430/20875",2.19742887910156e-19,1.21078331238496e-16,7.33825591468388e-17,"842384/840521/833728/838824/838780/832206/830996/840476/825146/831554/837479/837958/824682/821148/829754/837507/838883/830128/827925/830800/816149/820428/827395/841092/816815/836452/819634/818568/830303/829330/839268/838676/839621/829733/825331/835379/836497/818605/828714/827305/836724/836163/836543/836867/818429/842058/834398/815304/821819/821432/819217/830336/835320/824341/832371/840438/824036/837206/835011/838165/832195/818299/823901/839878/829697/817205/828651/838495/836262/818685/820288/822277/840895/841099/829661/843793/821642/3768499/837843/836367/841996/839349/830024/820082/840069/827931/838984/837483/821003/837028/821206/822388/839814/830909/824379/830332/841372/819174/830517/831100/821966/824654/818531/820461/824087/828556/840098/824572/835567/838259/820921/817317/817165/835144/838896/817947/828579/829949/824893/819386/837455/824694/824261/828598/818558/842446/839436/825320/817901/820041/843029/831087/819757/837286/843527/817439/818854/831454/826551/820335/844085/816124/843182/818697/814873/839395/825414/815058/830039/821134/838674/815055/838895/842862/822391/831453",156
"GO:0042742","GO:0042742","defense response to bacterium","154/3797","434/20875",4.03901227004079e-18,1.78039660863398e-15,1.07905401488037e-15,"829308/818754/827612/823405/829466/817628/834478/839566/823593/835012/825650/818670/842281/819632/842275/837393/842787/837322/830520/834690/830916/818491/828426/842988/825139/832320/844276/826757/827714/820632/2745988/831700/836686/832750/834536/824900/829282/839621/831020/840190/830782/840016/831889/830345/829303/837555/834561/825837/831955/829901/828424/829480/836565/821453/818511/829785/834042/834562/831155/828782/819056/817638/842951/833676/829589/836504/816258/841270/820630/832507/840859/834545/826809/834577/836819/818429/826791/841792/835736/840250/837289/828414/843253/839160/837775/837999/837506/839232/818581/827788/819999/824049/821343/826918/829710/838647/828713/819941/842905/822529/832123/836111/818034/819326/824940/820296/841284/820664/837365/829697/822530/821965/829277/839203/821120/834646/820980/835392/824621/816765/820217/838508/820665/816847/839410/816993/843963/833963/836238/843393/817039/816623/841305/836602/824838/838896/823551/841842/824072/838606/841269/829458/827093/28720712/820159/820264/828963/828695/843208/815864/817228/832538/838895/828519",154
"GO:0010629","GO:0010629","negative regulation of gene expression","127/3797","352/20875",8.21064094620981e-16,3.0160421075744e-13,1.8279479580246e-13,"836300/839244/823849/831157/830626/835150/816309/837181/839081/837322/818591/831597/843996/819210/842988/823508/817919/822389/827925/838759/838762/828259/842655/816905/817938/821485/836259/840143/816307/840016/827323/839689/829765/828599/823960/832217/820530/830308/818511/831244/831529/834160/844417/817252/831743/820529/821382/841891/823578/816870/828876/831141/836134/816257/829557/833507/837384/815269/834736/838354/843900/819852/816650/837133/820548/840040/824853/829117/821192/832372/825221/837511/831486/832140/836227/832060/818942/825027/831941/844250/827788/837357/828654/838387/817767/836431/816462/832055/828303/837409/839109/828163/834443/832829/832242/822081/843874/830963/828831/820996/821587/835553/844199/819897/838495/819950/827277/825892/5007942/818463/826714/824621/817369/837483/834934/826931/839497/820478/823551/841910/836109/817365/829611/842441/820264/838622/831910",127
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","159/3797","490/20875",1.14917296570334e-14,3.61825316630023e-12,2.19293307289855e-12,"843584/842482/840521/827612/824396/838824/831483/822167/819567/841427/833655/832820/814974/816966/821961/834169/837507/817437/832750/826456/839429/830144/817175/830746/837555/838147/834758/844314/837140/836724/819767/820862/819870/836163/823556/820630/837235/830961/818220/814996/829022/827043/820816/816390/837583/842724/828484/824459/838668/824568/827788/830546/824385/814643/839031/841699/819824/826918/825905/7922308/834398/816585/834591/817570/827088/837610/837888/824702/816652/819070/822181/823650/824599/818701/828213/839891/841905/842561/842836/821965/829277/817205/815152/839434/841900/827835/822525/820288/838528/842775/816892/839889/816765/833497/840346/841670/844094/837731/830052/836367/814962/840069/820257/843028/838508/819205/819664/818937/821461/837147/843393/830332/835358/839053/837095/831500/816893/820461/825492/820828/827089/836475/817165/841787/831406/816672/826642/828553/815998/829574/824208/817901/827018/834813/821249/836003/834300/837286/828608/819284/842961/816124/832383/843182/828019/830825/814873/817832/817412/824033/815864/831484/839395/836464/819219/830302/838551/820216/831690",159
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","125/3797","359/20875",2.90408374392994e-14,8.00075071452698e-12,4.84905561979881e-12,"828805/819567/818212/823602/837479/832477/841765/834169/824707/837507/829737/815120/820199/833729/829266/831183/831150/834076/821382/818220/835598/819364/842724/824459/828798/814643/831645/839527/836378/829729/837610/818051/815111/842375/843637/832042/816652/834883/819070/825895/835177/828697/824599/823901/827921/842836/843450/821399/835945/834351/836262/820827/842719/840297/834494/835515/819406/829622/841099/3768499/824691/830052/830024/830076/837040/825797/818006/841995/839869/830325/819247/843491/827223/816623/839870/826626/824654/841984/820461/842785/2745715/820828/824572/842354/820163/816672/824098/836751/827996/842016/818599/835806/842446/825320/828388/836789/820043/837178/826551/819295/838168/843903/843099/816381/827927/837974/824246/844245/841919/838151/815058/839449/831799/817606/842386/820871/825866/827877/836525/837358/838498/838455/815055/821143/822391",125
"GO:0048366","GO:0048366","leaf development","142/3797","436/20875",2.2258176923969e-13,5.45078021560307e-11,3.30358204871539e-11,"820052/831157/824390/825650/818670/842281/817962/818030/819561/843314/826172/834412/822547/841765/818862/818902/28717391/844095/836845/841968/816815/835238/839621/815862/827702/841981/822417/829605/831889/827740/832171/836497/820292/814725/820530/821453/838510/819104/831213/819952/827173/831541/830498/838333/829743/821610/817438/819282/839335/816870/825648/825452/825381/828464/837384/821463/820214/830891/829390/820816/824853/832773/817830/820318/843736/834663/826870/820730/838668/829202/821982/838281/835098/831492/822318/829431/837610/830463/835467/816940/819300/839901/816495/824468/816181/831508/830566/829843/816209/824452/830701/843141/824457/816579/832476/829919/840139/824775/828475/825336/825528/824134/832968/843393/836218/837997/816492/828167/819129/817659/820582/834197/832093/826642/841842/818558/839864/819153/824585/827914/836337/827588/818959/818854/817103/837660/819127/819038/837989/815864/827634/817199/3768574/839568/834439/831234/830512/834629/843656/824443/835246/842743",142
"GO:0015031","GO:0015031","protein transport","152/3797","478/20875",2.81486939583326e-13,6.2039721484165e-11,3.7600729087499e-11,"836300/823405/844268/817230/839158/832505/839062/828571/838100/816490/830626/822557/831043/829065/830499/831870/825257/828005/822352/836381/820629/821074/841666/824539/820284/820048/820001/843918/825830/828875/824714/814874/824451/816678/824812/819605/820113/834184/830452/820997/2745988/842497/829059/835112/832102/817107/837804/820842/824405/822375/843677/839001/840321/823559/832340/835217/816289/817175/844050/830746/829596/831565/837894/824651/838077/837851/835165/835429/817851/829276/819896/817291/829275/827757/831021/837579/818870/832756/841841/838891/816310/818380/828883/824831/828105/829412/840060/827303/823924/816198/819832/837130/842418/836484/825344/839800/819740/821946/820142/831675/825162/814908/834213/815065/837448/820132/817429/818317/835612/818915/839620/832404/818821/838792/835320/834094/818594/835973/832123/819330/833747/832368/821342/836892/843204/831817/837378/816018/839248/817502/834420/835615/817724/819358/829369/838623/820127/819929/819114/816623/816936/831041/818152/842453/841512/824148/842922/820144/817439/827144/832987/816020",152
