"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","GO:0042742","defense response to bacterium","30/490","434/20875",1.53589032773475e-07,0.000224854343980367,0.000189480364642644,"817474/826860/824681/828420/835828/828950/828428/836153/825144/843660/824073/828429/827563/823679/821135/824711/6241037/841944/820669/818802/823680/820463/818827/816436/830350/837602/838224/815147/828425/834678",30
"GO:0050832","GO:0050832","defense response to fungus","20/490","274/20875",8.23945132029816e-06,0.00429375157708259,0.00361826060421397,"826860/830917/833954/836533/836596/835828/824763/827663/822110/824073/823679/821135/6241037/836823/835632/830350/837602/843353/817375/834678",20
"GO:0009620","GO:0009620","response to fungus","24/490","376/20875",1.0474552995888e-05,0.00429375157708259,0.00361826060421397,"826860/830917/840948/833954/824681/836533/836596/835828/824763/827663/822110/843660/824073/823679/821135/6241037/836823/820398/835632/830350/837602/843353/817375/834678",24
"GO:0019320","GO:0019320","hexose catabolic process","5/490","14/20875",1.1731561686018e-05,0.00429375157708259,0.00361826060421397,"820006/827834/818050/839942/834475",5
"GO:0045229","GO:0045229","external encapsulating structure organization","23/490","364/20875",1.87515815784871e-05,0.00549046308618103,0.00462670602315514,"816699/841820/835828/830056/829695/822697/818720/818050/831317/834564/816649/839942/818917/830979/6241037/843671/3768816/843203/834475/843353/819903/825831/825122",23
"GO:0046365","GO:0046365","monosaccharide catabolic process","5/490","16/20875",2.46192752997963e-05,0.0060071031731503,0.00506206853532654,"820006/827834/818050/839942/834475",5
"GO:1903046","GO:1903046","meiotic cell cycle process","14/490","167/20875",4.16613449530946e-05,0.00871317271590435,0.007342420493989,"839275/838831/829704/825523/839457/817756/827537/828396/823975/836513/844068/841256/819903/840448",14
"GO:0010091","GO:0010091","trichome branching","6/490","31/20875",7.25204272449037e-05,0.0132712381858174,0.0111834132540825,"832970/821209/834031/818827/843671/825831",6
"GO:0032504","GO:0032504","multicellular organism reproduction","16/490","227/20875",9.84823539080272e-05,0.0139533163225082,0.0117581871800256,"828081/833998/830056/827663/822110/831159/830497/839574/834978/819212/842716/839323/823975/844068/819903/819620",16
"GO:0030048","GO:0030048","actin filament-based movement","5/490","21/20875",0.000104080738980259,0.0139533163225082,0.0117581871800256,"817886/817748/824985/839246/828845",5
"GO:0000280","GO:0000280","nuclear division","14/490","183/20875",0.000112230760305983,0.0139533163225082,0.0117581871800256,"838831/829704/825523/839457/818827/827537/828396/823975/836513/844068/841256/819903/818131/840448",14
"GO:0051321","GO:0051321","meiotic cell cycle","14/490","184/20875",0.000118920380822781,0.0139533163225082,0.0117581871800256,"839275/838831/829704/825523/839457/817756/827537/828396/823975/836513/844068/841256/819903/840448",14
"GO:0007127","GO:0007127","meiosis I","9/490","82/20875",0.000129011618480803,0.0139533163225082,0.0117581871800256,"838831/829704/825523/839457/823975/836513/844068/841256/840448",9
"GO:0140013","GO:0140013","meiotic nuclear division","11/490","121/20875",0.000133433352810871,0.0139533163225082,0.0117581871800256,"838831/829704/825523/839457/827537/828396/823975/836513/844068/841256/840448",11
"GO:0061982","GO:0061982","meiosis I cell cycle process","9/490","84/20875",0.000155507937699296,0.0151775747194512,0.0127898458234087,"838831/829704/825523/839457/823975/836513/844068/841256/840448",9
"GO:0002237","GO:0002237","response to molecule of bacterial origin","7/490","51/20875",0.000178216873723301,0.0163068439456821,0.0137414589476124,"830575/824681/828420/843660/837353/824711/842991",7
"GO:0019953","GO:0019953","sexual reproduction","20/490","348/20875",0.000232739565334271,0.019182694586422,0.0161648821220065,"839275/826989/842857/830497/838831/829704/825523/839457/817756/827537/819212/828396/842716/823975/836513/844068/841256/819903/840448/819620",20
"GO:0031047","GO:0031047","regulatory ncRNA-mediated gene silencing","10/490","109/20875",0.000248005768648645,0.019182694586422,0.0161648821220065,"827212/840017/843276/838685/839574/818083/837412/821300/835279/815840",10
"GO:0045332","GO:0045332","phospholipid translocation","4/490","14/20875",0.000248955735752744,0.019182694586422,0.0161648821220065,"822148/834447/839154/820603",4
"GO:0010090","GO:0010090","trichome morphogenesis","8/490","72/20875",0.000279266449528342,0.0204423041054746,0.017226330465643,"832970/821209/842529/834031/818827/843671/839323/825831",8
"GO:0042168","GO:0042168","heme metabolic process","5/490","27/20875",0.000367639632635467,0.025629734389444,0.0215976766640986,"817682/843310/828029/832672/843308",5
"GO:0034204","GO:0034204","lipid translocation","4/490","16/20875",0.000436072760943075,0.0290186600918483,0.0244534581734586,"822148/834447/839154/820603",4
"GO:0005984","GO:0005984","disaccharide metabolic process","8/490","78/20875",0.000484063478953436,0.030250941118752,0.025491877330441,"836638/828081/841567/830979/826855/843319/834978/843034",8
"GO:0070918","GO:0070918","regulatory ncRNA processing","7/490","60/20875",0.000495917067520525,0.030250941118752,0.025491877330441,"827212/843276/838685/839574/821300/835279/815840",7
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","24/490","490/20875",0.000611929609092892,0.0358345979084798,0.0301971158676577,"820006/816509/827663/837119/824516/834966/831039/832657/830894/815657/841026/830592/817524/839347/836015/821135/829227/6241037/841944/840522/843838/838224/835571/835764",24
"GO:0009611","GO:0009611","response to wounding","16/490","268/20875",0.000636748950097507,0.0358354094303394,0.0301977997212811,"841820/826958/814828/843660/819339/830894/838179/832474/6241037/841944/836103/829623/830457/832196/844143/817375",16
"GO:0048609","GO:0048609","multicellular organismal reproductive process","14/490","218/20875",0.000673435622466186,0.0358354094303394,0.0301977997212811,"828081/833998/830056/827663/831159/830497/839574/834978/819212/842716/839323/844068/819903/819620",14
"GO:0002213","GO:0002213","defense response to insect","6/490","46/20875",0.000685376683093923,0.0358354094303394,0.0301977997212811,"835828/824763/822110/831268/830894/6241037",6
"GO:0048285","GO:0048285","organelle fission","14/490","221/20875",0.000769856264007728,0.0388644679485281,0.0327503281821073,"838831/829704/825523/839457/818827/827537/828396/823975/836513/844068/841256/819903/818131/840448",14
"GO:0051607","GO:0051607","defense response to virus","7/490","65/20875",0.000808502560239062,0.0394549249396662,0.0332478947579011,"818171/840017/843276/839574/821300/815840/834678",7
