"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","BP","GO:0042742","defense response to bacterium","157/1678","434/20875",7.41595706457248e-63,1.35489535569739e-59,1.03120834550529e-59,"838508/823671/838338/815864/828430/816436/821135/840190/842988/843660/820307/819130/817628/828414/834101/826770/828963/824681/828413/831173/841606/836602/843208/826753/831700/834646/817626/817828/834678/832320/819326/823729/831826/828415/828427/832524/843406/819248/833963/824073/828420/817039/823679/819632/836686/828422/28720712/832801/843716/837365/828481/832488/828418/6241037/843810/830058/835341/832750/825139/836150/832618/835392/829308/818348/5008297/826860/837800/828967/824408/820264/826752/824188/820035/825837/827714/837210/824807/829589/835012/828425/827563/815147/820141/824548/838896/844423/823964/835828/840250/834892/837999/824629/828412/826884/830520/841944/828419/825706/836646/834545/818491/826791/830154/829466/836518/834660/10723040/832285/817841/834577/818549/831345/818429/824900/838438/827085/822529/822474/844127/816993/820669/836377/834768/830350/837405/828713/818588/828606/844385/816913/816847/828782/816258/842733/824838/838501/823593/817049/840016/826809/819684/844276/823622/822530/835360/841270/828424/827710/821607/821717/842281/828950/826918/838224/838812/831955/819941",157
"GO:0009620","BP","GO:0009620","response to fungus","119/1678","376/20875",7.67915785503175e-41,4.91533822435159e-38,3.74105481771581e-38,"838508/836823/823671/838338/826642/821135/840190/842988/843660/821832/819130/817628/843353/834101/822298/824681/827745/841606/836602/843748/820155/817828/842711/834678/832660/824763/826861/832686/844307/824210/820429/832524/834378/816283/818064/824212/818952/830902/817744/824073/815943/820591/817039/841082/823679/836533/839026/839392/817901/840188/6241037/830917/843810/838721/832750/824306/836150/824211/829308/819700/839028/826860/824405/830401/830779/827831/841328/827714/837210/824807/833954/829589/831127/827493/820848/844423/835828/840250/822093/828287/837673/834545/818167/814694/822169/819827/825135/829466/828457/5007997/817553/834842/818549/836825/818429/834630/827085/822474/837773/828064/821460/830350/823620/819253/819252/827381/820355/842733/833810/821788/817049/825189/828151/828840/818605/827710/821717/842281/819941",119
"GO:0009751","BP","GO:0009751","response to salicylic acid","85/1678","199/20875",8.07116292996977e-41,4.91533822435159e-38,3.74105481771581e-38,"826642/815864/833667/821135/842988/843660/838122/820307/834101/832476/842862/842863/834646/832320/844307/838107/831174/823729/831826/839748/828427/832524/6240315/819248/824212/814985/815943/817039/835550/836686/824257/844028/6240283/828481/817901/831156/830058/838721/837768/827634/824306/825291/5008204/829308/818348/5008297/824405/824408/838043/830401/830779/831863/824807/828416/838896/844423/823964/842861/828412/830520/834545/832845/830587/817841/817491/835019/827085/842428/842580/818588/823620/838723/816258/820355/842733/821788/828151/825880/825804/827710/821251/839846/838812/843864/839735",85
"GO:0140546","BP","GO:0140546","defense response to symbiont","115/1678","372/20875",2.22842458948332e-38,1.01783293124651e-35,7.74670758607229e-36,"838508/838338/818959/815864/815949/821135/840190/818171/821832/817628/836612/824893/834101/822298/816381/829955/828963/831173/843842/841403/816859/817626/817828/834678/836614/832474/830943/834469/820429/829869/5008207/2745743/824073/824608/835358/828420/835550/835639/819632/836686/28720712/824257/822184/843716/837365/843810/830058/832750/817923/829308/826860/824405/837800/824408/838043/817197/831863/815862/824807/829589/833957/831903/831158/820141/828416/827493/821569/820848/844423/823964/835828/832170/834892/826884/843620/830520/838336/834545/837125/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/820338/831345/818429/838438/834768/843276/840017/814753/816894/824148/820355/842733/823593/817049/840016/818989/821676/820337/828151/827710/839846/821607/821717/842281/838812/839735",115
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","85/1678","241/20875",2.46042337345414e-33,8.99038700660143e-31,6.84256689754299e-31,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/839666/818708/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",85
"GO:0001666","BP","GO:0001666","response to hypoxia","90/1678","269/20875",3.44271249271728e-33,1.04830595403241e-30,7.97863719803426e-31,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/824408/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/823964/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/828891/842733/839666/818708/843565/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",90
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","85/1678","243/20875",4.97833945158556e-33,1.13692827225585e-30,8.65314002045333e-31,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/839666/818708/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",85
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","85/1678","243/20875",4.97833945158556e-33,1.13692827225585e-30,8.65314002045333e-31,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/839666/818708/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",85
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","90/1678","273/20875",1.25626793690986e-32,2.55022391192701e-30,1.94097069550634e-30,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/824408/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/823964/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/828891/842733/839666/818708/843565/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",90
"GO:0070482","BP","GO:0070482","response to oxygen levels","90/1678","274/20875",1.72846120689338e-32,3.1578986249942e-30,2.40347079400648e-30,"838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/824408/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/823964/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/828891/842733/839666/818708/843565/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701",90
