,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,BP,GO:0015979,photosynthesis,121/2502,226/21061,0.535398230088496,4.50680340683206,19.4609679400146,9.22727869795714e-53,1.88882394947183e-49,1.23548405303173e-49,AT1G64860/AT2G45770/AT2G30790/AT4G23890/AT3G08010/AT1G01790/AT4G35250/AT4G30950/AT2G47400/AT3G49720/AT5G61410/AT3G26650/AT5G08720/AT1G22700/AT1G34000/AT4G30720/AT5G01920/AT1G11750/AT5G65810/AT4G33470/AT4G25910/AT1G43670/AT3G60750/AT5G23440/AT2G21170/AT2G34860/AT3G04790/AT1G73060/AT4G18370/AT3G55250/AT5G44650/AT3G15095/AT5G35220/AT4G01050/AT5G39830/AT1G42970/AT3G18680/AT1G45474/AT1G29920/AT3G47470/AT1G55480/AT1G29930/AT3G56650/AT3G17170/AT5G54180/AT1G32060/AT1G71500/AT2G01590/AT2G31040/AT4G04640/AT5G50950/AT1G05385/AT5G52100/AT3G15850/AT5G01530/AT5G08410/AT2G20890/AT3G05410/AT4G03280/AT1G64770/AT5G54270/AT4G15510/AT5G66190/AT4G19100/AT1G64150/AT3G12780/AT3G62410/AT1G67090/AT1G55670/AT2G47940/AT1G29910/AT4G22890/AT3G54890/AT4G10340/AT1G67740/AT3G56090/AT2G05100/AT1G20020/AT3G50820/AT3G54050/AT1G79040/AT5G66570/AT1G61520/AT3G61470/AT3G55800/AT5G57030/AT3G03630/AT5G02120/AT1G55370/AT3G08940/AT4G09650/AT1G60600/AT2G01918/AT2G34430/AT2G39470/AT1G75690/AT1G54780/AT1G70760/AT1G06680/AT3G55330/AT2G46820/AT1G60950/AT1G12900/AT2G30570/AT4G02530/AT2G05070/AT1G03600/AT1G15820/AT1G15980/AT1G14150/AT4G21280/AT4G05180/AT5G38410/AT1G08380/AT5G64040/AT3G01500/AT1G18730/AT3G27690/AT1G19150/AT3G16250/AT3G01440,121
GO:0009657,BP,GO:0009657,plastid organization,122/2502,304/21061,0.401315789473684,3.37814222306365,15.3351445169593,1.20508592406415e-36,8.22270295519772e-34,5.37848875582316e-34,AT5G53080/AT1G06950/AT2G37860/AT3G57190/AT5G12130/AT5G02250/AT2G45770/AT5G58140/AT5G24660/AT3G46740/AT2G30170/AT5G53280/AT3G08010/AT1G01790/AT1G11870/AT2G04270/AT3G19570/AT4G16390/AT5G62430/AT5G55580/AT3G45780/AT3G19220/AT4G31780/AT5G46290/AT1G65260/AT3G19180/AT1G21600/AT2G28800/AT2G01110/AT1G71720/AT2G21280/AT2G48120/AT1G63680/AT4G37920/AT5G44190/AT5G22640/AT5G67385/AT2G16800/AT3G25690/AT4G13670/AT3G57180/AT1G31410/AT3G47450/AT5G63420/AT5G26742/AT5G42480/AT1G10910/AT1G11750/AT2G18710/AT1G49510/AT4G39460/AT3G54710/AT4G25910/AT1G44000/AT5G60335/AT2G17240/AT5G53860/AT1G28530/AT2G21170/AT5G36170/AT3G44160/AT2G34860/AT3G53890/AT3G24590/AT2G36250/AT5G44650/AT3G04340/AT5G35220/AT3G54090/AT3G27750/AT5G48470/AT3G29185/AT3G62910/AT5G39980/AT4G23940/AT2G28000/AT3G19720/AT3G18680/AT1G08540/AT5G14100/AT3G56940/AT4G34090/AT2G26840/AT2G24060/AT5G08050/AT4G31850/AT1G32080/AT2G39140/AT5G18570/AT3G02380/AT3G06730/AT2G31840/AT2G31040/AT5G54600/AT5G23120/AT4G20130/AT1G69200/AT2G20890/AT1G50900/AT5G55280/AT1G74730/AT3G56910/AT3G12780/AT4G38160/AT2G47940/AT2G33800/AT1G09340/AT4G14870/AT3G52750/AT1G44575/AT4G18570/AT3G63190/AT4G01150/AT3G63140/AT1G68590/AT2G46820/AT1G35680/AT5G24314/AT5G21920/AT2G38140/AT1G68050/AT2G42540,122
GO:0009409,BP,GO:0009409,response to cold,126/2502,432/21061,0.291666666666667,2.45515254463096,11.2203617442187,1.26692606250465e-22,4.32232941657835e-20,2.82724552895773e-20,AT4G24960/AT1G49480/AT2G20180/AT1G06960/AT1G74960/AT4G17090/AT3G05740/AT4G24540/AT1G20440/AT4G12470/AT2G46810/AT1G79410/AT1G79440/AT1G08810/AT4G35450/AT2G27710/AT2G39460/AT2G38750/AT2G45660/AT5G61410/AT2G36400/AT4G38680/AT3G26650/AT1G10930/AT5G11790/AT2G42200/AT1G31812/AT3G17390/AT2G43010/AT5G52440/AT1G16880/AT3G09260/AT3G55280/AT1G01860/AT1G09570/AT1G10760/AT1G23740/AT2G03440/AT4G10030/AT5G20720/AT5G12140/AT2G39730/AT3G11170/AT1G07720/AT3G21300/AT3G23830/AT5G62470/AT1G16390/AT1G77120/AT2G26250/AT1G22885/AT5G04530/AT1G42970/AT1G74520/AT3G02870/AT1G09350/AT3G61950/AT5G66400/AT1G45474/AT3G47470/AT3G20930/AT2G26640/AT1G29390/AT1G17190/AT1G32060/AT1G20823/AT1G12860/AT4G25470/AT5G50950/AT2G16280/AT2G37220/AT3G25770/AT5G51820/AT2G38760/AT5G06290/AT2G40970/AT3G16690/AT3G12780/AT1G68530/AT5G52310/AT1G03680/AT3G62410/AT1G67090/AT2G15970/AT3G54890/AT1G01120/AT2G05100/AT2G33800/AT3G52150/AT3G54050/AT5G54770/AT4G38840/AT4G24770/AT1G09340/AT1G61520/AT3G61470/AT5G50720/AT4G37930/AT1G55490/AT5G12250/AT4G09650/AT2G01918/AT3G50970/AT3G53460/AT4G04330/AT3G08920/AT3G49260/AT3G11630/AT2G05070/AT1G29395/AT1G77490/AT2G21660/AT3G05890/AT4G25490/AT5G15970/AT5G42900/AT3G01500/AT2G42530/AT3G27690/AT3G05880/AT1G49230/AT2G28900/AT2G42540/AT4G33980/AT4G25480/AT5G15960,126
GO:0006631,BP,GO:0006631,fatty acid metabolic process,86/2502,280/21061,0.307142857142857,2.58542594495832,9.80589651581218,2.35547436100315e-17,6.02707002121682e-15,3.94232024631054e-15,AT5G10480/AT5G48230/AT1G04710/AT1G74960/AT1G24360/AT5G48880/AT2G38010/AT2G23600/AT1G30120/AT4G30950/AT5G42890/AT1G10670/AT5G46290/AT3G15690/AT1G19440/AT5G52920/AT4G09900/AT1G54580/AT2G31360/AT1G13280/AT3G23840/AT3G55360/AT3G25110/AT5G08415/AT3G28910/AT5G42650/AT3G02630/AT4G37980/AT1G31812/AT4G14440/AT3G10870/AT1G49430/AT5G60335/AT3G56130/AT2G30200/AT1G30520/AT2G46720/AT1G79700/AT1G06360/AT3G11170/AT1G08550/AT1G07720/AT3G05020/AT1G62640/AT2G32720/AT3G48460/AT2G45970/AT2G26250/AT5G04530/AT4G34250/AT4G01900/AT5G47630/AT4G20870/AT2G26640/AT1G77590/AT2G23610/AT2G23560/AT3G50440/AT2G05990/AT5G16390/AT2G16280/AT4G34510/AT3G15850/AT2G28630/AT3G25770/AT4G24510/AT5G35360/AT3G63170/AT5G05580/AT5G15530/AT1G68530/AT4G25050/AT5G63450/AT1G01120/AT4G13840/AT5G09660/AT4G00360/AT1G19640/AT2G15090/AT1G66430/AT5G16240/AT1G16060/AT1G53520/AT1G06080/AT3G10520/AT5G58310,86
GO:0009733,BP,GO:0009733,response to auxin,105/2502,381/21061,0.275590551181102,2.31982917602926,9.54553985915705,3.98333398111487e-17,9.05987184371349e-15,5.92608283506212e-15,AT2G17800/AT1G64625/AT4G37260/AT2G20180/AT1G77110/AT5G12330/AT1G08810/AT1G73590/AT3G42660/AT2G33310/AT3G12090/AT5G07990/AT3G22810/AT3G23030/AT1G75580/AT3G50410/AT3G16500/AT1G31040/AT5G47370/AT5G14960/AT4G13520/AT1G19830/AT4G32880/AT2G01950/AT3G28910/AT2G34680/AT1G14350/AT3G13980/AT4G37580/AT4G03190/AT2G43010/AT3G23050/AT5G20820/AT1G31710/AT4G09160/AT1G74660/AT1G31760/AT3G47600/AT3G01220/AT2G33860/AT1G13670/AT4G14560/AT3G15540/AT2G01420/AT1G77690/AT5G62470/AT1G75500/AT3G21110/AT3G59900/AT4G14550/AT3G28860/AT2G21200/AT2G22670/AT5G43700/AT1G69160/AT4G14740/AT1G17345/AT2G16580/AT4G12410/AT5G43870/AT4G34800/AT2G06850/AT4G29080/AT4G38840/AT4G34770/AT2G38120/AT4G23410/AT3G09870/AT1G15580/AT1G70560/AT4G00880/AT1G04250/AT2G01200/AT4G28050/AT1G23080/AT5G47440/AT5G16530/AT1G52830/AT4G38850/AT1G04240/AT2G18010/AT1G31690/AT5G63310/AT5G10990/AT4G34760/AT2G22810/AT3G03830/AT2G28085/AT4G22620/AT1G47485/AT5G18010/AT5G64770/AT1G29460/AT4G38860/AT2G21210/AT2G37030/AT5G18060/AT5G18030/AT5G18020/AT5G27780/AT1G76190/AT5G12050/AT4G34790/AT4G32280/AT3G53250,105
GO:0009642,BP,GO:0009642,response to light intensity,59/2502,164/21061,0.359756097560976,3.02830662299429,9.57434585828942,8.90999540697954e-16,1.65806914528065e-13,1.08454680934717e-13,AT2G27820/AT5G18100/AT1G01790/AT1G08810/AT4G30950/AT5G42890/AT2G39460/AT2G37678/AT1G69935/AT3G28910/AT1G34000/AT3G57180/AT4G26555/AT1G31812/AT4G34190/AT4G20940/AT2G43010/AT2G47450/AT3G55280/AT4G17490/AT1G09570/AT5G46110/AT2G28190/AT3G03850/AT1G45474/AT3G47470/AT1G55480/AT1G62290/AT1G02340/AT3G02730/AT3G15850/AT5G16400/AT3G19480/AT1G10522/AT5G54270/AT5G07690/AT2G45400/AT2G06850/AT3G54890/AT1G67740/AT2G05100/AT5G54190/AT3G50820/AT5G66570/AT1G61520/AT3G62030/AT3G61470/AT3G03630/AT5G02120/AT1G60950/AT2G18010/AT2G05070/AT1G03600/AT3G03830/AT4G25100/AT5G42900/AT3G27690/AT2G42540/AT4G33980,59
GO:0033014,BP,GO:0033014,tetrapyrrole biosynthetic process,38/2502,79/21061,0.481012658227848,4.04900383490676,9.968817034438,1.93268136505584e-15,3.0432298109764e-13,1.99058355979841e-13,AT3G03710/AT2G20180/AT4G01690/AT5G40850/AT1G10670/AT5G08280/AT1G44446/AT3G09150/AT5G44190/AT1G63970/AT1G03630/AT2G41680/AT1G69935/AT1G08520/AT3G57180/AT4G27430/AT1G10657/AT2G30390/AT2G40490/AT4G15560/AT5G47110/AT3G14930/AT2G26540/AT2G35260/AT4G18480/AT3G56940/AT3G51820/AT2G26550/AT5G58250/AT3G48730/AT3G14110/AT5G66190/AT5G54190/AT4G25080/AT4G17600/AT4G27440/AT5G45930/AT5G18660,38
GO:0071214,BP,GO:0071214,cellular response to abiotic stimulus,67/2502,210/21061,0.319047619047619,2.68563625290244,9.0137522400809,1.00780660394082e-14,1.28936257391678e-12,8.43375000139947e-13,AT4G21070/AT5G18100/AT2G42690/AT4G16830/AT1G64860/AT3G05480/AT2G20180/AT5G58140/AT2G30170/AT3G05740/AT1G01790/AT2G01830/AT1G79410/AT3G45780/AT1G21600/AT5G64330/AT5G19770/AT2G48120/AT2G37678/AT5G24270/AT1G69935/AT5G57630/AT4G14960/AT1G04820/AT4G34190/AT2G32010/AT4G20940/AT2G43010/AT1G49510/AT3G45680/AT2G46970/AT3G18870/AT1G09570/AT5G05860/AT5G58580/AT5G12140/AT4G04340/AT2G28190/AT2G36990/AT1G08540/AT1G07180/AT1G62290/AT1G02340/AT3G28270/AT4G35920/AT2G34640/AT1G32080/AT4G34220/AT1G68010/AT4G38740/AT2G15970/AT5G13730/AT2G05100/AT2G02950/AT1G09340/AT4G18570/AT5G04190/AT1G23080/AT5G63310/AT2G34620/AT2G05070/AT1G29395/AT1G03600/AT3G27690/AT2G42540/AT5G15960/AT2G40080,67
GO:0104004,BP,GO:0104004,cellular response to environmental stimulus,67/2502,210/21061,0.319047619047619,2.68563625290244,9.0137522400809,1.00780660394082e-14,1.28936257391678e-12,8.43375000139947e-13,AT4G21070/AT5G18100/AT2G42690/AT4G16830/AT1G64860/AT3G05480/AT2G20180/AT5G58140/AT2G30170/AT3G05740/AT1G01790/AT2G01830/AT1G79410/AT3G45780/AT1G21600/AT5G64330/AT5G19770/AT2G48120/AT2G37678/AT5G24270/AT1G69935/AT5G57630/AT4G14960/AT1G04820/AT4G34190/AT2G32010/AT4G20940/AT2G43010/AT1G49510/AT3G45680/AT2G46970/AT3G18870/AT1G09570/AT5G05860/AT5G58580/AT5G12140/AT4G04340/AT2G28190/AT2G36990/AT1G08540/AT1G07180/AT1G62290/AT1G02340/AT3G28270/AT4G35920/AT2G34640/AT1G32080/AT4G34220/AT1G68010/AT4G38740/AT2G15970/AT5G13730/AT2G05100/AT2G02950/AT1G09340/AT4G18570/AT5G04190/AT1G23080/AT5G63310/AT2G34620/AT2G05070/AT1G29395/AT1G03600/AT3G27690/AT2G42540/AT5G15960/AT2G40080,67
GO:0044272,BP,GO:0044272,sulfur compound biosynthetic process,56/2502,161/21061,0.347826086956522,2.92788377993258,9.01604757395148,2.54661836195035e-14,2.60646389345618e-12,1.70489397705307e-12,AT5G17920/AT2G38040/AT1G07640/AT1G30120/AT1G10670/AT1G19920/AT5G04620/AT1G60810/AT2G05830/AT5G08415/AT3G03900/AT4G03070/AT3G16950/AT3G01120/AT3G17390/AT2G44160/AT4G39940/AT3G04940/AT5G61420/AT2G43750/AT3G25860/AT2G22330/AT3G59970/AT3G56040/AT2G29630/AT3G03780/AT1G18590/AT1G50110/AT1G62560/AT5G60890/AT4G14680/AT1G72810/AT1G34430/AT4G12030/AT2G14750/AT5G28020/AT5G23020/AT5G35360/AT2G43360/AT5G07690/AT5G54770/AT3G62030/AT3G03630/AT1G74090/AT1G65860/AT1G76790/AT3G22740/AT5G14200/AT4G13770/AT1G16400/AT5G23010/AT3G58990/AT5G07700/AT1G16410/AT3G19710/AT2G43100,56
