,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,29/461,434/21061,0.0668202764976959,3.05271549526675,6.46400415714565,1.17111034406008e-07,0.000169693888854305,0.00014398493493286,AT2G29250/AT4G12480/AT3G55150/AT4G23210/AT5G57220/AT4G28350/AT4G23290/AT5G60310/AT3G59750/AT1G73260/AT3G49120/AT4G23300/AT4G18360/AT3G45410/AT3G01420/AT3G55450/AT5G44585/AT1G55020/AT3G14460/AT2G42010/AT3G45420/AT2G42260/AT3G12810/AT2G19190/AT5G04720/AT1G02205/AT1G16540/AT2G05940/AT4G23260,29
GO:0045229,BP,GO:0045229,external encapsulating structure organization,23/461,364/21061,0.0631868131868132,2.88671902934376,5.43188113360132,6.12187451052007e-06,0.00311580261511721,0.00264375246410003,AT2G21610/AT1G53830/AT5G57220/AT4G39010/AT4G35420/AT2G41210/AT3G29810/AT2G34850/AT5G14650/AT5G45280/AT2G21140/AT1G30620/AT2G43150/AT5G11110/AT5G44585/AT1G73360/AT3G12977/AT1G68725/AT5G44480/AT1G70170/AT3G07160/AT4G04920/AT3G59530,23
GO:0019320,BP,GO:0019320,hexose catabolic process,5/461,14/21061,0.357142857142857,16.316237991943,8.57565022756876,8.36151429635749e-06,0.00311580261511721,0.00264375246410003,AT3G08590/AT4G20860/AT2G34850/AT1G30620/AT5G44480,5
GO:0009620,BP,GO:0009620,response to fungus,23/461,376/21061,0.0611702127659574,2.79458969862002,5.2526367302347,1.03755091236474e-05,0.00311580261511721,0.00264375246410003,AT4G12480/AT5G10520/AT1G43640/AT5G39580/AT3G55150/AT5G64120/AT5G64750/AT5G57220/AT3G55970/AT4G19230/AT3G25180/AT1G73260/AT3G49120/AT3G45410/AT3G01420/AT5G44585/AT5G66890/AT3G02260/AT5G55390/AT5G04720/AT1G02205/AT1G70170/AT2G28290,23
GO:0050832,BP,GO:0050832,defense response to fungus,19/461,274/21061,0.0693430656934307,3.16797029624586,5.40354455597826,1.07515618189e-05,0.00311580261511721,0.00264375246410003,AT4G12480/AT5G10520/AT5G39580/AT5G64120/AT5G64750/AT5G57220/AT3G55970/AT4G19230/AT3G25180/AT3G49120/AT3G45410/AT3G01420/AT5G44585/AT5G66890/AT5G55390/AT5G04720/AT1G02205/AT1G70170/AT2G28290,19
GO:0010091,BP,GO:0010091,trichome branching,6/461,31/21061,0.193548387096774,8.84234833111749,6.53662205308431,4.92485948639243e-05,0.0101944591368323,0.00864997876707724,AT5G28646/AT3G01140/AT5G40330/AT2G42260/AT1G73360/AT4G04920,6
GO:0030048,BP,GO:0030048,actin filament-based movement,5/461,21/21061,0.238095238095238,10.8774919946287,6.77453517277202,7.48740208596646e-05,0.0132630352971841,0.0112536596760823,AT2G33240/AT2G31900/AT3G58160/AT1G04160/AT4G27370,5
GO:1903046,BP,GO:1903046,meiotic cell cycle process,13/461,167/21061,0.0778443113772455,3.55635367010015,4.9615162073516,8.23791012247462e-05,0.0132630352971841,0.0112536596760823,AT1G02065/AT1G22260/AT3G63480/AT4G35520/AT1G04650/AT2G31970/AT4G18120/AT4G22970/AT3G48190/AT5G63920/AT1G77320/AT1G48360/AT3G07160,13
GO:0031047,BP,GO:0031047,regulatory ncRNA-mediated gene silencing,10/461,109/21061,0.0917431192660551,4.19132719059086,4.99709809253489,0.000141381141910672,0.0202310719656569,0.0171660252485469,AT4G15417/AT1G31290/AT1G69440/AT1G20920/AT1G01040/AT2G35160/AT1G08910/AT3G03300/AT5G52040/AT2G13540,10
GO:0032504,BP,GO:0032504,multicellular organism reproduction,15/461,227/21061,0.066079295154185,3.01886341701148,4.57487858983339,0.000153583016992565,0.0202310719656569,0.0171660252485469,AT4G02280/AT5G40010/AT4G39010/AT4G19230/AT3G25180/AT5G13200/AT5G06100/AT1G01040/AT5G49190/AT2G46040/AT3G48190/AT1G03060/AT1G77320/AT3G07160/AT3G04620,15
GO:0000280,BP,GO:0000280,nuclear division,13/461,183/21061,0.0710382513661202,3.24541564429904,4.56377135696972,0.000206153511309257,0.0225118419214306,0.0191012541238828,AT1G22260/AT3G63480/AT4G35520/AT1G04650/AT2G42260/AT4G18120/AT4G22970/AT3G48190/AT5G63920/AT1G77320/AT1G48360/AT3G07160/AT2G35630,13
GO:0042168,BP,GO:0042168,heme metabolic process,5/461,27/21061,0.185185185185185,8.46027155137784,5.80258644507823,0.000266570678670029,0.0257507275595248,0.0218494422937961,AT2G31250/AT1G69740/AT4G03205/AT5G26030/AT1G69720,5
GO:0005984,BP,GO:0005984,disaccharide metabolic process,8/461,78/21061,0.102564102564103,4.68568885922465,4.8784090967978,0.00030432768859632,0.0267751362745258,0.0227186510977778,AT5G65140/AT4G02280/AT1G51420/AT4G12430/AT5G11110/AT1G69830/AT5G49190/AT1G67140,8
GO:0016051,BP,GO:0016051,carbohydrate biosynthetic process,19/461,367/21061,0.0517711171662125,2.36518763261953,3.94683700095831,0.00050889101100785,0.0347426982768404,0.0294791119736657,AT4G15320/AT5G65140/AT1G51420/AT3G29810/AT2G34850/AT3G06260/AT1G06030/AT3G55990/AT1G30620/AT1G04770/AT4G12430/AT5G11110/AT5G56490/AT1G06020/AT3G59100/AT1G68725/AT5G44480/AT3G07160/AT4G04920,19
GO:0090626,BP,GO:0090626,plant epidermis morphogenesis,9/461,106/21061,0.0849056603773585,3.87895469242418,4.44518628989208,0.000537113470713028,0.0347426982768404,0.0294791119736657,AT5G28646/AT3G01140/AT1G62310/AT5G40330/AT2G42260/AT1G73360/AT1G34245/AT1G03060/AT4G04920,9
GO:0032787,BP,GO:0032787,monocarboxylic acid metabolic process,23/461,492/21061,0.0467479674796748,2.13570269650636,3.81317428118943,0.000576798595419615,0.0347426982768404,0.0294791119736657,AT3G08590/AT2G19900/AT4G19230/AT1G06100/AT3G53480/AT5G49070/AT5G11670/AT5G25880/AT5G10300/AT2G11810/AT1G44350/AT1G01600/AT5G58980/AT3G01420/AT4G31000/AT2G23550/AT5G44585/AT1G55020/AT1G36180/AT1G75000/AT1G16540/AT5G54810/AT5G56630,23
GO:0019748,BP,GO:0019748,secondary metabolic process,19/461,371/21061,0.0512129380053908,2.33968695733522,3.89453915647901,0.000580342845138431,0.0347426982768404,0.0294791119736657,AT3G60120/AT5G64120/AT1G66280/AT5G57220/AT5G66690/AT3G16410/AT3G53480/AT2G44480/AT3G03640/AT1G04770/AT1G17260/AT1G73310/AT5G44585/AT2G22970/AT4G37400/AT3G21560/AT3G24503/AT4G38620/AT2G22920,19
GO:0001676,BP,GO:0001676,long-chain fatty acid metabolic process,7/461,67/21061,0.104477611940299,4.77310842749377,4.62737958797784,0.000644625230162152,0.0347426982768404,0.0294791119736657,AT5G10300/AT1G44350/AT5G58980/AT3G01420/AT2G23550/AT5G44585/AT1G55020,7
GO:0009311,BP,GO:0009311,oligosaccharide metabolic process,8/461,88/21061,0.0909090909090909,4.15322421613094,4.43416599185409,0.000690105663282782,0.0347426982768404,0.0294791119736657,AT5G65140/AT4G02280/AT1G51420/AT4G12430/AT5G11110/AT1G69830/AT5G49190/AT1G67140,8
GO:0019318,BP,GO:0019318,hexose metabolic process,8/461,88/21061,0.0909090909090909,4.15322421613094,4.43416599185409,0.000690105663282782,0.0347426982768404,0.0294791119736657,AT3G08590/AT4G20860/AT1G60470/AT2G34850/AT1G06030/AT1G30620/AT1G06020/AT5G44480,8
GO:0019953,BP,GO:0019953,sexual reproduction,18/461,348/21061,0.0517241379310345,2.36304136435036,3.83551063190175,0.000715959050505186,0.0347426982768404,0.0294791119736657,AT1G02065/AT4G13560/AT1G65450/AT5G06100/AT1G22260/AT3G63480/AT4G35520/AT1G04650/AT2G31970/AT4G18120/AT2G46040/AT4G22970/AT3G48190/AT5G63920/AT1G77320/AT1G48360/AT3G07160/AT3G04620,18
GO:0005996,BP,GO:0005996,monosaccharide metabolic process,10/461,134/21061,0.0746268656716418,3.40936316249555,4.1854987248725,0.000745779435274221,0.0347426982768404,0.0294791119736657,AT3G08590/AT4G20860/AT1G60470/AT2G34850/AT1G06030/AT1G30620/AT5G56490/AT1G06020/AT1G75270/AT5G44480,10
GO:0002229,BP,GO:0002229,defense response to oomycetes,8/461,90/21061,0.0888888888888889,4.06093034466136,4.35322552842195,0.000801304690626521,0.0347426982768404,0.0294791119736657,AT2G29250/AT4G28350/AT5G60310/AT3G59750/AT3G45410/AT3G45420/AT5G55390/AT1G15520,8
GO:0016145,BP,GO:0016145,S-glycoside catabolic process,5/461,34/21061,0.147058823529412,6.71845093785887,4.99200758417792,0.000810155498481697,0.0347426982768404,0.0294791119736657,AT3G60120/AT1G66280/AT3G16410/AT2G44480/AT3G03640,5
GO:0019759,BP,GO:0019759,glycosinolate catabolic process,5/461,34/21061,0.147058823529412,6.71845093785887,4.99200758417792,0.000810155498481697,0.0347426982768404,0.0294791119736657,AT3G60120/AT1G66280/AT3G16410/AT2G44480/AT3G03640,5
GO:0019762,BP,GO:0019762,glucosinolate catabolic process,5/461,34/21061,0.147058823529412,6.71845093785887,4.99200758417792,0.000810155498481697,0.0347426982768404,0.0294791119736657,AT3G60120/AT1G66280/AT3G16410/AT2G44480/AT3G03640,5
GO:0002237,BP,GO:0002237,response to molecule of bacterial origin,6/461,51/21061,0.117647058823529,5.3747607502871,4.67920858126309,0.000832895785016279,0.0347426982768404,0.0294791119736657,AT3G55150/AT4G23210/AT1G73260/AT1G08320/AT3G55450/AT1G66730,6
GO:0010026,BP,GO:0010026,trichome differentiation,8/461,91/21061,0.0879120879120879,4.01630473647827,4.31362843084155,0.000862062431546655,0.0347426982768404,0.0294791119736657,AT5G28646/AT3G01140/AT1G62310/AT5G40330/AT2G42260/AT1G73360/AT1G03060/AT4G04920,8
GO:0009611,BP,GO:0009611,response to wounding,15/461,268/21061,0.0559701492537313,2.55702237187166,3.83751166727037,0.000886833490743577,0.0347426982768404,0.0294791119736657,AT1G53830/AT4G13280/AT1G73260/AT2G47260/AT5G10300/AT1G16090/AT5G24090/AT5G44585/AT1G55020/AT5G59820/AT4G34710/AT5G05730/AT5G20730/AT1G78080/AT2G28290,15
GO:0006310,BP,GO:0006310,DNA recombination,12/461,187/21061,0.0641711229946524,2.93168768197478,3.96918105728811,0.000887149645440368,0.0347426982768404,0.0294791119736657,AT3G13782/AT1G22260/AT1G67180/AT5G07660/AT4G35520/AT1G04650/AT2G31970/AT3G48190/AT5G63920/AT1G77320/AT5G01630/AT1G60930,12
GO:1901658,BP,GO:1901658,glycosyl compound catabolic process,6/461,54/21061,0.111111111111111,5.0761629308267,4.48654918580924,0.00113043066654209,0.0399777264231605,0.0339210231827768,AT3G60120/AT1G66280/AT3G16410/AT2G44480/AT5G10300/AT3G03640,6
GO:0006783,BP,GO:0006783,heme biosynthetic process,4/461,22/21061,0.181818181818182,8.30644843226188,5.12921794477136,0.00121192663171515,0.0399777264231605,0.0339210231827768,AT2G31250/AT1G69740/AT4G03205/AT5G26030,4
GO:0009395,BP,GO:0009395,phospholipid catabolic process,4/461,22/21061,0.181818181818182,8.30644843226188,5.12921794477136,0.00121192663171515,0.0399777264231605,0.0339210231827768,AT3G02040/AT4G11830/AT1G52570/AT2G42010,4
GO:0010817,BP,GO:0010817,regulation of hormone levels,15/461,280/21061,0.0535714285714286,2.44743569879145,3.64746480546087,0.00137394097172868,0.0432791406094535,0.0367222667043272,AT2G19500/AT4G32810/AT5G56970/AT2G47000/AT1G76530/AT3G53480/AT2G47260/AT1G44350/AT3G02260/AT5G38970/AT5G20960/AT3G25610/AT1G27370/AT5G05730/AT5G54810,15
GO:0005976,BP,GO:0005976,polysaccharide metabolic process,21/461,466/21061,0.0450643776824034,2.05878711142972,3.45753625039041,0.00155143071487934,0.0468338147054202,0.0397384007670849,AT2G21610/AT4G15320/AT1G53830/AT4G02280/AT3G28150/AT3G29810/AT2G34850/AT3G06260/AT1G06030/AT1G58370/AT3G55990/AT1G30620/AT1G69830/AT5G49190/AT1G06020/AT3G59100/AT1G68725/AT5G44480/AT3G07160/AT1G67140/AT4G04920,21
GO:0140352,BP,GO:0140352,export from cell,11/461,174/21061,0.0632183908045977,2.88816166753933,3.74129370553386,0.00161777746042311,0.0475561000070261,0.0403512584419066,AT1G12950/AT3G55150/AT2G47000/AT3G53480/AT5G38030/AT1G17260/AT4G12120/AT1G47560/AT1G02010/AT3G42640/AT4G22970,11
GO:0009960,BP,GO:0009960,endosperm development,5/461,40/21061,0.125,5.71068329718004,4.46101057509142,0.00172059290567461,0.0475561000070261,0.0403512584419066,AT5G61740/AT4G25350/AT1G69670/AT2G42260/AT4G22970,5
GO:0016143,BP,GO:0016143,S-glycoside metabolic process,9/461,125/21061,0.072,3.2893535791757,3.84031686983498,0.00173945707410103,0.0475561000070261,0.0403512584419066,AT3G60120/AT1G66280/AT5G57220/AT3G16410/AT2G44480/AT3G03640/AT1G04770/AT5G44585/AT4G37400,9
GO:0051128,BP,GO:0051128,regulation of cellular component organization,15/461,288/21061,0.0520833333333333,2.37945137382502,3.52613605404797,0.00181018565772076,0.0485733151488404,0.0412143635130185,AT4G28280/AT4G39110/AT1G09180/AT2G05210/AT5G44585/AT1G04650/AT2G42260/AT4G18120/AT1G11160/AT5G55390/AT4G22970/AT3G48190/AT1G03060/AT3G07160/AT2G29890,15
GO:0015629,CC,GO:0015629,actin cytoskeleton,9/536,80/26915,0.1125,5.64913712686567,5.93620519381757,3.04637065933414e-05,0.00572717683954819,0.00525899776979789,AT3G61450/AT2G33240/AT2G31900/AT3G58160/AT1G04160/AT4G27370/AT5G58320/AT2G29890/AT2G24140,9
GO:0090406,CC,GO:0090406,pollen tube,9/536,104/26915,0.0865384615384615,4.34549009758898,4.87261689816222,0.000236956559266216,0.0157319944400569,0.0144459523413736,AT4G28280/AT1G03920/AT2G41210/AT1G30220/AT3G06260/AT4G30140/AT5G36260/AT5G58160/AT3G14360,9
GO:0120025,CC,GO:0120025,plasma membrane bounded cell projection,10/536,128/26915,0.078125,3.92301189365672,4.72515308631139,0.000251042464468992,0.0157319944400569,0.0144459523413736,AT4G28280/AT1G03920/AT2G41210/AT1G30220/AT3G06260/AT4G30140/AT5G36260/AT1G03060/AT5G58160/AT3G14360,10
GO:0016887,MF,GO:0016887,ATP hydrolysis activity,34/535,470/26733,0.0723404255319149,3.61472260886856,8.17261297115894,1.38258727284502e-10,6.58111541874232e-08,4.91909998128019e-08,AT4G15236/AT5G40010/AT1G02520/AT2G36380/AT4G15215/AT3G47790/AT2G47000/AT3G53480/AT1G27940/AT3G53230/AT4G15230/AT1G05910/AT1G71330/AT1G30420/AT5G61740/AT1G67120/AT2G19490/AT1G17260/AT1G51460/AT3G63480/AT4G35520/AT3G25610/AT2G35340/AT3G12810/AT5G44240/AT1G30400/AT2G31970/AT3G42640/AT5G04720/AT1G15520/AT1G26130/AT3G63380/AT2G28290/AT5G61140,34
GO:0042626,MF,GO:0042626,ATPase-coupled transmembrane transporter activity,22/535,217/26733,0.101382488479263,5.06590292432921,8.59392215557482,5.5679491403925e-10,9.76159069752945e-08,7.29636810208969e-08,AT4G15236/AT1G02520/AT2G36380/AT4G15215/AT3G47790/AT2G47000/AT3G53480/AT1G27940/AT4G15230/AT1G71330/AT1G76430/AT1G30420/AT5G61740/AT1G17260/AT1G51460/AT3G25610/AT5G44240/AT1G30400/AT3G42640/AT1G15520/AT1G26130/AT3G63380,22
GO:0020037,MF,GO:0020037,heme binding,29/535,373/26733,0.0777479892761394,3.88492896695147,8.01817232252457,6.15226304466142e-10,9.76159069752945e-08,7.29636810208969e-08,AT5G24960/AT1G64940/AT4G12330/AT5G64100/AT5G25180/AT5G39580/AT5G64120/AT3G01900/AT5G57220/AT3G14640/AT4G19230/AT3G25180/AT3G26290/AT3G14630/AT1G64950/AT5G67310/AT3G49120/AT1G01600/AT1G13150/AT3G01420/AT5G36220/AT1G14540/AT5G38970/AT2G24180/AT4G37400/AT1G13140/AT3G48310/AT1G69720/AT4G37310,29
GO:0015399,MF,GO:0015399,primary active transmembrane transporter activity,22/535,257/26733,0.0856031128404669,4.27743554311066,7.54454551703606,1.30959069267177e-08,1.24673033942353e-06,9.31877166574861e-07,AT4G15236/AT1G02520/AT2G36380/AT4G15215/AT3G47790/AT2G47000/AT3G53480/AT1G27940/AT4G15230/AT1G71330/AT1G76430/AT1G30420/AT5G61740/AT1G17260/AT1G51460/AT3G25610/AT5G44240/AT1G30400/AT3G42640/AT1G15520/AT1G26130/AT3G63380,22
GO:0005506,MF,GO:0005506,iron ion binding,25/535,342/26733,0.0730994152046784,3.65264797507788,7.05542692171533,3.21445370360722e-08,2.18582851845291e-06,1.63381255912668e-06,AT2G01880/AT5G24960/AT1G64940/AT4G12330/AT5G25180/AT3G01900/AT5G57220/AT3G14640/AT4G19230/AT3G25180/AT3G26290/AT3G14630/AT1G64950/AT5G67310/AT1G01600/AT1G13150/AT5G36220/AT5G38970/AT5G20960/AT2G24180/AT4G37400/AT1G13140/AT1G02205/AT3G48310/AT4G37310,25
