,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,179/2105,434/21061,0.412442396313364,4.12657924406449,21.931995819897,3.30843986117312e-67,6.52424340623339e-64,4.68405432976616e-64,AT1G73260/AT3G01420/AT3G55150/AT2G19190/AT1G66700/AT1G32960/AT3G45330/AT1G17615/AT1G19250/AT4G23310/AT2G30770/AT2G45220/AT3G11340/AT4G11650/AT4G23150/AT5G40990/AT4G23210/AT1G51800/AT5G46350/AT5G01550/AT4G11480/AT2G13810/AT4G12480/AT3G49120/AT5G22570/AT2G30750/AT5G13320/AT3G45410/AT4G23140/AT2G32680/AT2G29250/AT3G45860/AT5G64810/AT5G44585/AT3G04720/AT5G24530/AT4G23160/AT5G46050/AT4G28460/AT5G65600/AT1G70690/AT5G01900/AT2G46400/AT4G23280/AT5G57220/AT2G47130/AT1G68765/AT3G59700/AT2G29220/AT5G26920/AT5G52640/AT4G23230/AT4G31800/AT5G27420/AT4G18360/AT4G23190/AT4G28350/AT2G05940/AT4G23260/AT4G23810/AT1G73805/AT5G24210/AT1G55020/AT5G60280/AT5G49520/AT1G74710/AT3G50260/AT2G37710/AT4G39030/AT5G39670/AT4G11470/AT4G19700/AT5G25440/AT2G25000/AT4G04960/AT1G08450/AT3G52430/AT5G06320/AT4G34390/AT4G33300/AT3G14460/AT2G39050/AT5G04720/AT3G08870/AT3G54640/AT1G02450/AT5G44568/AT1G33560/AT3G09830/AT4G03960/AT1G14370/AT1G07000/AT5G45110/AT5G60310/AT5G63970/AT2G42010/AT3G57330/AT4G11850/AT3G44670/AT5G53120/AT5G05300/AT4G23200/AT1G16540/AT4G23130/AT4G23300/AT5G65210/AT5G45410/AT3G56400/AT2G38470/AT1G59870/AT2G32800/AT5G48380/AT4G12720/AT1G79380/AT4G28490/AT5G62570/AT5G47220/AT3G48090/AT5G14930/AT4G26750/AT1G31280/AT2G17520/AT2G23810/AT1G80840/AT3G59750/AT4G39950/AT3G53810/AT3G44880/AT2G39660/AT1G59820/AT3G28450/AT4G23250/AT4G12010/AT5G46180/AT1G48490/AT4G22305/AT5G18370/AT3G55450/AT2G40750/AT4G25030/AT5G66210/AT4G23270/AT3G14130/AT5G22250/AT4G11530/AT4G33430/AT5G66850/AT4G03550/AT1G08830/AT4G14400/AT2G40000/AT3G21630/AT4G02410/AT4G31750/AT1G77920/AT1G80460/AT5G02310/AT1G64280/AT1G19180/AT1G22070/AT1G18570/AT5G45050/AT5G46470/AT5G60270/AT3G19190/AT4G19660/AT3G20600/AT1G32230/AT1G02120/AT3G05200/AT4G23240/AT1G08720/AT4G37460/AT4G16890/AT5G64440/AT3G46510/AT3G28930/AT4G26070/AT5G45250,179
GO:0009620,BP,GO:0009620,response to fungus,140/2105,376/21061,0.372340425531915,3.7253499772578,17.7693001659447,2.91357822098917e-46,2.87278812589533e-43,2.06250668801602e-43,AT5G66890/AT1G73260/AT3G01420/AT3G55150/AT1G66700/AT1G32960/AT3G22600/AT3G45330/AT1G17615/AT1G19250/AT1G70170/AT2G30770/AT2G45220/AT3G55970/AT4G10500/AT5G40990/AT3G26830/AT1G51800/AT5G46350/AT5G10520/AT4G20000/AT5G64120/AT5G25910/AT1G64070/AT1G74080/AT4G12480/AT3G49120/AT4G12490/AT3G09940/AT3G45410/AT5G43580/AT2G32680/AT1G79680/AT5G39580/AT5G64810/AT5G44585/AT5G24530/AT2G43510/AT2G17740/AT2G31865/AT1G45145/AT3G50480/AT5G57220/AT5G10380/AT5G26170/AT5G26920/AT1G32940/AT2G35000/AT3G50460/AT4G31800/AT5G64750/AT1G24140/AT3G12500/AT3G13790/AT3G52400/AT5G60280/AT1G74710/AT2G14560/AT4G19700/AT2G25000/AT1G21250/AT1G03850/AT4G20830/AT2G38240/AT4G34390/AT4G33300/AT3G25180/AT5G05190/AT4G19230/AT1G49050/AT5G04720/AT3G51430/AT3G05360/AT1G24150/AT3G25020/AT1G33560/AT1G07000/AT5G45110/AT5G47910/AT3G16030/AT5G08790/AT3G59660/AT5G66910/AT2G35940/AT4G17720/AT1G43640/AT2G33380/AT3G56400/AT2G38470/AT2G46450/AT1G59870/AT3G50470/AT2G01650/AT5G05600/AT2G30020/AT5G50260/AT1G80840/AT1G10920/AT1G11310/AT2G39660/AT1G59820/AT3G60190/AT3G44860/AT3G28450/AT2G40140/AT4G16760/AT4G21980/AT3G19260/AT3G11820/AT4G23570/AT2G46440/AT3G02260/AT4G02330/AT3G03970/AT2G40750/AT4G33430/AT5G66850/AT4G03550/AT4G14400/AT3G25780/AT3G21630/AT3G62770/AT5G02310/AT1G64280/AT2G31870/AT3G19190/AT4G19660/AT5G45900/AT2G41160/AT5G38280/AT1G22190/AT1G08720/AT4G01370/AT5G55390/AT1G25280/AT1G01470/AT1G25540/AT5G40280/AT2G28290/AT5G17290,140
GO:0009751,BP,GO:0009751,response to salicylic acid,89/2105,199/21061,0.447236180904523,4.4746989102281,16.4114755177394,4.3408155937936e-37,2.14002208774024e-34,1.53642025622431e-34,AT1G73260/AT3G01420/AT1G15520/AT1G66700/AT5G36970/AT3G11340/AT4G10500/AT5G40990/AT2G13810/AT5G22570/AT5G24110/AT1G65510/AT3G45860/AT1G28480/AT1G79680/AT1G15380/AT5G24530/AT5G46050/AT5G65600/AT5G01900/AT1G14780/AT2G46400/AT3G50480/AT4G23280/AT2G04450/AT4G31800/AT5G13330/AT5G54610/AT1G65484/AT3G52400/AT4G23810/AT3G50930/AT1G65500/AT1G12160/AT2G37710/AT4G39030/AT2G14560/AT2G25000/AT1G76930/AT1G21250/AT3G52430/AT5G06320/AT3G61190/AT5G05190/AT5G13170/AT1G65486/AT3G51430/AT5G44568/AT5G45110/AT5G08790/AT5G08760/AT1G75270/AT4G23130/AT2G33380/AT3G56400/AT2G32800/AT3G48090/AT2G29420/AT5G49570/AT2G17520/AT1G80840/AT5G06960/AT4G23170/AT3G44860/AT3G11820/AT5G27830/AT1G29690/AT1G62810/AT1G61340/AT2G40750/AT4G23270/AT1G28380/AT5G03350/AT4G03550/AT4G14400/AT2G40000/AT4G18980/AT1G21270/AT4G04695/AT1G64280/AT1G22070/AT1G71220/AT4G19660/AT4G05320/AT1G02120/AT1G08720/AT4G16890/AT4G01370/AT1G15780,89
GO:0031347,BP,GO:0031347,regulation of defense response,106/2105,297/21061,0.356902356902357,3.57088861696938,14.86920877818,2.45842534391892e-33,8.08002463034686e-31,5.80102120626483e-31,AT3G55150/AT2G29350/AT3G22600/AT1G17615/AT3G55970/AT5G40990/AT5G24090/AT3G26830/AT2G29460/AT1G51800/AT1G08860/AT3G49120/AT5G13320/AT4G39830/AT4G11890/AT2G32680/AT5G44585/AT5G65600/AT3G62590/AT3G59700/AT5G26920/AT4G31800/AT4G08850/AT3G52400/AT4G23810/AT1G73805/AT1G74710/AT4G39030/AT5G39670/AT5G25440/AT5G52810/AT3G01080/AT2G25000/AT1G72860/AT2G38240/AT5G20480/AT3G52430/AT4G34390/AT1G72890/AT3G25882/AT1G61380/AT3G61190/AT5G05190/AT5G13190/AT3G25020/AT1G02450/AT3G09830/AT4G03960/AT1G14370/AT1G07000/AT4G17720/AT2G31880/AT5G05300/AT2G18950/AT2G02220/AT1G17600/AT3G56400/AT4G04920/AT1G59870/AT5G48380/AT4G12720/AT5G05600/AT5G62570/AT5G47220/AT5G14930/AT5G39610/AT1G44350/AT4G26750/AT1G17380/AT1G80840/AT1G11310/AT2G39660/AT3G22400/AT3G28450/AT3G62600/AT4G22305/AT3G11820/AT4G23570/AT3G55450/AT2G40750/AT3G02150/AT5G24590/AT5G66210/AT5G66850/AT4G03550/AT4G14400/AT3G21630/AT1G64280/AT1G19180/AT5G45050/AT3G09840/AT3G43440/AT3G07780/AT5G60410/AT4G08480/AT5G15400/AT1G08720/AT4G37460/AT4G16890/AT5G55390/AT1G64460/AT1G49040/AT1G25540/AT5G45250/AT5G03320/AT2G28290,106
GO:0012501,BP,GO:0012501,programmed cell death,81/2105,194/21061,0.417525773195876,4.17743957685432,14.8159683320407,2.88277756339239e-31,7.10604669376224e-29,5.10175766152995e-29,AT1G73260/AT3G13610/AT1G17615/AT1G19250/AT4G37990/AT4G23210/AT1G08860/AT5G13320/AT1G16420/AT3G45860/AT3G25250/AT5G65600/AT1G14780/AT4G23280/AT4G26466/AT5G10380/AT2G32460/AT3G54420/AT3G52400/AT1G12290/AT3G50930/AT3G50260/AT4G19700/AT4G34180/AT2G13790/AT1G08450/AT1G72860/AT5G47120/AT5G20480/AT3G52430/AT4G34390/AT1G72890/AT5G42050/AT5G13190/AT2G26560/AT4G25110/AT5G47910/AT4G17720/AT3G57330/AT2G31880/AT3G44670/AT1G64060/AT4G23130/AT1G59870/AT5G48380/AT4G12720/AT3G48090/AT5G39610/AT5G50260/AT1G77890/AT2G17520/AT5G51290/AT2G38530/AT1G21750/AT4G23170/AT3G44880/AT5G46180/AT4G22305/AT3G11820/AT1G02170/AT1G29690/AT1G28380/AT4G33430/AT5G44870/AT3G21630/AT1G64280/AT4G38360/AT5G06100/AT1G71220/AT3G20600/AT1G32230/AT1G02120/AT5G60360/AT3G21220/AT1G08720/AT3G46510/AT5G64530/AT3G11440/AT1G64460/AT5G45250/AT1G29340,81
GO:0002376,BP,GO:0002376,immune system process,96/2105,276/21061,0.347826086956522,3.48007848807188,13.8205980199044,2.80825905120967e-29,5.53788684898546e-27,3.97590360408106e-27,AT1G32960/AT3G22600/AT1G17615/AT1G19250/AT2G30770/AT4G37990/AT5G40990/AT5G24090/AT4G23210/AT2G14610/AT4G12480/AT3G49120/AT2G30750/AT5G13320/AT5G64890/AT2G32680/AT5G35580/AT4G28460/AT5G65600/AT1G14780/AT5G57220/AT2G23270/AT3G54420/AT5G54610/AT5G64905/AT3G52400/AT3G50930/AT2G33580/AT4G39030/AT1G69440/AT5G25440/AT3G52450/AT5G61010/AT2G13790/AT1G08450/AT1G72860/AT5G20480/AT3G52430/AT4G34390/AT1G72890/AT1G61380/AT1G09970/AT5G13190/AT2G26560/AT3G09830/AT3G16030/AT4G17720/AT4G11850/AT3G44670/AT5G05300/AT3G11840/AT1G64060/AT2G02220/AT1G17600/AT3G56400/AT1G59870/AT5G48380/AT4G12720/AT5G47220/AT3G48090/AT5G39610/AT5G50260/AT5G47070/AT4G39950/AT2G39660/AT3G62600/AT5G46180/AT2G37150/AT1G01040/AT4G22305/AT3G11820/AT1G29690/AT3G03970/AT1G28380/AT4G33430/AT5G66850/AT4G03550/AT5G44870/AT3G21630/AT2G43850/AT1G64280/AT3G29400/AT1G18570/AT5G45050/AT3G03300/AT1G71220/AT3G20600/AT5G60360/AT3G21220/AT4G16890/AT3G46510/AT1G64460/AT1G49040/AT5G45250/AT5G03320/AT1G29340,96
GO:0006955,BP,GO:0006955,immune response,93/2105,272/21061,0.341911764705882,3.42090435936845,13.3914365637216,9.39659769429178e-28,1.54417422109528e-25,1.1086336753353e-25,AT1G32960/AT3G22600/AT1G17615/AT1G19250/AT2G30770/AT4G37990/AT5G40990/AT5G24090/AT4G23210/AT2G14610/AT4G12480/AT3G49120/AT2G30750/AT5G13320/AT5G64890/AT2G32680/AT5G35580/AT4G28460/AT5G65600/AT1G14780/AT5G57220/AT2G23270/AT3G54420/AT5G54610/AT5G64905/AT3G52400/AT3G50930/AT2G33580/AT4G39030/AT1G69440/AT5G25440/AT5G61010/AT2G13790/AT1G08450/AT1G72860/AT5G20480/AT3G52430/AT4G34390/AT1G72890/AT1G61380/AT1G09970/AT5G13190/AT2G26560/AT3G09830/AT3G16030/AT4G17720/AT4G11850/AT3G44670/AT5G05300/AT2G02220/AT1G17600/AT3G56400/AT1G59870/AT5G48380/AT4G12720/AT5G47220/AT3G48090/AT5G39610/AT5G50260/AT5G47070/AT4G39950/AT2G39660/AT3G62600/AT5G46180/AT2G37150/AT1G01040/AT4G22305/AT3G11820/AT1G29690/AT3G03970/AT1G28380/AT4G33430/AT5G66850/AT4G03550/AT5G44870/AT3G21630/AT2G43850/AT1G64280/AT3G29400/AT1G18570/AT5G45050/AT3G03300/AT1G71220/AT3G20600/AT5G60360/AT3G21220/AT4G16890/AT3G46510/AT1G64460/AT1G49040/AT5G45250/AT5G03320/AT1G29340,93
GO:0032101,BP,GO:0032101,regulation of response to external stimulus,84/2105,235/21061,0.357446808510638,3.57633597816748,13.2347389984628,1.04040971194533e-26,1.57822150150476e-24,1.13307778345463e-24,AT3G55150/AT3G22600/AT1G17615/AT3G55970/AT5G13080/AT5G40990/AT5G24090/AT3G26830/AT2G45130/AT2G29460/AT1G51800/AT3G49120/AT5G13320/AT4G39830/AT2G32680/AT5G44585/AT5G65600/AT3G59700/AT5G26920/AT4G31800/AT3G52400/AT1G73805/AT5G39670/AT5G25440/AT5G52810/AT1G72860/AT2G38240/AT5G20480/AT3G52430/AT4G34390/AT1G72890/AT3G25882/AT1G61380/AT5G05190/AT5G13190/AT3G25020/AT1G02450/AT3G09830/AT4G03960/AT1G14370/AT1G07000/AT4G17720/AT5G05300/AT1G17600/AT3G56400/AT1G13300/AT4G04920/AT1G59870/AT4G12720/AT5G05600/AT5G62570/AT5G47220/AT5G14930/AT5G39610/AT1G44350/AT4G26750/AT1G80840/AT2G39660/AT3G22400/AT3G28450/AT3G62600/AT5G20150/AT4G22305/AT3G11820/AT4G23570/AT3G55450/AT5G24590/AT5G66210/AT5G66850/AT4G03550/AT4G14400/AT3G21630/AT1G64280/AT5G45050/AT5G60410/AT1G08720/AT4G16890/AT5G55390/AT3G11220/AT1G64460/AT1G49040/AT5G45250/AT5G03320/AT2G28290,84
GO:0071456,BP,GO:0071456,cellular response to hypoxia,85/2105,241/21061,0.352697095435685,3.52881402706459,13.1573047520784,1.52280888270315e-26,2.14498508335043e-24,1.53998341897423e-24,AT1G19250/AT1G05880/AT1G26410/AT1G30720/AT1G14540/AT3G49780/AT1G73010/AT1G26380/AT4G20860/AT3G25250/AT5G24530/AT5G42380/AT4G34131/AT2G32210/AT5G20230/AT5G25250/AT2G46400/AT1G76640/AT5G59820/AT5G57220/AT4G24110/AT4G01360/AT2G23270/AT3G46090/AT1G68690/AT5G26920/AT5G27420/AT5G64905/AT4G37710/AT1G01720/AT1G18300/AT3G02040/AT2G13790/AT1G67360/AT2G26150/AT5G20830/AT5G06320/AT4G31970/AT5G42050/AT1G76650/AT3G13310/AT5G13190/AT3G08720/AT2G26560/AT5G58120/AT1G72900/AT5G19550/AT5G47910/AT1G19020/AT2G33590/AT4G26270/AT1G66090/AT1G14200/AT3G56400/AT1G13300/AT4G12720/AT5G03380/AT1G09070/AT1G30040/AT4G22780/AT2G40140/AT5G20150/AT4G23570/AT2G22500/AT2G46500/AT2G01180/AT3G24500/AT4G01250/AT1G61340/AT5G24590/AT1G74310/AT5G63790/AT2G40000/AT4G13395/AT1G55810/AT1G17290/AT1G03220/AT1G59860/AT4G27460/AT1G27730/AT1G72910/AT2G36800/AT1G25550/AT4G27470/AT1G68840,85
GO:0001666,BP,GO:0001666,response to hypoxia,90/2105,269/21061,0.33457249070632,3.34747326687211,12.9125062712738,4.07977175670759e-26,4.7325352377808e-24,3.39770465187102e-24,AT1G19250/AT1G05880/AT1G26410/AT1G30720/AT1G14540/AT3G49780/AT1G73010/AT1G26380/AT4G20860/AT3G25250/AT5G24530/AT5G42380/AT4G34131/AT2G32210/AT5G20230/AT5G25250/AT2G46400/AT1G76640/AT5G59820/AT5G57220/AT4G24110/AT4G01360/AT2G23270/AT3G46090/AT1G68690/AT5G26920/AT5G27420/AT5G64905/AT4G37710/AT1G01720/AT1G18300/AT3G02040/AT2G13790/AT1G67360/AT2G26150/AT5G20830/AT3G52430/AT5G06320/AT4G31970/AT5G42050/AT1G76650/AT3G13310/AT5G13190/AT3G08720/AT2G26560/AT5G58120/AT1G72900/AT5G19550/AT5G47910/AT1G19020/AT2G33590/AT4G26270/AT1G66090/AT1G14200/AT3G56400/AT1G13300/AT4G12720/AT5G03380/AT1G09070/AT3G48090/AT1G30040/AT4G22780/AT2G40140/AT5G20150/AT4G23570/AT2G22500/AT2G46500/AT2G01180/AT4G27780/AT3G24500/AT4G01250/AT1G61340/AT5G24590/AT1G74310/AT5G63790/AT2G40000/AT4G13395/AT1G55810/AT1G17290/AT1G64280/AT1G72330/AT1G03220/AT1G59860/AT4G27460/AT1G27730/AT1G72910/AT2G36800/AT1G25550/AT4G27470/AT1G68840,90
