,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,BP,GO:0015979,photosynthesis,108/1677,226/21061,0.47787610619469,6.00151978089825,22.2348125304133,4.02679984843201e-58,7.86031330413928e-55,5.77739809832929e-55,AT3G50820/AT5G65810/AT4G35250/AT4G33520/AT2G30790/AT1G29920/AT1G67740/AT5G44650/AT5G08720/AT4G30950/AT2G05070/AT3G60750/AT1G32060/AT2G21170/AT1G22700/AT1G60950/AT1G01790/AT3G56650/AT1G55480/AT4G03280/AT3G04790/AT4G01050/AT1G42970/AT1G67090/AT2G34860/AT1G71500/AT1G73060/AT1G45474/AT1G43670/AT3G15850/AT4G35440/AT4G22890/AT2G45870/AT5G08410/AT1G54780/AT5G66190/AT3G18680/AT1G29930/AT2G30570/AT5G66570/AT1G55670/AT3G55800/AT4G04640/AT4G33470/AT5G35220/AT5G54180/AT5G01530/AT2G20890/AT1G05385/AT1G64770/AT5G01920/AT3G47470/AT4G18370/AT4G19100/AT1G03600/AT4G30720/AT4G09650/AT3G61470/AT1G75690/AT4G15510/AT1G61520/AT3G12780/AT3G08940/AT3G05410/AT3G54890/AT4G10340/AT5G57030/AT4G21280/AT2G46820/AT1G08380/AT3G54050/AT3G17170/AT1G68890/AT1G15820/AT3G15095/AT1G06680/AT1G29910/AT5G64040/AT5G54270/AT4G05180/AT4G02530/AT3G55330/AT5G38410/AT5G39830/AT1G64150/AT2G01590/AT3G56090/AT2G47940/AT1G12900/AT2G39470/AT3G27690/AT1G60600/AT1G55370/AT5G52100/AT1G14150/AT1G18730/AT2G31040/AT1G15980/AT3G03630/AT3G01500/AT2G34430/AT1G70760/AT2G01918/AT5G50950/AT1G19150/AT1G20020/AT3G01440/AT3G16250,108
GO:0009657,BP,GO:0009657,plastid organization,101/1677,304/21061,0.332236842105263,4.17247473558673,16.3880275556436,3.53635817306153e-37,2.30099038460537e-34,1.69124778592381e-34,AT5G58140/AT2G17240/AT2G26840/AT5G02250/AT3G45780/AT5G44650/AT2G21280/AT5G65460/AT1G03160/AT5G53860/AT5G60335/AT2G30170/AT1G06950/AT1G63680/AT5G26742/AT3G46740/AT2G21170/AT3G56940/AT5G46290/AT4G31780/AT1G01790/AT1G74730/AT3G19180/AT3G06730/AT1G11870/AT1G15510/AT2G18710/AT3G19570/AT4G13670/AT1G71720/AT1G31410/AT3G24590/AT2G34860/AT1G21600/AT4G35440/AT3G56910/AT4G39460/AT2G37860/AT5G67570/AT1G50900/AT1G28530/AT1G10910/AT4G14870/AT3G47450/AT3G18680/AT3G19720/AT1G32080/AT5G55580/AT1G08540/AT5G36170/AT1G68590/AT5G35220/AT2G20890/AT5G42480/AT5G14100/AT1G44575/AT4G18570/AT3G12780/AT2G39140/AT5G53080/AT5G08050/AT3G04340/AT2G04270/AT5G48470/AT1G09340/AT2G31840/AT5G22640/AT2G33800/AT2G24060/AT3G29185/AT4G31850/AT5G54600/AT2G46820/AT2G38140/AT5G63420/AT4G34090/AT3G57180/AT3G44160/AT2G36250/AT5G24314/AT5G23120/AT1G35680/AT2G28000/AT3G63190/AT4G38160/AT5G55280/AT5G39980/AT1G69200/AT4G23940/AT3G62910/AT3G52750/AT4G20130/AT5G21920/AT2G47940/AT5G18570/AT3G54090/AT4G01150/AT3G63140/AT2G31040/AT2G42540/AT1G68050,101
GO:0009409,BP,GO:0009409,response to cold,97/1677,432/21061,0.224537037037037,2.81990133395172,11.2415097881894,3.17195204025749e-21,8.8452148322609e-19,6.50130921935483e-19,AT4G31120/AT5G04530/AT1G20440/AT5G52440/AT5G11790/AT1G22770/AT5G62470/AT2G36400/AT3G02870/AT1G60930/AT3G11170/AT1G16390/AT2G05070/AT1G32060/AT5G20720/AT1G29390/AT1G79410/AT1G74520/AT2G46810/AT1G42970/AT5G35750/AT1G67090/AT1G45474/AT1G77120/AT1G03680/AT3G05740/AT3G20930/AT2G43010/AT4G35300/AT1G01860/AT5G37500/AT2G25930/AT2G26640/AT4G12470/AT1G12860/AT3G47470/AT2G42200/AT5G06290/AT3G16690/AT1G08810/AT4G09650/AT3G61470/AT1G61520/AT3G12780/AT4G10030/AT4G25470/AT1G09340/AT2G33800/AT3G54890/AT2G38750/AT3G54050/AT5G54770/AT4G24770/AT1G10930/AT1G17190/AT5G50720/AT2G37220/AT4G37930/AT3G11630/AT3G52150/AT3G25770/AT3G61950/AT3G50970/AT3G55990/AT3G21300/AT3G08920/AT3G27690/AT5G12250/AT1G77490/AT1G79440/AT2G38760/AT1G55490/AT3G01500/AT3G49260/AT5G51820/AT2G01918/AT5G15970/AT5G50950/AT2G15970/AT3G53460/AT1G10760/AT1G29395/AT3G05890/AT5G52310/AT5G15960/AT4G25490/AT4G04330/AT1G09350/AT1G49230/AT3G05880/AT2G28900/AT2G42540/AT2G21660/AT2G42530/AT4G25480/AT5G42900/AT4G33980,97
GO:0005982,BP,GO:0005982,starch metabolic process,33/1677,72/21061,0.458333333333333,5.75608725899423,11.8903380629435,6.47021277413717e-18,1.40331725945731e-15,1.03145029370163e-15,AT1G11720/AT2G21590/AT1G43670/AT4G24620/AT3G01510/AT5G48300/AT5G19220/AT3G16000/AT3G55800/AT5G03650/AT2G39930/AT1G66430/AT2G40840/AT4G18240/AT5G24300/AT5G49190/AT3G55760/AT1G03310/AT5G17520/AT5G04360/AT3G20440/AT5G39790/AT4G09020/AT3G59480/AT1G69830/AT5G51820/AT3G52180/AT4G15210/AT3G10940/AT1G10760/AT2G36390/AT5G26570/AT5G64860,33
GO:0000278,BP,GO:0000278,mitotic cell cycle,64/1677,265/21061,0.241509433962264,3.03305318347003,9.79615811906369,4.75467590939009e-16,8.43738852284496e-14,6.20155336315665e-14,AT4G18780/AT5G09870/AT2G28620/AT3G05480/AT3G25100/AT1G80370/AT3G42660/AT5G05620/AT5G37630/AT4G20890/AT1G08260/AT5G05970/AT5G44635/AT4G32410/AT3G23670/AT4G12620/AT3G19050/AT3G59550/AT4G39350/AT2G33560/AT4G24010/AT5G15510/AT5G63920/AT1G78770/AT5G20850/AT1G47210/AT2G01210/AT5G44030/AT5G12150/AT4G37490/AT3G57060/AT5G19780/AT1G09450/AT3G11520/AT5G48600/AT1G76310/AT5G43080/AT3G19590/AT1G76540/AT5G67100/AT3G18730/AT1G70210/AT5G49160/AT2G38620/AT2G26760/AT1G44110/AT3G57860/AT2G29550/AT5G23860/AT3G17360/AT4G22860/AT5G18700/AT4G14960/AT1G20610/AT1G50010/AT1G16330/AT1G07270/AT1G75780/AT3G50240/AT5G12250/AT5G25380/AT2G29680/AT1G20010/AT2G01905,64
GO:0044042,BP,GO:0044042,glucan metabolic process,59/1677,232/21061,0.254310344827586,3.19381644151091,9.88289277732379,5.36136590602027e-16,8.72115520712631e-14,6.41012432447863e-14,AT4G18780/AT5G09870/AT1G16860/AT5G36890/AT5G07720/AT4G32410/AT1G11720/AT5G06700/AT4G39350/AT4G24010/AT2G21590/AT5G44030/AT5G13000/AT1G43670/AT4G24620/AT3G01510/AT5G48300/AT2G06850/AT4G37800/AT5G19220/AT3G16000/AT3G55800/AT5G13870/AT5G55480/AT5G03650/AT2G39930/AT1G66430/AT2G40840/AT1G05850/AT4G18240/AT5G65730/AT5G24300/AT5G49190/AT3G55760/AT1G03310/AT1G11545/AT5G17520/AT5G04360/AT3G20440/AT5G39790/AT1G68560/AT4G09020/AT2G37720/AT3G59480/AT1G69830/AT5G51820/AT3G52180/AT4G15210/AT3G29320/AT3G10940/AT1G10760/AT3G46970/AT2G36390/AT5G26570/AT1G65310/AT5G64860/AT3G44990/AT4G14130/AT1G68050,59
GO:0042793,BP,GO:0042793,plastid transcription,13/1677,15/21061,0.866666666666667,10.8842377260982,11.2636213606743,4.46722842409024e-13,6.22859277416011e-11,4.5780694301015e-11,AT4G02990/AT4G14510/AT3G12080/AT1G01790/AT4G13670/AT1G21600/AT5G67570/AT3G17170/AT5G24314/AT1G69200/AT4G20130/AT2G34640/AT3G54090,13
GO:0007017,BP,GO:0007017,microtubule-based process,55/1677,242/21061,0.227272727272727,2.85425814495582,8.53339717863313,7.95598407502188e-13,1.03533872762951e-10,7.60982897842444e-11,AT5G43160/AT3G23090/AT1G23790/AT2G28620/AT5G67270/AT5G65460/AT5G05620/AT4G20890/AT5G55230/AT1G18370/AT2G21380/AT5G05970/AT3G23670/AT3G19050/AT3G63480/AT2G22610/AT4G27180/AT3G06030/AT5G15510/AT4G05190/AT4G32330/AT3G19570/AT5G19780/AT3G47690/AT2G44190/AT3G44050/AT4G16340/AT1G59540/AT2G38720/AT2G29550/AT2G35880/AT5G23860/AT4G18570/AT5G57880/AT1G21730/AT3G17360/AT4G22860/AT4G21270/AT5G18700/AT1G04820/AT1G75640/AT4G14960/AT1G50010/AT1G75780/AT5G55280/AT3G50240/AT5G12250/AT3G50960/AT4G30710/AT5G06670/AT3G60840/AT3G49260/AT1G11160/AT1G20010/AT4G23496,55
GO:1901259,BP,GO:1901259,chloroplast rRNA processing,16/1677,24/21061,0.666666666666667,8.37249055853707,10.6292337197914,9.70041518921859e-13,1.18345065308467e-10,8.69846440980588e-11,AT2G17240/AT4G09730/AT1G06190/AT2G04270/AT1G12800/AT3G52380/AT5G46580/AT2G33800/AT3G57180/AT4G24770/AT2G37220/AT3G52150/AT3G28460/AT2G31890/AT1G01080/AT3G53460,16
GO:0033014,BP,GO:0033014,tetrapyrrole biosynthetic process,28/1677,79/21061,0.354430379746835,4.45119751213363,9.03928195396058,4.73179523634921e-12,4.93662030590061e-10,3.62845851862734e-10,AT4G15560/AT1G08520/AT5G54190/AT2G30390/AT3G56940/AT2G26550/AT3G03710/AT2G40490/AT5G47110/AT3G14930/AT4G27430/AT5G40850/AT3G51820/AT4G18480/AT5G66190/AT5G58250/AT1G03630/AT4G25080/AT3G48730/AT1G10657/AT4G17600/AT3G14110/AT4G03205/AT2G26540/AT3G57180/AT5G45930/AT5G18660/AT4G27440,28
