,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,BP,GO:0015979,photosynthesis,157/5177,199/20875,0.78894472361809,3.18122872426649,17.7547370345935,3.14088386393738e-58,7.00417101658036e-55,3.58060760488861e-55,836059/841853/829266/842789/843989/837479/835809/816733/821268/821382/822416/835328/828893/825716/840099/838243/824559/839350/842072/815111/843110/828871/833461/816078/843890/823814/817646/843222/831437/829696/829490/827922/821840/829729/818599/821673/842794/819185/817630/828489/819992/837332/829678/829220/819353/824134/836262/822277/830772/838876/840297/829195/831741/837719/836710/829484/828697/840953/825246/832410/816652/818051/819639/843637/827564/824691/834494/820740/833476/827921/833979/840895/821399/841099/839870/823901/841995/839871/824832/820974/835506/840098/843491/814688/817656/825797/835168/837040/835286/820828/830325/830739/816623/819705/827996/842785/835515/827223/836751/2745715/842719/820461/825414/843029/842016/819406/839869/828388/824654/826626/843099/824775/815058/838591/824246/824572/844245/836789/842446/825320/824746/835806/821203/831799/841984/820043/826551/842354/3768499/818006/818532/843903/841919/843413/837178/824699/819295/842386/837848/817606/827927/815055/839449/838151/838168/837974/827877/825866/833828/837358/836525/821134/838455/822391/838498/820871/821143,157
GO:0009657,BP,GO:0009657,plastid organization,195/5177,303/20875,0.643564356435644,2.59501756627276,16.0608411420354,1.63229479352332e-48,1.8200086947785e-45,9.30408032308293e-46,828912/829266/818253/842789/840038/819740/829506/817170/837198/827505/830913/816846/837583/832756/841637/836365/835165/834025/819954/837193/835057/829548/820197/817128/820236/815275/842073/841506/831647/835175/839941/832346/843271/820961/822052/840099/816668/840860/822043/830957/839662/836893/842072/843064/816579/838675/822306/832082/842573/824048/832368/834575/829919/843356/823814/818514/832467/817809/829483/814834/817646/819931/817684/834236/829696/835788/831524/826935/837797/827922/840144/821840/828977/835388/837205/818362/824886/831086/830864/819185/835926/832538/823827/817569/835409/819992/837332/837734/814965/821494/827333/836364/835652/823721/821456/829306/834671/842833/821452/838761/817429/814640/843502/816667/819424/842672/829948/834442/832327/836874/816181/822157/827001/824885/840031/823899/836461/832713/834255/837634/837719/816386/841375/830101/824636/828697/841000/10723110/816229/835467/839753/816652/833614/823537/818051/824556/822055/818197/834494/819589/833476/824576/822397/834902/822570/825466/833995/828494/817344/821509/821399/837376/831259/824861/829555/817225/816940/830699/829314/840100/818500/831975/821298/819858/817741/817656/835549/832376/827759/843251/816623/841512/835621/843812/824858/820461/829972/819406/817947/837455/827144/824441/841033/827588/825494/828181/825489/843189/819295/840472/832500/832252/818392/843133/818854,195
GO:0009409,BP,GO:0009409,response to cold,201/5177,430/20875,0.467441860465116,1.88484621155289,10.6470238235255,1.8406314011286e-23,6.84101337419462e-21,3.49719966214434e-21,821874/835934/836497/823706/827305/820428/835379/818982/816762/827392/831925/827786/839752/821148/837507/837479/841092/831657/827863/840521/829330/839621/830303/833835/842359/821802/835919/836543/819965/818568/836629/831635/825307/819634/836867/842058/826716/830307/829754/832393/824477/816297/836236/842312/827336/835313/828552/821432/824036/836519/840099/820609/818685/842697/843048/838495/835011/833552/843356/834398/815304/843527/829684/839131/814686/816633/824566/841757/830336/832371/829240/819217/821840/841468/828936/828598/841372/816538/837206/843835/827419/819743/828556/838632/826859/819294/844279/844282/837403/829697/817317/818531/818457/819174/836262/818213/830024/822277/837636/831051/818820/840069/821003/818903/835320/838259/820082/824694/839283/837483/837619/838984/814873/826594/832195/831087/818558/820288/837286/821684/821966/836367/838209/844047/817165/838895/830332/840895/843793/821206/837457/825368/836772/841099/823901/821642/817205/839814/838290/840098/838674/837843/828651/835168/816124/818299/822168/835257/818458/830517/818697/820921/820461/843182/835307/839436/825414/843029/816092/824654/839395/815058/817947/824379/824572/835567/830039/828579/837455/842446/825320/835144/829949/841996/831100/826551/3768499/824261/824514/825753/820041/824087/820335/815055/839815/844085/816705/819758/828653/831454/834301/821134/818853/822391/819757/841346/817439/818854/829544/828652/831453,201
GO:0003002,BP,GO:0003002,regionalization,104/5177,186/20875,0.559139784946237,2.25459590704128,9.86984536299235,1.01938478942474e-19,2.84153510052145e-17,1.45262332493025e-17,823706/837960/827954/818982/817252/834031/841978/834213/828155/819666/838512/831541/840912/839928/816291/828523/829842/814786/828635/826172/817721/817830/831141/815269/829845/824589/840211/841645/814812/824468/827965/833970/831171/822138/837498/818340/829919/827132/820060/840218/838621/820777/817299/829783/826364/818036/831518/819153/835648/843134/823605/837277/821847/844282/830915/843693/816492/837048/821852/829267/832968/6240858/817173/814726/837997/836142/817761/820634/844348/824443/816640/837654/824585/831383/838363/824637/836414/835028/818336/830976/816621/830889/819276/817593/817788/827127/835401/832093/823703/818444/826909/834409/3768574/817947/827914/828569/819127/834713/843393/834792/817199/835618/837452/839040,104
GO:0048366,BP,GO:0048366,leaf development,192/5177,436/20875,0.440366972477064,1.77567327611719,9.3996571185467,7.02262796316406e-19,1.56604603578559e-16,8.00579587800703e-17,831213/836497/843314/821138/841853/818982/835701/821463/843736/821718/816762/826870/829743/839626/829244/841851/820530/822417/825648/832171/829025/818030/836617/818862/819666/832773/830498/838512/827702/819282/831541/839286/827642/831889/828328/820621/839621/830891/830756/841968/842529/843034/829157/826172/841072/825336/821781/817830/820730/835098/842760/820816/836742/830454/830019/831764/824853/824589/823594/828558/820318/821873/834663/842876/828165/821982/842071/830463/836321/839401/841645/829216/827125/826470/816495/841753/820609/836845/824468/832268/833970/831171/829930/822138/816579/828890/838138/843141/818340/829919/824452/820060/844375/830360/820777/842311/831081/842858/820732/821783/818362/819153/835648/830735/827123/825338/836337/836861/844282/836218/829843/817659/843693/836584/839329/837610/816492/824251/837048/819424/820658/832968/839108/824134/834442/818213/817173/830701/830751/839990/830566/828167/819300/816181/827568/837997/818820/823899/839901/826715/836710/830445/829175/824443/825528/816640/837654/824457/824585/838363/835467/824229/825828/820582/830512/828263/828908/818558/828645/820723/819038/829392/816940/830889/834197/828475/834439/826750/817788/832093/835307/829311/824775/3768574/827914/832582/828569/819127/842743/827588/841842/837989/843393/839568/817199/3768521/841156/835246/831234/818853/836053/818854,192
GO:0000278,BP,GO:0000278,mitotic cell cycle,132/5177,265/20875,0.49811320754717,2.00852099817407,9.48830520049316,9.79617260175623e-19,1.98595135471967e-16,1.01523970600019e-16,834213/843928/835914/821148/831407/837647/837583/816782/837133/818397/817851/839560/836456/839419/818131/842394/843333/830574/825019/834312/831275/821212/829618/831847/842992/842276/817860/824036/842804/833741/834459/830399/820999/821947/832749/836845/844213/824169/834917/817411/823970/819744/816142/825034/829919/826806/829564/834323/830483/844000/827837/838127/829904/834426/833791/834975/838135/821404/843964/841124/817684/820746/829714/841056/831988/826875/831404/829376/834324/839467/817129/825124/819697/830326/831111/841414/819713/830847/838687/828000/824873/825338/836861/814649/824955/822195/830090/836390/841126/823286/838202/830502/834492/829267/844108/822101/841425/843357/817340/829419/826539/832059/827154/820636/838650/830445/834670/824186/824636/824585/841014/832208/832098/828385/843911/841471/820325/817518/819157/836667/821496/817217/831088/817921/817341/843987/844377/832451/818444/817504/831100/838590,132
GO:0051239,BP,GO:0051239,regulation of multicellular organismal process,209/5177,500/20875,0.418,1.68548387096774,8.90949715924274,2.55633233533564e-17,4.75051758983206e-15,2.42851571856885e-15,835934/823706/826728/837127/844066/827954/842951/820463/835379/818982/841427/831793/835701/844178/818816/827323/831020/817252/844312/837501/828219/841978/839226/844268/818862/824060/839752/839984/818841/819666/830498/844036/831748/832379/833676/824906/829332/823531/839621/834246/830303/835956/820555/817597/836557/829866/827904/817141/817721/841072/821536/818438/816012/817830/842395/832289/836806/836629/831486/820093/831635/818581/818942/824340/830454/830019/829034/816650/833693/823594/821212/820318/814997/819619/834663/820295/828706/836236/829105/821382/835198/828303/844042/821432/823150/836321/839401/842993/816837/821831/816787/823916/840052/826470/832563/836463/840099/840860/838606/814812/836845/843811/837417/816579/833552/837597/840123/817016/841922/834154/821899/843527/831919/840218/834961/838127/831757/819878/814686/836822/834975/825297/829381/835788/829240/820732/830543/830735/816538/829799/836337/837332/844046/821696/814714/836466/817659/837610/824251/843377/819174/824019/829035/842536/5007942/839108/824134/834442/817696/818213/6240858/835702/843330/827568/822525/837997/829668/818463/839901/843194/814878/842953/836710/825528/824585/838057/828564/825828/828263/832392/824637/816598/834805/835028/835780/836367/831170/828934/830000/830453/817121/825160/816621/829571/820974/3768804/821298/838674/843212/816798/817593/830062/835401/823871/818444/826909/829311/824379/819127/838176/840477/841749/836598/821134/843133/834623/819956/3767658/818596,209
GO:0048580,BP,GO:0048580,regulation of post-embryonic development,173/5177,392/20875,0.441326530612245,1.77954246214615,8.9475840597805,2.96675092863235e-17,5.04173797483365e-15,2.57739071359209e-15,835934/823706/826728/837127/844066/842951/820463/835379/818982/831793/835701/818816/827323/831020/844312/837501/828219/839226/844268/818862/824060/839752/839984/818841/819666/830498/844036/831748/832379/833676/824906/829332/823531/839621/834246/830303/835956/817597/836557/829866/827904/817141/817721/841072/821536/818438/816012/817830/842395/832289/836806/836629/831486/820093/831635/818581/818942/824340/830454/830019/816650/833693/823594/821212/820318/819619/834663/820295/828706/836236/829105/821382/835198/828303/844042/821432/823150/836321/842993/816837/821831/816787/823916/826470/832563/836463/840099/840860/838606/814812/836845/843811/837417/816579/833552/837597/817016/841922/821899/843527/840218/834961/838127/831757/819878/814686/836822/834975/825297/829381/835788/829240/830543/830735/816538/836337/837332/844046/814714/836466/837610/824251/843377/819174/824019/842536/5007942/839108/834442/817696/818213/843330/827568/822525/837997/829668/818463/843194/814878/842953/838057/828564/825828/828263/832392/824637/834805/835028/835780/836367/831170/828934/830453/816621/829571/820974/821298/838674/816798/830062/826909/829311/824379/819127/838176/840477/841749/836598/821134/843133/834623/819956/818596,173
GO:0065003,BP,GO:0065003,protein-containing complex assembly,186/5177,431/20875,0.431554524361949,1.74013921113689,8.91638620992261,3.16521666581485e-17,5.04173797483365e-15,2.57739071359209e-15,830529/837252/835934/821056/818557/829817/840169/820092/843938/833746/825648/838316/819364/3770404/823578/816260/820046/831610/831407/825286/821276/826468/826746/823562/814786/832838/839314/836899/829822/843934/820743/835591/831141/818131/842382/835177/828868/820168/838690/819377/844347/834316/840582/826413/830381/842312/821382/841418/821573/835215/838545/817860/832834/819950/820846/831959/842086/816495/824147/843746/838243/828163/818304/843569/839350/827696/834313/833970/843064/820367/819117/822138/819179/830284/836350/843744/835234/28717376/816389/833461/841726/816078/823814/830483/821120/838135/817646/817684/818188/821840/829729/842858/838435/838462/816795/841880/836208/834844/816925/844215/820296/824424/839564/816448/817499/826559/5007874/838571/843963/819992/837036/825338/28719435/829678/820785/836584/818947/830810/818531/836535/829145/822136/843509/821860/822101/835616/838055/825902/831405/836238/826539/820324/822157/838876/840297/822424/825283/819717/830445/824694/824636/828697/832208/843797/818051/843637/832195/824691/834494/820740/838744/842341/833476/825754/836406/822570/843915/841995/829555/827118/843491/836779/841843/817656/824035/835168/837040/829156/832376/816623/827223/836093/2745715/842719/820921/826626/824246/844245/836789/821437/831799/832431/835761/816317/839449/818854,186
GO:0009733,BP,GO:0009733,response to auxin,169/5177,381/20875,0.443569553805774,1.78858691050715,8.92110078271132,3.82536010829727e-17,5.68703536100195e-15,2.90727368230593e-15,831213/826728/837960/831094/842951/817215/841427/819339/820530/825648/818540/818030/820094/843804/824564/816488/837479/842189/839286/826601/814953/830756/819108/831743/837559/827088/814786/830729/817830/818070/835098/842760/830019/825905/829117/829754/822296/832523/822537/814997/843449/827336/843752/844261/828541/835062/824343/824468/819633/829627/28717252/831171/841860/825473/836693/837498/836437/843432/827328/824678/829381/839949/835788/840023/816290/844441/829880/816538/844046/831108/837403/843693/823286/817894/820383/830693/821852/821877/843893/824205/820898/839990/834784/831348/826984/838570/829424/814726/822525/818033/837997/820612/829913/828045/818903/821879/832205/840058/826497/843805/840063/823914/821232/817956/837928/827103/820793/814670/844105/836367/843886/821663/825160/827102/822519/816657/816798/834390/843247/827127/838306/816158/826850/834409/28720205/815247/829029/830039/829629/818390/828440/820145/838128/843393/827989/839568/814648/828920/838916/834792/831515/841717/830040/839570/28718283/840056/836451/830966/829628/816812/821123/817353/828358/841156/831668/836598/839822/830041/816658/818278/831310/831670/831669/832840/843952/831078/829631/829361/28719402,169
