,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,BP,GO:0015979,photosynthesis,92/3150,199/20875,0.462311557788945,3.06373135518864,12.331372975156,1.08492128246933e-25,2.35644902552339e-22,1.57142282597663e-22,837479/829266/825834/821382/829729/843637/816652/837719/828697/827921/836262/842719/839871/840297/834494/819406/835506/841099/819353/831437/3768499/824691/819705/837040/825797/841995/818006/839869/824134/830325/843491/824832/827223/816623/839870/826626/824654/841984/832410/820461/842785/840098/830739/820828/2745715/824572/842354/818532/836751/827996/842016/818599/835806/842446/825320/843029/828388/836789/820043/824699/837178/837848/826551/824746/819295/838168/843903/843099/827927/837974/824246/844245/841919/825414/838151/815058/839449/831799/817606/842386/820871/833828/825866/827877/821134/836525/837358/838498/838455/815055/821143/822391,92
GO:0140546,BP,GO:0140546,defense response to symbiont,115/3150,372/20875,0.309139784946237,2.048664447858,8.60328486796939,6.01334791710798e-15,4.35366389198618e-12,2.90328657331249e-12,834678/823405/837531/817628/839566/823593/825650/841427/842281/819632/842432/843615/842787/843620/818077/823508/842736/832170/814753/841327/830452/844066/821297/843462/835112/841968/819634/834536/819552/829282/835513/815862/840190/834307/840016/831889/834517/834376/834561/839551/829480/834042/831155/819104/834562/819056/842951/836163/840859/844407/836134/836819/839160/816580/828626/818581/844250/827788/820202/837318/829510/830463/834443/836111/833747/829854/840148/837365/829277/839203/837464/822525/820429/841996/819576/838508/819682/820337/835358/816346/821966/821379/828579/829949/824893/824148/836612/824072/839843/839602/827093/816859/828608/818959/841140/843842/28720712/820159/816381/828963/829883/836614/815864/815949/835639/834469/830859/816736/836613/819126/822807/830860/828519/834905/841403,115
GO:0015031,BP,GO:0015031,protein transport,137/3150,478/20875,0.286610878661088,1.899365743508,8.38556126658761,1.33242812510917e-14,7.23508471934277e-12,4.82479236881635e-12,836300/823405/844268/817230/839158/832505/839062/828571/838100/816490/830626/831043/822557/829065/831870/830499/825257/828005/822352/836381/820629/821074/841666/824539/820284/820048/820001/843918/825830/828875/824714/814874/824451/816678/824812/819605/820113/830452/820997/842497/2745988/829059/835112/832102/817107/837804/820842/843677/822375/839001/840321/823559/832340/835217/816289/817175/844050/830746/829596/831565/824651/838077/837851/835165/835429/817851/829276/819896/817291/829275/831021/837579/818870/832756/841841/838891/816310/818380/828883/824831/828105/840060/827303/823924/816198/819832/837130/825344/819740/820142/825162/834213/815065/837448/827055/818317/835612/818915/839620/832404/818821/825097/838792/835320/834094/818594/835973/832123/819330/833747/832368/821342/836892/843204/816018/839248/817502/834420/835615/817724/819358/838623/820127/819929/819114/816623/816936/831041/818152/842453/841512/824148/842922/820144/827144/832987/816020,137
GO:0048193,BP,GO:0048193,Golgi vesicle transport,71/3150,188/20875,0.377659574468085,2.50274400540358,8.72529594174594,1.88688273239726e-14,8.19661858953371e-12,5.46600134690239e-12,820600/833946/832505/824384/842275/822557/825521/838713/820201/825257/830440/841666/837958/834798/825505/835046/825830/824714/824451/816678/828155/841472/837568/842497/836725/835532/818049/820842/841164/843677/822375/839001/836733/823559/835217/843468/828587/829596/816514/831491/827690/817851/838398/829276/821377/819896/817291/829275/825330/844020/819225/818870/832756/816310/824831/828105/823924/831071/843121/814675/819740/827055/818915/844389/838792/835565/827512/827091/816627/827127/834409,71
GO:0010629,BP,GO:0010629,negative regulation of gene expression,109/3150,352/20875,0.309659090909091,2.05210588023088,8.39219084672713,2.71300876178405e-14,9.82109171765826e-12,6.54929834423658e-12,836300/839244/823849/831157/830626/835150/816309/837181/839081/837322/818591/831597/843996/819210/823508/842988/817919/822389/827925/838759/838762/828259/842655/816905/817938/821485/840143/816307/840016/827323/839689/829765/823960/820530/832217/830308/818511/831244/831529/834160/844417/817252/831743/820529/821382/823578/841891/828876/816870/836134/816257/829557/833507/837384/815269/838354/843900/819852/816650/837133/820213/824853/829117/821192/837511/831486/832140/836227/832060/825027/831941/844250/827788/817767/836431/816462/832055/828303/839109/828163/834443/832829/822081/830963/828831/821587/835553/844199/819897/838495/819950/827277/825892/5007942/818463/824621/817369/834934/826931/820478/823551/841910/836109/817365/829611/842441/820264/838622/831910,109
GO:0009409,BP,GO:0009409,response to cold,125/3150,430/20875,0.290697674418605,1.92644887412329,8.18327456295753,6.34377561904816e-14,1.53096451606362e-11,1.02093979553336e-11,840521/833728/838780/830996/840476/825146/831554/837479/837958/824682/821148/829754/827925/830800/816149/827395/841092/836452/819634/816815/818568/830303/829330/839268/839621/829733/835379/836497/827305/836724/836163/836543/836867/819271/815304/821819/821432/819217/835320/824341/840438/824036/837206/835011/839878/829697/817205/838495/836262/818685/820288/841099/843793/821642/3768499/837843/841996/839349/830024/820082/840069/827931/821003/837028/821206/839814/824379/830909/830332/841372/819174/830517/831100/821966/824654/818531/820461/824087/828556/840098/824572/835567/820921/838259/817317/817165/835144/828579/817947/829949/824893/819386/837455/824694/828598/818558/842446/839436/825320/817901/820041/843029/831087/837286/843527/818854/831454/826551/820335/844085/816124/843182/818697/814873/839395/825414/815058/830039/821134/838674/815055/838895/842862/822391/831453,125
GO:0051172,BP,GO:0051172,negative regulation of nitrogen compound metabolic process,99/3150,317/20875,0.312302839116719,2.06962595763858,8.08976914737951,2.32289587628928e-13,5.04532984330032e-11,3.36453129028847e-11,839244/837584/843216/829409/831157/824390/837187/817962/839740/816309/842527/839032/844335/821265/821634/836452/818568/818043/835882/828657/831354/817597/842283/820831/823960/829901/820094/831529/831743/819896/843342/838879/828876/829557/833507/826093/838354/817055/829390/828094/820213/824853/821192/817830/828770/821640/828254/825890/827788/833712/837318/824825/819334/841183/822081/842079/819172/844199/819897/831164/818410/836244/839495/830361/838621/824621/834784/839929/834934/826931/837359/843805/827102/820478/828579/816798/830515/816317/832085/829611/843161/817770/838622/831910/831813/822344/843668/818178/830512/816365/835948/817975/818887/831256/825468/827246/825470/5008019/831978,99
GO:0048366,BP,GO:0048366,leaf development,122/3150,436/20875,0.279816513761468,1.85433959516528,7.59991879628096,2.30251317553508e-12,3.84696816712476e-10,2.56539119800507e-10,820052/831157/824390/825650/818030/817962/842281/843314/826172/834412/822547/841765/818862/818902/28717391/844095/836845/841968/816815/835238/839621/815862/827702/841981/822417/829605/831889/827740/832171/836497/820292/814725/820530/821453/819104/831213/819952/827173/831541/830498/838333/829743/821610/839335/819282/816870/825648/825452/825381/828464/837384/820214/830891/829390/820816/824853/817830/820318/834663/820730/821982/838281/835098/836620/837610/830463/835467/819300/839901/816495/824468/816181/830566/831508/824452/830701/843141/824457/816579/829919/828475/825336/825528/824134/843393/832968/836218/837997/828167/816492/817659/820582/834197/832093/826642/841842/818558/839864/819153/824585/827914/827588/836337/818959/818854/817103/819127/819038/837989/815864/827634/817199/3768574/839568/834439/831234/830512/834629/843656/824443/835246/842743,122
GO:0006631,BP,GO:0006631,fatty acid metabolic process,87/3150,278/20875,0.31294964028777,2.07391229873244,7.59896114809655,5.75679451603127e-12,8.93125549201422e-10,5.95590169478122e-10,842482/840521/831483/822167/832820/814974/821961/826456/830144/817175/830746/838147/834758/844314/837140/836724/820862/819870/830961/814996/829022/827043/820816/837583/828484/824568/841699/834876/827088/837610/824702/819070/826580/828213/839891/841905/842561/842836/817205/815152/839434/841900/827835/822525/820288/838528/816892/833497/844094/840069/820257/819205/819664/837147/830332/839053/831500/816893/825492/820828/827089/817165/831406/841787/828553/815998/829574/824208/817901/827018/834813/834300/837286/828608/819284/842961/816124/843182/828019/832383/830825/817832/817412/831484/839395/838551/820216,87
GO:0051239,BP,GO:0051239,regulation of multicellular organismal process,133/3150,500/20875,0.266,1.76277777777778,7.27778497648581,1.22506082006545e-11,1.66302006323885e-09,1.10900242658556e-09,844268/829406/830996/841427/842281/817721/837346/836560/827954/834246/841978/820093/819828/830916/842988/818862/823966/844066/834204/836845/816815/830303/839621/831020/830144/841981/836428/837501/817597/827323/835379/833693/842337/825834/814835/819579/833676/842951/817252/827904/830498/824340/836163/821382/844312/844407/816870/837235/818816/839226/819619/817055/816650/829390/819271/815177/818841/820295/817830/820318/834663/831486/832379/818581/825890/827788/835939/821117/820202/835198/816837/836463/821831/828303/844042/821432/837610/838057/834154/820557/817016/841922/839901/816316/836201/841721/824019/822525/5007942/836466/816579/818463/829035/826909/821899/825528/843330/830000/824134/837417/824379/837997/819174/835028/832392/817659/840123/816798/838606/836212/824585/821251/816621/843527/836337/834623/820472/842536/819127/830812/827634/841749/836598/821134/838674/820386/840371/834805/832537/823871/817975/832555/3767658,133
