,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,29/461,434/20875,0.0668202764976959,3.02575547047592,6.40870178437059,1.40735986336721e-07,0.000203926444201908,0.000173920050483484,817474/826860/824681/828420/835828/828950/828428/836153/825144/843660/824073/828429/827563/823679/821135/824711/6241037/841944/820669/818802/823680/818827/820463/816436/830350/837602/838224/815147/828425,29
GO:0045229,BP,GO:0045229,external encapsulating structure organization,23/461,364/20875,0.0631868131868132,2.86122500059593,5.38326053579526,7.0579211122595e-06,0.003522111619244,0.00300385677308667,816699/841820/835828/830056/829695/818720/822697/818050/831317/834564/816649/839942/818917/830979/6241037/843671/3768816/843203/834475/843353/819903/825831/825122,23
GO:0019320,BP,GO:0019320,hexose catabolic process,5/461,14/20875,0.357142857142857,16.1721413077161,8.53360589811361,8.72793680676652e-06,0.003522111619244,0.00300385677308667,820006/827834/818050/839942/834475,5
GO:0009620,BP,GO:0009620,response to fungus,23/461,376/20875,0.0611702127659574,2.76990930908755,5.20436617150637,1.19361454691796e-05,0.003522111619244,0.00300385677308667,826860/830917/840948/833954/824681/836533/836596/835828/824763/827663/822110/843660/824073/823679/821135/6241037/836823/820398/835632/830350/837602/843353/817375,23
GO:0050832,BP,GO:0050832,defense response to fungus,19/461,274/20875,0.0693430656934307,3.13999239989233,5.3583688853282,1.2153594269303e-05,0.003522111619244,0.00300385677308667,826860/830917/833954/836533/836596/835828/824763/827663/822110/824073/823679/821135/6241037/836823/835632/830350/837602/843353/817375,19
GO:0010091,BP,GO:0010091,trichome branching,6/461,31/20875,0.193548387096774,8.76425722482681,6.50098967916315,5.17251518003295e-05,0.0107071064226682,0.00913162830279501,832970/821209/834031/818827/843671/825831,6
GO:0030048,BP,GO:0030048,actin filament-based movement,5/461,21/20875,0.238095238095238,10.7814275384774,6.73917061951367,7.80667251856652e-05,0.0141398355992536,0.0120592546536804,817886/817748/824985/839246/828845,5
GO:1903046,BP,GO:1903046,meiotic cell cycle process,13/461,167/20875,0.0778443113772455,3.52494577006508,4.92300706905279,8.99594461248633e-05,0.014483470826103,0.0123523262866187,839275/838831/825523/829704/839457/817756/827537/828396/823975/836513/844068/841256/819903,13
GO:0031047,BP,GO:0031047,regulatory ncRNA-mediated gene silencing,10/461,109/20875,0.0917431192660551,4.15431152858763,4.96170174226055,0.000151853588393872,0.022003584958272,0.0187659066078322,827212/840017/843276/838685/839574/818083/837412/821300/835279/815840,10
GO:0032504,BP,GO:0032504,multicellular organism reproduction,15/461,227/20875,0.066079295154185,2.99220235649374,4.53520193566174,0.000168935784282322,0.0222534501295531,0.0189790058131527,828081/833998/830056/827663/822110/831159/830497/839574/834978/819212/823975/839323/844068/819903/819620,15
GO:0000280,BP,GO:0000280,nuclear division,13/461,183/20875,0.0710382513661202,3.21675379016868,4.52617161522003,0.000224497995868065,0.0245107991082689,0.0209042011936419,838831/825523/829704/839457/818827/827537/828396/823975/836513/844068/841256/819903/818131,13
GO:0042168,BP,GO:0042168,heme metabolic process,5/461,27/20875,0.185185185185185,8.38555475214911,5.77061435850521,0.000277669776760282,0.0268229004350432,0.0228760924853734,817682/843310/828029/832672/843308,5
GO:0005984,BP,GO:0005984,disaccharide metabolic process,8/461,78/20875,0.102564102564103,4.64430724734412,4.84564046290247,0.000322826159621852,0.0286995761645253,0.0244766281044297,836638/828081/841567/826855/830979/843319/834978/843034,8
GO:0016051,BP,GO:0016051,carbohydrate biosynthetic process,19/461,366/20875,0.0519125683060109,2.35070469281557,3.91758074054263,0.000547463108946231,0.037159286122109,0.0316915490954604,827198/836638/841567/822697/818050/819800/837112/824765/839942/839418/826855/830979/835750/837111/825079/843203/834475/819903/825831,19
GO:0090626,BP,GO:0090626,plant epidermis morphogenesis,9/461,106/20875,0.0849056603773585,3.84469774485327,4.41235569348712,0.000572114921501836,0.037159286122109,0.0316915490954604,832970/821209/842529/834031/818827/843671/840324/839323/825831,9
GO:0032787,BP,GO:0032787,monocarboxylic acid metabolic process,23/461,490/20875,0.0469387755102041,2.12548142901412,3.78852591631515,0.000614934791664493,0.037159286122109,0.0316915490954604,820006/816509/827663/837119/824516/834966/831039/832657/830894/815657/841026/839347/836015/821135/829227/816887/6241037/841944/840522/843838/838224/835571/835764,23
