,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,179/2105,434/20875,0.412442396313364,4.09013540287006,21.7855264231832,1.28949670943316e-66,2.54030851758332e-63,1.82429850260859e-63,843660/821135/824681/816436/842988/840190/823671/838338/838508/828430/817628/819130/820307/826770/828414/834101/828420/841606/834678/831700/826753/815864/826860/824073/832320/817626/831173/823679/828413/817828/817474/823729/836602/6241037/819632/832524/828415/834646/828963/836686/843406/831826/819248/828427/835828/819326/843208/825139/817471/832750/835341/828422/829308/832801/827563/828418/828950/815147/828425/828481/843716/832488/841944/836150/835012/843810/824188/818348/830058/833963/826752/827714/832618/817039/825837/837365/824408/830520/829589/829466/820669/818491/830350/820035/824629/837800/5008297/840250/820141/825706/837999/837210/834545/836153/836518/818802/824900/826791/823593/835392/28720712/828419/838224/828412/828429/836646/834577/824807/818429/842281/817841/834892/826884/844276/828967/836377/834768/823964/831345/828782/840016/816258/816913/844423/825144/830154/824548/823622/818549/842275/822474/828424/826809/834660/841270/10723040/831955/824711/818670/828606/836753/828426/820630/832285/826757/829480/836819/825650/837405/827085/818588/821717/828032/829303/844127/844385/830916/842733/838501/838812/838438/834536/834690/836149/821453/827710/821607/840115/839232/819684/828423/837393/829901/827397/836565/823804/822529/828713/834561,179
GO:0009620,BP,GO:0009620,response to fungus,140/2105,376/20875,0.372340425531915,3.69244958811341,17.6429790591477,8.12832535194299e-46,8.00640047166384e-43,5.74972067000598e-43,836823/843660/821135/824681/842988/840190/821832/823671/838338/838508/843353/817628/819130/824763/826642/834101/822298/841606/834678/830917/827745/836533/832660/842711/843748/826860/824073/826861/820155/823679/834378/817828/844307/833954/836602/6241037/832524/818952/816283/817744/841082/824212/835828/830902/832686/832750/840188/818064/824210/829308/836596/839026/820429/820591/824405/836150/843810/815943/827714/817039/838721/839392/827831/818403/829589/829466/822110/830401/827663/841328/830350/824306/819700/839028/822093/840250/837210/834545/834842/820848/830779/825135/836825/818167/827493/840948/817901/824807/818429/819253/842281/824211/814694/830443/817553/835091/844423/837635/837673/818549/842275/825189/823620/822474/818605/827381/828287/821460/820355/828457/819252/820398/828064/819552/818670/829480/836819/825650/827085/822169/821717/825452/830916/842733/817745/821453/827710/834630/818715/833810/838824/837393/828151/835632/839112/837071/839141/834026/817375/831594,140
GO:0009751,BP,GO:0009751,response to salicylic acid,89/2105,199/20875,0.447236180904523,4.43518065386314,16.3057061328639,8.63129549148809e-37,4.25091302955788e-34,3.05275293172631e-34,843660/821135/838122/842988/833667/820307/826642/834101/815864/832320/832476/842863/823729/839748/844307/838107/832524/834646/836686/831826/838043/819248/824212/828427/814985/829308/831174/835550/6240315/824405/828481/824257/842862/837768/818348/830058/815943/817039/844028/838721/824408/830520/825291/830401/831156/6240283/824306/5008297/834545/830779/5008204/843864/828412/817901/824807/817841/823964/817491/835019/816258/844423/830587/828416/823620/820355/832845/839846/842580/842428/818670/828426/839735/831863/825650/827085/818588/827634/838723/825804/842733/838812/843462/827710/825880/839232/837393/827397/828151/838147,89
GO:0031347,BP,GO:0031347,regulation of defense response,106/2105,297/20875,0.356902356902357,3.5393523517039,14.7603400461635,5.27140100837346e-33,1.73077666441595e-30,1.24294086934279e-30,824681/817484/821832/838338/824763/834101/832474/822298/817495/841606/837408/824073/831173/830142/826796/817828/6241037/836686/825433/825139/832750/829308/826456/824405/828481/843716/843810/830058/833963/832618/835358/821213/817039/843617/818403/832170/824408/829589/843620/822184/842432/825291/830401/831158/822093/837800/820141/825706/837999/837210/827493/817746/28720712/816412/814753/838336/824807/825831/842281/834892/826884/830443/836377/834768/831345/833957/841026/828782/838310/844423/837673/818549/821808/822474/825434/10723040/820355/828457/824711/818670/821061/832530/836753/836819/825650/827085/821717/842733/838501/834536/820142/823426/819969/836163/826407/831392/837393/829901/827397/835632/842754/841327/839141/834561/831876/817375,106
GO:0012501,BP,GO:0012501,programmed cell death,81/2105,194/20875,0.417525773195876,4.14054656316576,14.7169253792072,5.32166529398363e-31,1.31046007864347e-28,9.41094494093948e-29,843660/820564/838338/838508/829955/828420/837408/831173/838212/823729/822119/836686/838043/828427/6240393/830902/817807/824608/824405/837783/824257/824188/827714/829566/815862/837365/843617/834758/832170/824408/829589/843620/834210/831158/817197/828614/834842/827493/824900/817746/823593/842710/828412/842281/834892/826884/823964/833957/835091/844125/816258/835203/818435/838779/828416/823622/834660/10723040/820355/839561/839846/839735/829480/834517/821717/842733/829993/830497/843462/821607/840115/839232/836158/821676/837393/823804/836574/820317/842754/834561/839808,81
GO:0002376,BP,GO:0002376,immune system process,96/2105,276/20875,0.347826086956522,3.4493442115047,13.717597234976,5.56303734244461e-29,1.09591835646159e-26,7.87023388236374e-27,840190/821832/838338/838508/817628/829955/834101/832474/828420/815949/826860/824073/817626/831173/836612/817828/833523/828963/836686/838043/835828/816859/824608/835550/836614/824405/824257/817923/830058/843276/832618/824410/836222/815862/837365/843617/832170/824408/829589/843620/842432/837531/831158/817197/820141/820848/827493/826791/823593/28720712/820357/842710/814753/838336/824807/842281/834892/826884/834768/823964/833957/835091/834753/830154/818549/825434/834660/818291/839574/10723040/820355/839846/819552/839735/829480/836819/825650/834517/821717/818989/842733/822601/838438/834536/821300/843462/821607/836158/821676/827397/823804/842754/841327/834561/831876/839808,96
GO:0006955,BP,GO:0006955,immune response,93/2105,272/20875,0.341911764705882,3.39069267849658,13.290451214469,1.81380917712621e-27,2.9776700657822e-25,2.1383855561909e-25,840190/821832/838338/838508/817628/829955/834101/832474/828420/815949/826860/824073/817626/831173/836612/817828/833523/828963/836686/838043/835828/816859/824608/835550/836614/824405/824257/817923/830058/843276/832618/836222/815862/837365/843617/832170/824408/829589/843620/842432/837531/831158/817197/820141/820848/827493/826791/823593/28720712/814753/838336/824807/842281/834892/826884/834768/823964/833957/835091/834753/830154/818549/825434/834660/818291/839574/10723040/820355/839846/819552/839735/829480/836819/825650/834517/821717/818989/842733/822601/838438/834536/821300/843462/821607/836158/821676/827397/823804/842754/841327/834561/831876/839808,93
GO:0032101,BP,GO:0032101,regulation of response to external stimulus,84/2105,235/20875,0.357446808510638,3.54475160458887,13.1377573060809,1.90289594159229e-26,2.88361923456678e-24,2.07084384251016e-24,824681/821832/838338/824763/831147/834101/832474/822298/819120/817495/841606/824073/831173/830142/817828/6241037/836686/825139/832750/829308/824405/843716/833963/832618/835358/843617/818403/832170/824408/829589/843620/822184/842432/830401/831158/822093/837800/820141/825706/837999/837210/827493/28720712/838336/824807/837890/825831/842281/826884/830443/836377/834768/831345/833957/841026/828782/844423/818549/821808/822474/825434/832137/10723040/820355/828457/824711/832530/836753/836819/825650/827085/821717/842733/834536/836163/837393/827397/835632/820292/842754/841327/834561/831876/817375,84
GO:0071456,BP,GO:0071456,cellular response to hypoxia,85/2105,241/20875,0.352697095435685,3.49764934309735,13.0600556398144,2.79688820280815e-26,3.93562125680861e-24,2.82632913125876e-24,838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/839883/828377/818605/832137/828457/816783/819260/814646/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/838517/842280/828855/839666/843622/818252/839142/828856/843216,85
GO:0001666,BP,GO:0001666,response to hypoxia,90/2105,269/20875,0.33457249070632,3.31791009192134,12.8136433533587,7.666479702642e-26,8.88409706717926e-24,6.3800301673999e-24,838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/824408/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/823964/839883/828377/818605/832137/828457/816783/819260/814646/828891/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/842733/843565/838517/842280/828855/839666/843622/818252/839142/828856/843216,90
