,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015979,BP,GO:0015979,photosynthesis,145/4343,199/20875,0.728643216080402,3.50228577842008,18.1788011887097,2.24348410667336e-56,5.0029695578816e-53,2.44421689516519e-53,816733/843989/828722/841853/835809/835328/825716/843890/819353/840099/838243/843990/829729/832410/839350/836262/828096/824559/833461/821673/843110/828489/840297/825414/819185/828871/816078/817646/819992/823814/844245/837719/831799/824691/827922/821840/828697/824246/836710/829678/829490/817630/839870/843099/834494/830772/829220/815055/825246/840098/816652/838876/842386/837332/824832/841995/827996/819639/827921/840895/843029/818051/843491/843637/841099/840953/820828/829696/828388/819195/830739/841919/836751/821399/839871/817606/836789/842016/824746/825797/829484/833476/835506/830325/816623/837040/842785/831741/823901/827564/2745715/839449/829195/826551/825320/843903/827223/842446/820461/820043/819705/824654/826626/835806/827877/819295/837358/824572/820974/843222/838151/820740/837178/839869/836525/835515/825866/827927/824699/833828/833979/842719/814688/824775/819406/837848/818532/822391/842354/841984/835286/837974/838455/817656/838168/821203/821134/818006/843413/3768499/835168/838498/838591/821143/820871,145
GO:0009657,BP,GO:0009657,plastid organization,185/4343,303/20875,0.610561056105611,2.93471380294833,17.3874078949862,4.68452408348921e-53,5.22324435309046e-50,2.55183285600596e-50,841637/839418/817595/835979/832183/817170/841248/836365/837198/840038/819740/842693/828912/830913/829660/832298/829506/837583/819954/835175/842073/823893/837797/820236/832346/843271/829626/840099/821456/817711/838675/832467/834575/815275/843064/814834/822306/831086/842187/819931/820197/826935/818514/817128/841375/829548/827333/839941/817809/822157/834236/824886/821600/816181/831647/840144/841506/819185/842573/821876/829483/837193/820961/831524/828977/834442/843356/842833/822397/817646/824048/829948/819992/823814/822052/843839/819424/837719/814640/832082/827922/821840/817429/828697/835926/816229/817225/830864/823721/834494/816667/836671/839566/835467/10723110/817569/837205/842672/832713/823827/816652/824861/834671/829306/837332/843812/821452/819858/837734/838121/816386/821494/827001/843502/840031/822055/818051/838761/829696/824858/830101/818362/836893/841512/839753/837634/827144/823899/821399/821509/840100/835652/837376/833614/843189/833476/816623/834255/831259/841033/827588/820461/818500/835388/830699/819589/814965/834902/837455/817741/832327/817947/816940/822570/829314/835549/819295/818392/836461/829555/824885/823537/818197/832500/832376/840472/817344/825494/829972/835621/833995/843251/828494/825466/824441/827759/832252/819406/831975/824576/828181/825489/817656/818854/843133,185
GO:0000278,BP,GO:0000278,mitotic cell cycle,139/4343,265/20875,0.524528301886792,2.52119003036767,12.7732810332034,2.83700747547991e-30,1.05442111172003e-27,5.15140831073984e-28,831860/842782/820142/842035/831870/843333/829211/843928/839419/834213/816782/835914/819903/842992/837583/816519/817716/830557/823970/838490/817340/826539/816539/818131/841126/844366/819744/844000/832749/829564/843313/836362/834459/824630/836745/836390/827156/838687/833791/817341/844068/822195/816142/829419/820746/817129/836861/825338/817819/827271/838135/816747/844108/836595/839140/824543/820636/829714/831111/842804/827054/830502/831608/835514/841471/825034/838127/842613/830399/830439/841056/832059/834670/836667/839467/827612/830847/817411/819713/822101/844377/823286/830445/833741/827837/837346/830483/834492/829376/821947/826875/821439/825124/830090/817921/828501/831404/836513/844213/832208/841124/814649/834426/831088/829904/824873/832098/837468/820325/834917/843964/834324/821496/843987/836845/821404/843357/834975/818444/817217/841014/824955/817504/832451/820999/828385/831988/827154/838650/841425/838202/837238/843911/824186/831100/832610/817518/838590/3768365,139
GO:0007010,BP,GO:0007010,cytoskeleton organization,154/4343,324/20875,0.475308641975309,2.28461153608901,11.9443604052252,2.82251430198955e-27,8.991724133481e-25,4.39293579332209e-25,817676/828991/836883/842782/820142/3770404/836110/831870/820600/824198/843928/822317/836111/835554/820052/834213/839878/832393/828972/823396/829056/814896/832060/841458/829654/821819/830707/815304/839678/838333/830557/818733/839401/838034/836723/826539/816539/818131/833879/819230/821277/838614/841493/836408/823959/844366/819744/832749/834074/844375/841412/831628/835035/821534/834459/830737/816290/825245/836390/822136/829750/835556/828777/819717/835516/838571/822157/834908/829419/817129/839791/825338/816747/836595/839140/824543/836370/827054/829600/835234/832409/825034/829016/816416/824666/831959/828783/818595/821783/836773/834889/835761/834333/819943/821884/838990/817411/818339/843134/824985/836862/830445/827837/835616/830483/821947/837558/821439/828826/819774/831404/825867/829367/843509/821494/832098/817539/823923/819026/827328/837394/820385/825902/818454/817504/818161/839083/832451/827588/835898/824542/828385/827876/831988/843899/827154/838049/817886/841425/843911/839246/816548/828845/834901/824186/831100/824260/829194/825255/824087/837657/838590/818577/828449,154
GO:0007017,BP,GO:0007017,microtubule-based process,122/4343,242/20875,0.504132231404959,2.42315457761421,11.4133628358005,1.03675266588225e-24,2.88994805614678e-22,1.41189343314228e-22,842782/820142/831870/824198/843928/820052/834213/839878/832393/828972/823396/814896/832060/829654/821819/830707/815304/839678/830557/818733/839401/838034/836723/837799/826539/816539/818131/833879/821277/841493/844366/819744/832749/834074/844375/830060/841412/831628/843557/835035/834459/830737/825245/836390/835556/838571/823602/834908/829419/817129/825338/816747/836595/839140/827075/824543/836370/827054/835234/832409/825034/816416/824666/828783/818595/821783/836773/834333/821884/838990/817411/836862/836671/830445/827837/835616/838418/816676/830483/821947/821439/825523/816792/828826/819774/831404/825867/829367/821494/832098/823923/819026/823523/827328/842245/818454/817504/818161/832451/827588/835898/838777/820999/828385/827876/831988/839405/843899/827154/841425/843911/835621/824186/831100/824260/829194/830555/825255/824087/837657/838590/828449,122
GO:0009409,BP,GO:0009409,response to cold,174/4343,430/20875,0.404651162790698,1.94499033462027,10.1485289010889,6.22200535075567e-21,1.26137017565319e-18,6.1624646296958e-19,835934/827481/825831/827395/831925/828714/839752/838165/816149/818982/819386/824115/836163/827392/827786/838780/816762/825146/831635/839878/832393/843527/833835/842359/836497/836629/827305/831657/836630/827925/821819/819965/836724/815304/829733/843048/819271/840099/830336/838259/830024/836452/837206/819217/837958/829697/840069/836262/814686/818300/841757/820082/824566/836519/816124/831209/839268/828936/825414/842697/816633/843835/843356/816538/818697/836018/840234/838984/821966/844143/817165/835981/838676/843182/816815/842991/821840/829240/830332/838632/835320/831051/838883/836367/818213/821206/842384/820288/838209/815055/840098/832195/839814/844279/843793/819294/840895/833552/843029/841099/844047/839436/819743/821642/818903/829684/839283/833728/817134/817205/826859/837843/823901/818820/830517/820921/837403/826551/825320/842446/820461/826594/828651/837455/817947/824654/818457/824572/835567/828579/837636/838290/835144/818299/829949/820335/824379/822168/825368/824261/824765/821684/820041/822391/831100/844085/844282/818458/841996/821134/824087/835257/3768499/831454/835168/816092/824514/837619/839815/819758/835307/831453/828653/825753/837457/841346/819757/817439/818854/816705/818853/828652/834301/829544,174
GO:0051301,BP,GO:0051301,cell division,128/4343,285/20875,0.449122807017544,2.15874708645895,10.0952706759393,3.25735592765404e-20,5.60834107445715e-18,2.7399730998646e-18,816780/820142/842035/818982/817382/834591/820419/836163/824589/824047/836365/839419/834213/821514/820292/831809/823396/831213/842951/832298/828120/841891/841327/828558/842992/816519/823150/817055/835175/838333/835532/839401/827676/822075/823970/842002/843271/837997/816539/818131/837958/832467/817592/819744/844000/832749/843313/824630/844095/814686/825245/833791/843576/825488/835105/829419/817129/830912/825338/831919/816747/831023/836595/844194/825234/832272/827054/831608/835234/843905/825034/830399/828396/824666/844348/830879/832059/828783/836773/842858/839467/827612/830847/817411/821849/841110/824804/820036/844377/838321/818086/830445/837346/835616/838418/830483/836269/838057/829376/821947/842672/821439/830090/836209/825111/828501/844213/814649/834426/831088/843599/841446/819026/28718327/841748/842157/821404/834975/817173/817361/820999/831214/831988/835621/836598/824260/827760/836709,128
GO:0044272,BP,GO:0044272,sulfur compound biosynthetic process,86/4343,160/20875,0.5375,2.5835396039604,10.3057952030113,3.70478521099529e-20,5.90119358608535e-18,2.88304713787979e-18,827122/837766/839418/837277/829277/833655/818982/837466/839303/824385/841405/817083/839031/825317/839501/837318/838901/824872/829440/825500/816232/818775/831888/832797/821292/839891/832223/838580/829106/835466/826975/815134/828100/837610/819845/830153/831660/835006/818382/821077/816765/842375/839429/832872/841433/819022/815963/819654/841863/822181/820951/825167/830740/835863/836210/818978/836263/843612/830339/821147/821845/820128/840346/838210/842553/824770/843749/827118/818937/825068/842897/833497/825376/835567/818912/827011/830662/826811/821203/817513/831270/838211/832365/821508/844013/830663,86
GO:0016051,BP,GO:0016051,carbohydrate biosynthetic process,151/4343,366/20875,0.412568306010929,1.98304475891737,9.72470975545639,2.90699429115788e-19,4.32173151285471e-17,2.11139585357783e-17,832220/821312/825831/839418/837277/839292/828690/834677/828953/842035/814643/836523/843659/843989/838512/828801/843776/837189/831970/822338/817083/831400/844049/833002/825650/819903/821625/816556/832157/824459/829842/819069/836306/825025/831846/831759/835603/817818/836047/825838/819353/843830/837963/834829/827298/836408/836262/828020/825079/822105/835035/844082/824559/839880/823948/844225/841588/819834/825414/814857/836698/837610/830153/816747/818447/836213/834523/836595/844194/821672/839475/837160/837885/827940/827438/817607/831608/830399/814637/825285/815963/830052/818766/821783/831430/839467/836710/827612/830847/816821/838203/838257/835849/829509/830665/829900/821223/821206/829376/837716/825246/830135/840098/816652/830559/830090/828501/816697/834426/819639/831140/840895/840953/828564/836263/834883/825440/832042/820845/824746/827498/831769/818580/820461/843530/842961/839224/837095/827550/832497/824572/816753/839531/828758/830315/844288/824765/837848/821589/844144/833975/830662/818349/825117/835257/835750/819289/818212/828759/830663/843133,151
GO:0000910,BP,GO:0000910,cytokinesis,66/4343,110/20875,0.6,2.88395118581626,10.1539513110237,3.52285695771883e-19,4.90998188482062e-17,2.39878746792039e-17,842035/824047/839419/834213/821514/831809/823396/828120/841327/835532/843271/837997/818131/837958/817592/819744/844000/832749/843313/814686/825245/825488/835105/829419/817129/825338/816747/831023/836595/827054/831608/835234/825034/830399/828396/824666/832059/828783/836773/839467/827612/830847/817411/821849/838321/818086/830445/835616/838418/830483/838057/829376/821947/821439/830090/828501/814649/834426/831088/843599/841446/841748/834975/820999/831988/824260,66
