,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,157/1678,434/20875,0.361751152073733,4.50033092940356,21.7863781009142,7.41595706457248e-63,1.35489535569739e-59,1.03120834550529e-59,838508/823671/838338/815864/828430/816436/821135/840190/842988/843660/820307/819130/817628/828414/834101/826770/828963/824681/828413/831173/841606/836602/843208/826753/831700/834646/817626/817828/834678/832320/819326/823729/831826/828415/828427/832524/843406/819248/833963/824073/828420/817039/823679/819632/836686/828422/28720712/832801/843716/837365/828481/832488/828418/6241037/843810/830058/835341/832750/825139/836150/832618/835392/829308/818348/5008297/826860/837800/828967/824408/820264/826752/824188/820035/825837/827714/837210/824807/829589/835012/828425/827563/815147/820141/824548/838896/844423/823964/835828/840250/834892/837999/824629/828412/826884/830520/841944/828419/825706/836646/834545/818491/826791/830154/829466/836518/834660/10723040/832285/817841/834577/818549/831345/818429/824900/838438/827085/822529/822474/844127/816993/820669/836377/834768/830350/837405/828713/818588/828606/844385/816913/816847/828782/816258/842733/824838/838501/823593/817049/840016/826809/819684/844276/823622/822530/835360/841270/828424/827710/821607/821717/842281/828950/826918/838224/838812/831955/819941,157
GO:0009620,BP,GO:0009620,response to fungus,119/1678,376/20875,0.316489361702128,3.93725591509649,16.9922741850483,7.67915785503175e-41,4.91533822435159e-38,3.74105481771581e-38,838508/836823/823671/838338/826642/821135/840190/842988/843660/821832/819130/817628/843353/834101/822298/824681/827745/841606/836602/843748/820155/817828/842711/834678/832660/824763/826861/832686/844307/824210/820429/832524/834378/816283/818064/824212/818952/830902/817744/824073/815943/820591/817039/841082/823679/836533/839026/839392/817901/840188/6241037/830917/843810/838721/832750/824306/836150/824211/829308/819700/839028/826860/824405/830401/830779/827831/841328/827714/837210/824807/833954/829589/831127/827493/820848/844423/835828/840250/822093/828287/837673/834545/818167/814694/822169/819827/825135/829466/828457/5007997/817553/834842/818549/836825/818429/834630/827085/822474/837773/828064/821460/830350/823620/819253/819252/827381/820355/842733/833810/821788/817049/825189/828151/828840/818605/827710/821717/842281/819941,119
GO:0009751,BP,GO:0009751,response to salicylic acid,85/1678,199/20875,0.42713567839196,5.31374093351142,18.0771295885892,8.07116292996977e-41,4.91533822435159e-38,3.74105481771581e-38,826642/815864/833667/821135/842988/843660/838122/820307/834101/832476/842862/842863/834646/832320/844307/838107/831174/823729/831826/839748/828427/832524/6240315/819248/824212/814985/815943/817039/835550/836686/824257/844028/6240283/828481/817901/831156/830058/838721/837768/827634/824306/825291/5008204/829308/818348/5008297/824405/824408/838043/830401/830779/831863/824807/828416/838896/844423/823964/842861/828412/830520/834545/832845/830587/817841/817491/835019/827085/842428/842580/818588/823620/838723/816258/820355/842733/821788/828151/825880/825804/827710/821251/839846/838812/843864/839735,85
GO:0071456,BP,GO:0071456,cellular response to hypoxia,85/1678,241/20875,0.352697095435685,4.38769479572105,15.6387926139298,2.46042337345414e-33,8.99038700660143e-31,6.84256689754299e-31,838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/839666/818708/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701,85
GO:0001666,BP,GO:0001666,response to hypoxia,90/1678,269/20875,0.33457249070632,4.16221736799429,15.4330991833522,3.44271249271728e-33,1.04830595403241e-30,7.97863719803426e-31,838508/839183/837098/816859/839180/836614/838016/843632/834244/839952/824140/832524/822119/819248/823752/829559/827971/829327/832145/829927/819365/832596/832801/817780/3767664/832750/836103/843057/827834/837252/820019/826618/817155/838483/824408/834210/831076/817197/838410/843621/839265/815862/824807/831075/843997/831158/835924/823964/835828/828733/820531/837980/842861/826884/830520/5008138/843998/832206/842923/816783/828457/828511/821893/818252/834842/832075/818709/837428/842428/816103/817925/818588/822041/828377/828891/842733/839666/818708/843565/817159/821175/836499/833746/818605/843622/842280/814646/819260/830313/818701,90
GO:0002376,BP,GO:0002376,immune system process,84/1678,276/20875,0.304347826086957,3.7862102917552,13.7761384788842,9.35768172802676e-28,1.31511419362345e-25,1.00093097673873e-25,838508/838338/815949/840190/821832/817628/836612/834101/829955/828963/831173/841403/816859/817626/817828/836614/832474/833523/5008207/2745743/824073/824608/828420/835550/836686/28720712/824257/837365/830058/832618/817923/836222/842710/826860/824405/824408/838043/817197/815862/824807/829589/833957/831158/820141/820357/827493/820848/823964/835828/832170/834892/826884/843620/838336/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/838438/818166/834768/843276/814753/837675/843068/820355/842733/823593/817049/818291/818989/821676/839846/821607/821717/842281/839735/836158,84
GO:0080134,BP,GO:0080134,regulation of response to stress,110/1678,443/20875,0.248306997742664,3.08903967692378,13.1393913204902,1.78589306406936e-27,2.33059044861052e-25,1.77380807341025e-25,817484/838338/815949/821832/834101/824349/822298/824681/817495/822092/831173/841606/817828/834678/826796/832474/824763/819120/837408/842057/834836/823729/829853/830142/819248/833963/2745743/817744/824073/835358/825433/817039/836686/28720712/822184/843716/828481/834360/6241037/843810/830058/832750/825139/821213/832618/817746/843057/825291/826456/829308/824405/837800/824408/820264/830401/825927/837210/824807/829589/833957/831158/820141/827493/844423/832170/834892/837999/816412/821808/826884/843620/822093/825706/838336/837673/842432/825434/816622/844166/828457/824359/10723040/821061/818549/831345/838310/820728/827085/819715/822474/839780/836377/834768/821005/814753/828782/820355/842733/838501/821788/817049/819961/839722/823426/823706/821717/842281/826918/819969/840181,110
GO:0012501,BP,GO:0012501,programmed cell death,68/1678,194/20875,0.350515463917526,4.36055441554133,13.9029885502788,1.01525300808026e-26,1.23657816384176e-24,9.41157349946686e-25,838508/820564/838338/843660/829955/838212/831173/837408/823729/828427/822119/830902/824608/828420/836686/824257/837365/828614/817807/837783/817746/842710/824405/836574/824408/834210/838043/817197/824188/827714/815862/829566/829589/833957/834758/831158/828416/827493/823964/832170/834892/828412/826884/843620/819827/834660/10723040/834842/824900/839561/838779/816258/844125/820355/842733/823593/821676/835203/823622/818435/839846/821607/821717/842281/834543/844252/839735/836158,68
GO:0006955,BP,GO:0006955,immune response,81/1678,272/20875,0.297794117647059,3.70467950290963,13.2744692530728,4.25027525758678e-26,4.31402938645058e-24,3.28339977501294e-24,838508/838338/815949/840190/821832/817628/836612/834101/829955/828963/831173/841403/816859/817626/817828/836614/832474/833523/5008207/2745743/824073/824608/828420/835550/836686/28720712/824257/837365/830058/832618/817923/836222/826860/824405/824408/838043/817197/815862/824807/829589/833957/831158/820141/827493/820848/823964/835828/832170/834892/826884/843620/838336/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/838438/834768/843276/814753/837675/843068/820355/842733/823593/817049/818291/818989/821676/839846/821607/821717/842281/839735/836158,81
GO:0006979,BP,GO:0006979,response to oxidative stress,106/1678,458/20875,0.231441048034935,2.879220427729,12.0225511842388,7.03682473626282e-24,6.76646252271167e-22,5.14994209230093e-22,820564/821135/843660/838122/828414/826447/842909/839488/837894/832476/830416/838212/828413/842342/838052/839969/828271/834678/837429/838107/838016/834244/822119/842368/823752/839515/824073/828053/836011/832145/841082/842405/28720712/837075/836533/828481/821047/839392/828418/836531/836103/817103/834464/837252/823846/817155/838483/831076/820264/827831/819427/824807/833954/833957/832820/831075/816415/829479/823964/826884/835538/842114/832845/826791/822462/836423/825817/837531/831765/821048/820728/827622/835019/826718/829623/836286/837405/816248/828713/818588/832672/819331/831720/825483/837304/842652/844174/838652/839666/818708/819961/841709/819767/833746/835248/840318/828805/823706/834532/842743/842280/819567/840493/840181/843864/842910,106
