,...1,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
837460,270,AT1G09380,2.28739476001034,2.51360492408947,1.00589128106341,2.4988833002232,0.012458533038067,0.0265475937604544,837460,UMAMIT25,IM_UP
841044,956,AT1G44800,337.402602005522,1.59371892669283,0.353905996257011,4.50322668603627,6.6929426530631e-06,3.08939792294069e-05,841044,SIAR1,IM_UP
818409,2558,AT2G38290,874.68571767498,1.67585657473142,0.187500635443099,8.93787144118769,3.96738262135271e-19,1.01154481210392e-17,818409,AMT2,IM_UP
820844,3338,AT3G15990,45.40918459109,1.39056661322994,0.43366589460889,3.20653902120676,0.00134342083489259,0.00372015367262922,820844,SPDT,IM_UP
822434,3688,AT3G28100,347.567243762358,1.80072944114076,0.254460994761839,7.07664230750235,1.47689084354876e-12,1.93772652725048e-11,822434,UMAMIT45,IM_UP
823730,3759,AT3G45870,9.408628725604,2.82919478685675,0.619980331226487,4.56336216547362,5.03408641475974e-06,2.39051281808024e-05,823730,UMAMIT3,IM_UP
824353,3925,AT3G51895,395.277774024582,1.16446051790025,0.404258863160308,2.88048234439943,0.00397067190557595,0.00973944231242986,824353,AST12,IM_UP
824509,3970,AT3G53410,293.006411459927,1.01397626205574,0.252931284347108,4.00890014326664,6.10022032997455e-05,0.00023097585707976,824509,LUL2,IM_UP
826685,4300,AT4G01430,66.2856468050979,3.01836925173652,0.52076314460718,5.79605005268437,6.78950077220423e-09,5.43678344278034e-08,826685,UMAMIT29,IM_UP
826383,4416,AT4G08290,254.797405939967,1.30744332699965,0.448066077960659,2.91796989620457,0.00352318361878748,0.00877668347147681,826383,UMAMIT20,IM_UP
826384,4417,AT4G08300,142.203427925734,1.47476230899621,0.492834683371871,2.99240771551669,0.00276786335765241,0.00707264376588852,826384,UMAMIT17,IM_UP
834021,6206,AT5G40230,64.2529618776223,3.56880030326254,0.352218202362097,10.132356247715,3.96966414582666e-24,1.44541704906472e-22,834021,UMAMIT37,IM_UP
834022,6207,AT5G40240,853.986835113167,2.39301478796977,0.314758504122781,7.60270098067408,2.90013073120681e-14,4.6598818291579e-13,834022,UMAMIT40,IM_UP
