,...1,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839550,4,AT1G01070,81.7045413592447,-1.09350583763785,0.365929401408427,-2.98829728747965,0.00280536529687562,0.00553807618289031,839550,UMAMIT28,H_DOWN
837653,377,AT1G11120,16.7703420432649,-2.34902921936109,0.418359046806532,-5.61486416343085,1.96716719151529e-08,8.19801855124676e-08,837653,DEG23,H_DOWN
840949,1133,AT1G43650,38.686907597001,-1.82765831581107,0.323199169534408,-5.65489793319687,1.55938911432868e-08,6.57702140523578e-08,840949,UMAMIT22,H_DOWN
843886,1982,AT1G75500,1559.04513955391,-1.86767365408172,0.187561329301292,-9.95766910502937,2.33472246626402e-23,3.85255439770264e-22,843886,UMAMIT5,H_DOWN
844134,2074,AT1G77990,96.775410907752,-2.13429923985724,0.245432335593229,-8.69608006091973,3.43546095395456e-18,3.75395681322743e-17,844134,AST56,H_DOWN
817013,2643,AT2G24762,117.011264905307,-2.95161623946759,0.363654902861168,-8.11653085451299,4.79698801823325e-16,4.3421277904588e-15,817013,AtGDU4,H_DOWN
818322,3065,AT2G37450,238.008161651568,-1.27742205167563,0.273258485490066,-4.67477542146468,2.94275465174798e-06,9.16656422841576e-06,818322,UMAMIT13,H_DOWN
819787,3650,AT3G06140,58.3627324960139,-2.07809739709645,0.283893261709146,-7.31999549614352,2.47979278356385e-13,1.75143812853889e-12,819787,LUL4,H_DOWN
820870,4025,AT3G16240,5478.58991335612,-2.65091795451816,0.424305513477644,-6.24766322924022,4.16638784959942e-10,2.08309936311452e-09,820870,AQP1,H_DOWN
821347,4099,AT3G18200,1.42337217717488,-3.20886475636153,1.39721579961088,-2.29661356338454,0.0216408242159661,0.0358413440082337,821347,UMAMIT4,H_DOWN
822431,4454,AT3G28070,268.101740858776,-1.12202317173825,0.320798281700595,-3.4975971996803,0.00046946960242811,0.00105681032821264,822431,UMAMIT46,H_DOWN
822432,4455,AT3G28080,174.436062541323,-1.51268124585859,0.419338568451646,-3.60730292814223,0.00030939636762136,0.00071631030817981,822432,UMAMIT47,H_DOWN
822437,4457,AT3G28130,248.699493360549,-1.52229939152514,0.352653562863813,-4.31669931011874,1.5837967394039e-05,4.41750549155843e-05,822437,UMAMIT44,H_DOWN
822735,4496,AT3G30340,9.41543375502666,-1.12153722877022,0.450821399584167,-2.48776395664606,0.012854902078934,0.0224319263226264,822735,UMAMIT32,H_DOWN
828176,5218,AT4G01450,132.914766304892,-1.07829021682861,0.307906472424189,-3.50200568484023,0.00046176976591249,0.00104067390514965,828176,UMAMIT30,H_DOWN
827363,5614,AT4G16620,4.9022771776506,-1.26427815872668,0.538107363382384,-2.3494905380588,0.0187991219029992,0.031513064542144,827363,UMAMIT8,H_DOWN
828681,5950,AT4G25760,15.6178977729254,-1.95116987715464,0.413031472687851,-4.72402227476074,2.31225073974805e-06,7.30482884639465e-06,828681,ATGDU2,H_DOWN
828988,6052,AT4G28700,8.64256734642355,-2.28564501191762,0.548929480231917,-4.16382266616827,3.12963220646986e-05,8.39842464079967e-05,828988,AMT1;4,H_DOWN
829301,6153,AT4G31730,17.0660452450181,-2.47357816346163,0.452651380248099,-5.46464292698247,4.63839526437591e-08,1.85577931854226e-07,829301,GDU1,H_DOWN
830882,6804,AT5G10180,1190.82094291832,-2.09499066865962,0.226409381813107,-9.2531089121959,2.18056059004312e-20,2.84234137503312e-19,830882,AST68,H_DOWN
832562,7273,AT5G24920,20.68505921496,-2.46356011155322,0.508690084017286,-4.8429489564603,1.2792616041062e-06,4.19545241578912e-06,832562,AtGDU5,H_DOWN
833868,7438,AT5G38770,2.11933120559938,-3.42500852955686,1.12809392261744,-3.03610227915248,0.00239658053347969,0.0047894649888437,833868,AtGDU7,H_DOWN
835875,8032,AT5G57685,111.755752830307,-2.04627145870049,0.357833145743481,-5.71850730722244,1.07463896401636e-08,4.62096852202154e-08,835875,ATGDU3,H_DOWN
836591,8276,AT5G64700,10.2787891474914,-1.46322130110199,0.421553297541703,-3.47102326001196,0.00051847908604294,0.00116013974468664,836591,UMAMIT21,H_DOWN
