gene_id,Cluster
AT5G06850,1
AT3G08590,1
AT4G28350,1
AT2G01970,1
AT1G61360,1
AT2G46940,1
AT5G15870,1
AT5G43350,1
AT2G32430,1
AT3G04420,1
AT1G64880,1
AT2G37840,1
AT1G69800,1
AT5G11670,1
AT4G08035,1
AT5G44240,1
AT3G49840,1
AT5G66690,1
AT5G04020,1
AT1G26130,1
AT3G26290,1
AT5G02690,1
AT4G12120,1
AT3G58900,1
AT1G64950,1
AT5G44750,1
AT3G14000,1
AT5G06100,1
AT5G63930,1
AT3G47680,1
AT4G15180,1
AT4G02880,1
AT2G36090,1
AT4G18910,1
AT4G15417,1
AT2G42480,1
AT1G05910,1
AT3G25495,1
AT4G37030,1
AT4G38230,1
AT5G58980,1
AT3G13380,1
AT2G13540,1
AT4G35420,1
AT1G69770,1
AT4G12480,1
AT4G23920,1
AT5G59490,1
AT3G53230,1
AT1G05675,1
AT5G48530,1
AT1G79640,1
AT3G48630,1
AT5G53010,1
AT2G34000,1
AT3G13782,1
AT3G57460,1
AT5G65020,1
AT3G07980,1
AT3G57470,1
AT2G24180,1
AT4G39010,1
AT2G21020,1
AT3G43690,1
AT1G14640,1
AT4G18120,1
AT4G39420,1
AT5G03435,1
AT1G70620,1
AT1G53780,1
AT2G09225,1
AT2G44480,1
AT3G61450,1
AT5G27970,1
AT5G24205,1
AT1G20920,1
AT2G35980,1
AT2G27190,1
AT3G04010,1
AT5G26030,1
AT4G00040,1
AT4G25350,1
AT1G56140,1
AT2G03810,1
AT5G04860,1
AT5G02400,1
AT4G04920,1
AT5G13840,1
AT4G26220,1
AT2G19250,1
AT1G73210,1
AT1G69720,1
AT2G45920,1
AT1G48090,1
AT4G21410,1
AT1G17590,1
AT3G13277,1
AT1G45229,1
AT1G70140,1
AT3G45650,1
ArthCp018,1
AT4G11340,1
AT1G63410,1
AT4G32810,1
AT2G28360,1
AT2G34960,1
AT4G16857,1
AT1G80590,1
AT1G01010,1
AT5G44180,1
AT1G61560,1
AT1G06573,1
AT4G32535,1
AT1G74170,1
AT1G74810,1
ArthCp021,1
AT2G41210,1
AT1G71330,1
AT3G21080,1
AT2G39280,1
AT4G37310,1
AT1G02360,1
AT5G38212,1
AT1G69680,1
AT1G78830,1
AT3G23260,1
AT5G02680,1
AT4G03205,1
AT5G64120,1
AT4G33930,1
AT3G05040,1
AT5G24230,1
AT3G55450,1
AT1G21680,1
AT1G03060,1
AT1G10050,1
AT3G21710,1
AT4G01915,1
AT2G20463,1
AT5G44660,1
AT3G02260,1
AT2G12490,1
AT1G12940,1
AT3G45660,1
AT5G01490,1
AT5G48780,1
AT5G27950,1
AT1G67650,1
AT3G22460,1
AT1G15800,1
