"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009767","BP","GO:0009767","photosynthetic electron transport chain","13/1101","46/20875",4.54726034978729e-07,0.000563376327091617,0.000535401344883423,"825866/842354/820871/838168/837358/842386/827877/843099/836751/836789/827996/828388/836525",13
"GO:0015979","BP","GO:0015979","photosynthesis","29/1101","199/20875",6.63576356998371e-07,0.000563376327091617,0.000535401344883423,"838498/818532/834495/825866/839449/837178/824699/842354/821134/844245/831799/820871/838168/837358/842386/827877/843099/842446/836751/817409/825414/837848/836789/827996/833828/828388/836525/815058/824746",29
"GO:0019748","BP","GO:0019748","secondary metabolic process","43/1101","371/20875",1.11863349539139e-06,0.000633146558391526,0.000601707069626316,"830302/835828/829894/841842/839418/821710/830018/6241037/843126/836475/843165/841143/843749/815963/838210/819055/830416/842720/831202/832383/837277/836666/818746/821508/816828/836280/837953/830088/822042/842945/817847/839602/814873/828364/825182/825068/832365/844173/834943/829551/837819/836802/824516",43
"GO:0016143","BP","GO:0016143","S-glycoside metabolic process","21/1101","125/20875",2.29033110628861e-06,0.000648163703079678,0.000615978523849201,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817847/839602/825182/825068/832365/834943/837819",21
"GO:0019757","BP","GO:0019757","glycosinolate metabolic process","21/1101","125/20875",2.29033110628861e-06,0.000648163703079678,0.000615978523849201,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817847/839602/825182/825068/832365/834943/837819",21
"GO:0019760","BP","GO:0019760","glucosinolate metabolic process","21/1101","125/20875",2.29033110628861e-06,0.000648163703079678,0.000615978523849201,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817847/839602/825182/825068/832365/834943/837819",21
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","21/1101","132/20875",5.59319607454998e-06,0.0013567495620837,0.00128937888455415,"838498/834495/825866/839449/837178/842354/844245/831799/820871/838168/837358/842386/827877/843099/842446/836751/836789/827996/828388/836525/815058",21
"GO:1901657","BP","GO:1901657","glycosyl compound metabolic process","24/1101","166/20875",6.84589839266794e-06,0.00145304193384377,0.00138088976788947,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/823847/819055/837277/821508/836280/842945/829078/817847/839602/825182/830894/825068/832365/834943/837819",24
"GO:0009733","BP","GO:0009733","response to auxin","40/1101","381/20875",2.78358138324964e-05,0.00525169020973099,0.00499091258540549,"834390/829628/841717/828358/840063/831078/843247/829417/831754/820383/834629/841160/843894/843886/828920/843575/820145/837928/815247/829883/840078/839570/831670/839568/840371/829029/836451/839822/831669/838570/832196/819339/836598/831310/816658/834409/820398/819314/838224/824516",40
"GO:0044550","BP","GO:0044550","secondary metabolite biosynthetic process","23/1101","177/20875",5.97305964679076e-05,0.0101422552802507,0.00963863204055814,"830302/835828/839418/830018/6241037/843126/836475/843749/815963/838210/830416/842720/831202/832383/837277/821508/830088/822042/828364/825068/832365/834943/829551",23
"GO:0009735","BP","GO:0009735","response to cytokinin","19/1101","135/20875",8.74160017889442e-05,0.0117396222126959,0.011156680213293,"840063/834629/843165/836412/843388/838223/840078/838487/844143/839906/838503/821705/835920/828011/843828/831793/820216/835164/819314",19
"GO:0016144","BP","GO:0016144","S-glycoside biosynthetic process","11/1101","54/20875",9.87377229396347e-05,0.0117396222126959,0.011156680213293,"835828/839418/6241037/843749/815963/838210/837277/821508/825068/832365/834943",11
"GO:0019758","BP","GO:0019758","glycosinolate biosynthetic process","11/1101","54/20875",9.87377229396347e-05,0.0117396222126959,0.011156680213293,"835828/839418/6241037/843749/815963/838210/837277/821508/825068/832365/834943",11
"GO:0019761","BP","GO:0019761","glucosinolate biosynthetic process","11/1101","54/20875",9.87377229396347e-05,0.0117396222126959,0.011156680213293,"835828/839418/6241037/843749/815963/838210/837277/821508/825068/832365/834943",11
"GO:0071368","BP","GO:0071368","cellular response to cytokinin stimulus","14/1101","83/20875",0.000103706910006148,0.0117396222126959,0.011156680213293,"843165/836412/843388/838223/840078/838487/844143/838503/821705/835920/828011/843828/831793/835164",14
"GO:0006979","BP","GO:0006979","response to oxidative stress","43/1101","458/20875",0.000188525916999369,0.020007312941558,0.0190138309710548,"832638/842342/833779/834495/829623/838016/830424/829479/838752/842909/836025/844085/838122/818420/830416/820264/836093/818746/830637/839436/824462/839622/843537/820163/831263/840493/842743/816448/826986/824072/821731/829795/820335/836451/841843/834678/824073/843660/826731/836015/824694/842991/833954",43
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","27/1101","243/20875",0.000214858828526336,0.0202683494909844,0.0192619055047295,"835828/834225/833550/838016/830424/835585/836645/842922/839952/843575/828879/819365/816103/832137/829444/842861/818194/836614/3766886/820163/821893/843997/825414/826618/841843/837890/821826",27
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","27/1101","243/20875",0.000214858828526336,0.0202683494909844,0.0192619055047295,"835828/834225/833550/838016/830424/835585/836645/842922/839952/843575/828879/819365/816103/832137/829444/842861/818194/836614/3766886/820163/821893/843997/825414/826618/841843/837890/821826",27
"GO:0044092","BP","GO:0044092","negative regulation of molecular function","13/1101","80/20875",0.000266334919776154,0.0238019312515742,0.0226200239344512,"818827/830730/841214/838054/828629/823892/839436/836583/836356/833851/825457/826848/815069",13
"GO:0009625","BP","GO:0009625","response to insect","9/1101","42/20875",0.000281434790256676,0.0238938136927918,0.0227073438664992,"6241037/819038/5008298/837277/827728/834485/834469/843660/832365",9
"GO:1901659","BP","GO:1901659","glycosyl compound biosynthetic process","11/1101","62/20875",0.000356499042579615,0.0288254940142946,0.0273941369561177,"835828/839418/6241037/843749/815963/838210/837277/821508/825068/832365/834943",11
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","26/1101","241/20875",0.000441055466714288,0.0328873466342765,0.0312542944580905,"835828/834225/833550/838016/830424/835585/836645/842922/839952/843575/828879/819365/816103/832137/829444/842861/818194/836614/3766886/820163/821893/843997/826618/841843/837890/821826",26
"GO:0009606","BP","GO:0009606","tropism","17/1101","129/20875",0.000445470537448975,0.0328873466342765,0.0312542944580905,"834277/816703/831770/831258/814823/837989/818253/832374/840847/824014/838463/832196/836598/822151/843994/838221/819314",17
"GO:0043086","BP","GO:0043086","negative regulation of catalytic activity","12/1101","75/20875",0.000524845615326087,0.0371328272843206,0.0352889617673198,"818827/841214/838054/828629/823892/839436/836583/836356/833851/825457/826848/815069",12
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","28/1101","273/20875",0.000613145226442806,0.0416448237799954,0.0395769108268135,"835828/834225/833550/838016/830424/835585/836645/842922/834978/839952/843575/828879/819365/816103/832137/829444/842861/818194/836614/3766886/820163/821893/843997/825414/826618/841843/837890/821826",28
"GO:0070482","BP","GO:0070482","response to oxygen levels","28/1101","274/20875",0.000649472749438789,0.0419164672151509,0.0398350655513151,"835828/834225/833550/838016/830424/835585/836645/842922/834978/839952/843575/828879/819365/816103/832137/829444/842861/818194/836614/3766886/820163/821893/843997/825414/826618/841843/837890/821826",28
"GO:0009736","BP","GO:0009736","cytokinin-activated signaling pathway","12/1101","77/20875",0.000670294970810628,0.0419164672151509,0.0398350655513151,"843165/836412/843388/838223/840078/838487/844143/821705/835920/828011/843828/831793",12
"GO:0140546","BP","GO:0140546","defense response to symbiont","35/1101","372/20875",0.000691202050662088,0.0419164672151509,0.0398350655513151,"824565/826860/835828/816736/828420/841026/815864/836613/830859/842500/836612/821300/835634/829883/841140/821379/843276/836614/820159/834469/824072/2745743/839602/840017/843842/839574/834678/824073/834905/824148/828608/824893/830860/842430/838043",35
"GO:0005984","BP","GO:0005984","disaccharide metabolic process","12/1101","78/20875",0.000754817593318692,0.0439796282050471,0.0417957783388117,"843319/830979/841567/834978/837530/844144/843034/840493/838877/830135/824746/836638",12
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","43/1101","490/20875",0.000777025233304718,0.0439796282050471,0.0417957783388117,"831690/830302/820006/815998/828553/835764/841026/6241037/815864/834300/836475/836464/839395/819219/815657/839347/816509/817524/832383/821249/817832/841787/834813/837953/830825/827018/817901/816124/814873/824033/832657/830894/827663/828608/836015/820216/828019/817165/816672/838224/824516/830592/841944",43
"GO:0009698","BP","GO:0009698","phenylpropanoid metabolic process","17/1101","137/20875",0.000893299535580414,0.0489297616585659,0.0465001082527937,"830302/821710/830018/843126/836475/841143/830416/842720/831202/832383/818746/830088/822042/828364/829551/836802/824516",17
"GO:0048046","CC","GO:0048046","apoplast","58/1554","331/26704",4.44089312167251e-14,1.02584631110635e-11,9.0220249735031e-12,"836842/820006/832185/825489/818558/832093/6241037/5008300/839389/834996/827260/5008301/825866/818436/837178/821963/833830/834486/844219/821134/843353/838896/838266/5008298/830416/830029/824606/814816/829883/820884/823892/842862/839436/28718327/834485/830825/842861/830088/28721130/830299/838895/820335/836751/840792/843842/837848/824073/836789/833828/818648/844173/826851/824893/826934/824746/833829/821630/816672",58
"GO:0009521","CC","GO:0009521","photosystem","18/1554","44/26704",1.2819788661473e-11,1.48068559040013e-09,1.30222063771805e-09,"818532/825866/828183/839449/837178/824699/844245/831799/837358/826892/841653/827877/843099/840021/817409/836789/836525/815058",18
"GO:0009534","CC","GO:0009534","chloroplast thylakoid","58/1554","420/26704",9.03832468498504e-10,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/3771487/820058/823831/3770591/825489/818558/818532/834495/830352/825866/828183/839449/838622/815210/843095/818436/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/834607/824858/835375/817947/820871/838168/816270/838749/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058/816672",58
"GO:0034357","CC","GO:0034357","photosynthetic membrane","52/1554","357/26704",1.02260631739338e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/831424/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/837358/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/817409/828853/830126/836789/827996/828388/822403/833608/836525/815058",52
"GO:0055035","CC","GO:0055035","plastid thylakoid membrane","49/1554","328/26704",1.30503908023567e-09,5.52086695183089e-08,4.85544461929078e-08,"838498/841652/820058/823831/3770591/818558/818532/834495/830352/825866/828183/839449/838622/815210/837178/824699/816692/820167/841033/844085/818822/821134/844245/831799/831910/824858/817947/820871/838168/843812/839918/826892/841653/827877/843099/840021/837996/842446/836751/828611/828853/830126/836789/827996/828388/822403/833608/836525/815058",49
