"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","10/750","37/20875",4.87592510677397e-07,0.000733339136058805,0.000679036728027575,"838151/822391/818599/843903/827927/841919/825320/835806/815055/820043",10
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","18/750","132/20875",1.20350259133775e-06,0.000905033948685989,0.000838017857020971,"838151/822391/818599/843903/827927/841919/842016/825320/835806/817606/815055/837974/824246/838455/819295/826551/821143/820043",18
"GO:0009642","BP","GO:0009642","response to light intensity","18/750","164/20875",2.6233225056001e-05,0.0131515901614085,0.0121777392102068,"822391/828613/836103/819340/825376/825320/28718283/817365/831501/815055/837714/832474/827208/824246/842545/835507/818854/837760",18
"GO:0019320","BP","GO:0019320","hexose catabolic process","5/750","14/20875",9.02428286196712e-05,0.0269900183882186,0.0249914573961459,"827794/839942/834475/818050/827834",5
"GO:0009768","BP","GO:0009768","photosynthesis, light harvesting in photosystem I","6/750","22/20875",9.60325800939263e-05,0.0269900183882186,0.0249914573961459,"838151/822391/818599/825320/815055/820043",6
"GO:0015979","BP","GO:0015979","photosynthesis","19/750","199/20875",0.000107672945697681,0.0269900183882186,0.0249914573961459,"838151/822391/818599/843903/827927/841919/842016/825320/835806/817606/815055/843029/837974/824246/838455/819295/826551/821143/820043",19
"GO:0046365","BP","GO:0046365","monosaccharide catabolic process","5/750","16/20875",0.000185446207493117,0.0398444422956641,0.0368940349644202,"827794/839942/834475/818050/827834",5
"GO:0009534","CC","GO:0009534","chloroplast thylakoid","61/1076","420/26704",3.42980780345984e-18,6.85961560691967e-16,6.20975728626413e-16,"842759/817046/819101/820859/818958/838151/815558/837243/827479/832987/822391/818599/816545/828996/838400/823860/826982/843903/826480/827927/841919/825376/842016/820041/825320/834396/828181/837733/817606/843942/831343/843189/825491/830593/816756/815055/835355/843029/837974/832247/821613/824246/817103/838455/822203/819295/819126/826551/835938/825360/831984/824314/828579/821143/829949/822335/827144/835507/834212/820043/831326",61
"GO:0031976","CC","GO:0031976","plastid thylakoid","61/1076","426/26704",6.92029880552718e-18,6.92029880552718e-16,6.26469155026671e-16,"842759/817046/819101/820859/818958/838151/815558/837243/827479/832987/822391/818599/816545/828996/838400/823860/826982/843903/826480/827927/841919/825376/842016/820041/825320/834396/828181/837733/817606/843942/831343/843189/825491/830593/816756/815055/835355/843029/837974/832247/821613/824246/817103/838455/822203/819295/819126/826551/835938/825360/831984/824314/828579/821143/829949/822335/827144/835507/834212/820043/831326",61
"GO:0009535","CC","GO:0009535","chloroplast thylakoid membrane","50/1076","320/26704",1.88624017439847e-16,1.25749344959898e-14,1.13836249121592e-14,"842759/817046/819101/820859/838151/815558/837243/827479/832987/822391/818599/816545/828996/838400/823860/843903/826480/827927/841919/825376/842016/825320/834396/828181/817606/831343/843189/825491/830593/815055/835355/843029/837974/832247/821613/824246/817103/838455/822203/819295/819126/826551/835938/824314/828579/821143/827144/834212/820043/831326",50
