"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019684","GO:0019684","photosynthesis, light reaction","39/1851","132/20875",8.02398629808010e-12,1.54541976101023e-08,1.41053232818882e-08,"838498/834495/825866/839449/837178/842354/844245/831799/820871/838168/837358/838151/822391/818599/842386/827877/843099/842446/836751/836789/827996/828388/836525/815058/843903/827927/841919/842016/825320/835806/817606/815055/837974/824246/838455/819295/826551/821143/820043",39
"GO:0015979","GO:0015979","photosynthesis","48/1851","199/20875",1.01152294088331e-10,9.7409659207063e-08,8.89075426986911e-08,"838498/818532/834495/825866/839449/837178/824699/842354/821134/844245/831799/820871/838168/837358/838151/822391/818599/842386/827877/843099/842446/836751/817409/825414/837848/836789/827996/833828/828388/836525/815058/824746/843903/827927/841919/842016/825320/835806/817606/815055/843029/837974/824246/838455/819295/826551/821143/820043",48
"GO:0009767","GO:0009767","photosynthetic electron transport chain","20/1851","46/20875",4.78540059771311e-10,3.07222718373182e-07,2.80407684146698e-07,"825866/842354/820871/838168/837358/842386/827877/843099/836751/836789/827996/828388/836525/842016/837974/824246/838455/819295/826551/821143",20
"GO:0019748","GO:0019748","secondary metabolic process","68/1851","371/20875",6.10133817277584e-09,2.93779433019157e-06,2.68137756540412e-06,"830302/835828/829894/841842/839418/821710/830018/6241037/843126/836475/843165/841143/843749/815963/838210/819055/830416/842720/831202/832383/837277/836666/818746/821508/816828/836280/837953/830088/822042/842945/817609/828469/836003/838289/832366/841144/842928/827011/817847/839602/814873/828364/825182/825068/832365/844173/834943/829551/837819/836802/824516/816823/819386/843665/820888/843161/829572/834951/838440/842897/838211/821201/836533/818912/820639/821479/828224/838297",68
"GO:0016143","GO:0016143","S-glycoside metabolic process","32/1851","125/20875",2.82926923146347e-08,7.78453219971234e-06,7.10508213014134e-06,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817609/832366/842928/827011/817847/839602/825182/825068/832365/834943/837819/820888/838440/842897/838211/821201/818912/820639",32
"GO:0019757","GO:0019757","glycosinolate metabolic process","32/1851","125/20875",2.82926923146347e-08,7.78453219971234e-06,7.10508213014134e-06,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817609/832366/842928/827011/817847/839602/825182/825068/832365/834943/837819/820888/838440/842897/838211/821201/818912/820639",32
"GO:0019760","GO:0019760","glucosinolate metabolic process","32/1851","125/20875",2.82926923146347e-08,7.78453219971234e-06,7.10508213014134e-06,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/819055/837277/821508/836280/842945/817609/832366/842928/827011/817847/839602/825182/825068/832365/834943/837819/820888/838440/842897/838211/821201/818912/820639",32
"GO:0006979","GO:0006979","response to oxidative stress","75/1851","458/20875",1.42271833646579e-07,3.42519439504139e-05,3.12623634460246e-05,"832638/842342/833779/834495/829623/838016/830424/829479/838752/842909/836025/844085/838122/818420/830416/820264/836093/818746/830637/839436/824462/839622/843537/817046/820919/820728/828613/816415/837662/836103/820163/831263/840493/842743/816448/826986/824072/821731/829795/820335/836451/841843/834678/824073/843660/826731/836015/824694/842991/833954/824790/826480/825376/834396/842368/817365/818708/826789/836531/832672/834464/821135/28720712/822446/837252/817103/826447/822203/836533/844045/826448/834532/835952/835571/843864",75
"GO:0009765","GO:0009765","photosynthesis, light harvesting","15/1851","37/20875",2.2173239479397e-07,4.74507324859095e-05,4.33091344217461e-05,"838498/839449/837358/838151/822391/818599/842446/815058/843903/827927/841919/825320/835806/815055/820043",15
"GO:1901657","GO:1901657","glycosyl compound metabolic process","36/1851","166/20875",3.72677374577576e-07,7.17776623436411e-05,6.55127595310054e-05,"835828/829894/841842/839418/6241037/843165/843749/815963/838210/823847/819055/837277/821508/836280/842945/817609/832366/842928/827011/829078/817847/839602/825182/830894/825068/832365/834943/837819/820888/838440/842897/838211/821201/818912/820639/829015",36
