"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G21890",1.52850852373787,-3.9734737097454,1.29897596274069,-3.05892781985113,0.00222130662390467,0.00855949841414481
"AT5G38770",1.84395978406617,-3.58068871722876,1.18817641043473,-3.01360024133003,0.00258167737520754,0.00974426065527623
"AT2G43100",244.869297030395,-2.72714352704024,0.367438319414724,-7.42204441655457,1.15326121432835e-13,5.32933638431557e-12
"AT2G43100.1",244.869297030395,-2.72714352704024,0.367438319414724,-7.42204441655457,1.15326121432835e-13,5.32933638431557e-12
"AT4G08300",175.281919926794,-2.49958746026535,0.236325467773432,-10.5768856984205,3.81426149491076e-26,9.44709272325714e-24
"AT4G31730",14.3888998216911,-2.34577177977165,0.505380260368298,-4.64159755282519,3.45725729816601e-06,3.13144095253809e-05
"AT5G57685",105.163369187365,-2.2710809572437,0.281430125889828,-8.06978623934794,7.04213510816893e-16,4.81726753367695e-14
"AT4G08290",308.295651970549,-2.0962502607152,0.279213873421205,-7.50768661682122,6.01813597140579e-14,2.91413020026634e-12
"AT1G01070",93.3621322018656,-2.08708728049592,0.326308257921339,-6.39606025845365,1.59437104675418e-10,4.05504326150393e-09
"AT3G58990",298.385515694713,-2.08375550864194,0.398591153494337,-5.2278016969876,1.7153734643181e-07,2.17941435195321e-06
"AT3G58990.1",298.385515694713,-2.08375550864194,0.398591153494337,-5.2278016969876,1.7153734643181e-07,2.17941435195321e-06
"AT1G64780",113.930423968135,-2.02073098686789,1.0223942464239,-1.97646944310958,0.0481016332693581,0.10705370725967
"AT1G44800",427.916013397107,-2.00848594742609,0.307897891689741,-6.52322085222322,6.8813421262486e-11,1.8604662501431e-09
"AT2G24762",74.0313748280835,-1.99761739762414,0.371798666912562,-5.37284712237533,7.75030357968989e-08,1.06575329633157e-06
"AT4G28420",78.0838796895815,-1.99595090491152,0.536226576092851,-3.72221555942784,0.000197482317101464,0.00107295737995521
"AT4G25760",14.0986056401342,-1.96031432223279,0.392380885391471,-4.99594754794698,5.85475735358255e-07,6.50635953867957e-06
"AT5G04230",94.7371462870067,-1.90581695383178,0.276637156396887,-6.8892298440833,5.60952437683431e-12,1.88571031625625e-10
"AT5G23020",100.114203266871,-1.83283623441386,0.249073700754175,-7.35861003736717,1.85835035846043e-13,8.23945134240852e-12
"AT3G45680",11.597886328913,-1.80712523677802,0.455558778597222,-3.96683221063725,7.28342294962735e-05,0.000450209976243747
