"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006520","GO:0006520","amino acid metabolic process","15/32","398/20875",5.18179471909973e-18,1.01563176494355e-15,4.25452619041872e-16,"830789/829623/843886/830635/819608/826458/821508/816270/821845/832872/830457/821817/825068/832365/818721",15
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","13/32","281/20875",9.97863273902648e-17,9.77906008424595e-15,4.09649133496877e-15,"829623/843886/830635/819608/826458/816270/821845/832872/830457/821817/825068/832365/818721",13
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","9/32","177/20875",4.37909846305299e-12,2.81855476066948e-10,1.18070500178421e-10,"819608/816270/821845/832872/830457/821817/825068/832365/818721",9
"GO:0170033","GO:0170033","L-amino acid metabolic process","9/32","187/20875",7.19019071599358e-12,2.81855476066948e-10,1.18070500178421e-10,"829623/830635/819608/826458/816270/821845/832872/821817/818721",9
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","9/32","187/20875",7.19019071599358e-12,2.81855476066948e-10,1.18070500178421e-10,"829623/830635/819608/826458/816270/821845/832872/821817/818721",9
"GO:0008652","GO:0008652","amino acid biosynthetic process","7/32","170/20875",5.95037583504363e-09,1.94378943944758e-07,8.14261956374391e-08,"819608/816270/821845/832872/830457/821817/818721",7
"GO:0170034","GO:0170034","L-amino acid biosynthetic process","6/32","126/20875",3.41805163559931e-08,8.3742265072183e-07,3.50800036285192e-07,"819608/816270/821845/832872/821817/818721",6
"GO:0170038","GO:0170038","proteinogenic amino acid biosynthetic process","6/32","126/20875",3.41805163559931e-08,8.3742265072183e-07,3.50800036285192e-07,"819608/816270/821845/832872/821817/818721",6
"GO:0003333","GO:0003333","amino acid transmembrane transport","5/32","64/20875",4.36344061843e-08,9.50260401346978e-07,3.98068266944491e-07,"842205/817013/841044/828681/835025",5
"GO:0006865","GO:0006865","amino acid transport","5/32","73/20875",8.51290472511424e-08,1.66852932612239e-06,6.98954282693591e-07,"842205/817013/841044/828681/835025",5
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","6/32","160/20875",1.41820135400537e-07,2.52697695804593e-06,1.0585617761954e-06,"821508/821845/832872/821817/825068/832365",6
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","5/32","92/20875",2.73057260228737e-07,4.4599352504027e-06,1.86828651735452e-06,"842205/817013/841044/828681/835025",5
"GO:1903825","GO:1903825","organic acid transmembrane transport","5/32","94/20875",3.04126395791136e-07,4.58529027500481e-06,1.92079828920717e-06,"842205/817013/841044/828681/835025",5
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process","4/32","41/20875",4.42462878810317e-07,6.19448030334443e-06,2.5948950787372e-06,"819608/816270/832872/821817",4
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","4/32","52/20875",1.16894893510419e-06,1.52742660853615e-05,6.39845732899138e-06,"830789/821508/825068/832365",4
"GO:0009069","GO:0009069","serine family amino acid metabolic process","4/32","55/20875",1.46788784585109e-06,1.79816261116758e-05,7.53258236686741e-06,"819608/816270/832872/821817",4
"GO:0046942","GO:0046942","carboxylic acid transport","5/32","144/20875",2.52497220260943e-06,2.79386684040996e-05,1.17036312326518e-05,"842205/817013/841044/828681/835025",5
"GO:0015849","GO:0015849","organic acid transport","5/32","146/20875",2.70204222666566e-06,2.79386684040996e-05,1.17036312326518e-05,"842205/817013/841044/828681/835025",5
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","4/32","64/20875",2.70834030447904e-06,2.79386684040996e-05,1.17036312326518e-05,"829623/830635/826458/818721",4
"GO:0006576","GO:0006576","biogenic amine metabolic process","4/32","71/20875",4.11066563236905e-06,4.02845231972167e-05,1.68753641749887e-05,"829623/843886/826458/830457",4
"GO:0015711","GO:0015711","organic anion transport","5/32","180/20875",7.51734241734396e-06,7.01618625618769e-05,2.93911132106681e-05,"842205/817013/841044/828681/835025",5
"GO:0009063","GO:0009063","amino acid catabolic process","4/32","89/20875",1.01320449465295e-05,9.02673095236267e-05,3.78133734846557e-05,"830789/829623/830635/819608",4
