"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003333","GO:0003333","amino acid transmembrane transport","9/30","64/20875",1.8102329444558e-16,2.87827038168472e-14,1.37196602106124e-14,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:0006865","GO:0006865","amino acid transport","9/30","73/20875",6.32923097724234e-16,5.03173862690766e-14,2.39844542295499e-14,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","9/30","92/20875",5.56689605331066e-15,2.70441580397506e-13,1.28909591450649e-13,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:1903825","GO:1903825","organic acid transmembrane transport","9/30","94/20875",6.80356177100645e-15,2.70441580397506e-13,1.28909591450649e-13,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:0046942","GO:0046942","carboxylic acid transport","9/30","144/20875",3.47455279360706e-13,1.04427622481105e-11,4.97768210436251e-12,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:0015849","GO:0015849","organic acid transport","9/30","146/20875",3.94066499928699e-13,1.04427622481105e-11,4.97768210436251e-12,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:0015711","GO:0015711","organic anion transport","9/30","180/20875",2.63853276355194e-12,5.99323870578227e-11,2.85675727783067e-11,"835875/818232/822536/844105/818060/829301/836505/833868/832562",9
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","10/30","281/20875",3.9450086120004e-12,7.8407046163508e-11,3.73737657978986e-11,"828959/832366/829715/837733/818104/819009/829949/831599/818912/835571",10
"GO:0006520","GO:0006520","amino acid metabolic process","10/30","398/20875",1.21290772284065e-10,2.14280364368515e-09,1.02139597712897e-09,"828959/832366/829715/837733/818104/819009/829949/831599/818912/835571",10
"GO:0034762","GO:0034762","regulation of transmembrane transport","4/30","26/20875",5.06727634042352e-08,8.05696938127339e-07,3.84046206853151e-07,"835875/829301/833868/832562",4
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","5/30","81/20875",1.02498178583924e-07,1.48156458134945e-06,7.06207546224164e-07,"828959/837733/818104/829949/831599",5
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","6/30","177/20875",1.7117880490843e-07,2.26811916503669e-06,1.0811292941585e-06,"832366/829715/819009/829949/818912/835571",6
"GO:0170033","GO:0170033","L-amino acid metabolic process","6/30","187/20875",2.36793574871577e-07,2.68929845747006e-06,1.28189002937997e-06,"829715/837733/818104/819009/829949/831599",6
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","6/30","187/20875",2.36793574871577e-07,2.68929845747006e-06,1.28189002937997e-06,"829715/837733/818104/819009/829949/831599",6
"GO:0009071","GO:0009071","serine family amino acid catabolic process","3/30","10/20875",3.19220542144345e-07,3.38373774673006e-06,1.61290379188722e-06,"837733/818104/829949",3
"GO:0015698","GO:0015698","inorganic anion transport","5/30","107/20875",4.14370338700695e-07,4.11780524083816e-06,1.96280686752961e-06,"823710/824353/823713/844134/843323",5
"GO:0042886","GO:0042886","amide transport","4/30","45/20875",4.95539116376948e-07,4.53729491180032e-06,2.16276222210939e-06,"820870/823710/842267/823713",4
"GO:0170035","GO:0170035","L-amino acid catabolic process","4/30","46/20875",5.42192473737146e-07,4.53729491180032e-06,2.16276222210939e-06,"837733/818104/829949/831599",4
"GO:0170040","GO:0170040","proteinogenic amino acid catabolic process","4/30","46/20875",5.42192473737146e-07,4.53729491180032e-06,2.16276222210939e-06,"837733/818104/829949/831599",4
"GO:0009069","GO:0009069","serine family amino acid metabolic process","4/30","55/20875",1.12305422675794e-06,8.92828110272562e-06,4.25578443824061e-06,"829715/837733/818104/829949",4
"GO:0006544","GO:0006544","glycine metabolic process","3/30","18/20875",2.15391335949441e-06,1.63082011504577e-05,7.77352189892718e-06,"837733/818104/829949",3
"GO:0016054","GO:0016054","organic acid catabolic process","5/30","169/20875",3.96468518026953e-06,2.74080410288198e-05,1.30644088320094e-05,"828959/837733/818104/829949/831599",5
"GO:0046395","GO:0046395","carboxylic acid catabolic process","5/30","169/20875",3.96468518026953e-06,2.74080410288198e-05,1.30644088320094e-05,"828959/837733/818104/829949/831599",5
"GO:0006857","GO:0006857","oligopeptide transport","3/30","27/20875",7.65370734727053e-06,4.75289504328168e-05,2.2655309044441e-05,"823710/842267/823713",3
"GO:0015833","GO:0015833","peptide transport","3/30","27/20875",7.65370734727053e-06,4.75289504328168e-05,2.2655309044441e-05,"823710/842267/823713",3
"GO:0009063","GO:0009063","amino acid catabolic process","4/30","89/20875",7.7720296305235e-06,4.75289504328168e-05,2.2655309044441e-05,"837733/818104/829949/831599",4
"GO:0140115","GO:0140115","export across plasma membrane","4/30","92/20875",8.86761754688748e-06,5.22204144427818e-05,2.48915580263508e-05,"835875/829301/833868/832562",4
"GO:0072348","GO:0072348","sulfur compound transport","3/30","29/20875",9.54271521089998e-06,5.41889899476106e-05,2.5829905834015e-05,"824353/828176/844134",3
"GO:0044282","GO:0044282","small molecule catabolic process","5/30","234/20875",1.9224086635717e-05,0.000105401026726862,5.02408071786433e-05,"828959/837733/818104/829949/831599",5
"GO:0051049","GO:0051049","regulation of transport","4/30","117/20875",2.29492498684063e-05,0.000121631024302553,5.79770522991317e-05,"835875/829301/833868/832562",4
