"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ath01230","Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids - Arabidopsis thaliana (thale cress)","7/18","244/5528",6.28043283043331e-06,0.000103219443968054,5.19640221349471e-05,"815864/819608/826458/816270/832872/830457/821817",7
"ath00910","Metabolism","Energy metabolism","ath00910","Nitrogen metabolism - Arabidopsis thaliana (thale cress)","4/18","43/5528",8.97560382330904e-06,0.000103219443968054,5.19640221349471e-05,"837327/830635/837852/818721",4
"ath00966","Metabolism","Biosynthesis of other secondary metabolites","ath00966","Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress)","3/18","26/5528",7.19423706900271e-05,0.000551558175290208,0.00027767230792642,"821508/825068/832365",3
"ath01210","Metabolism","Global and overview maps","ath01210","2-Oxocarboxylic acid metabolism - Arabidopsis thaliana (thale cress)","4/18","103/5528",0.000284539477792346,0.00163610199730599,0.000823666909398897,"830789/821508/825068/832365",4
"ath00270","Metabolism","Amino acid metabolism","ath00270","Cysteine and methionine metabolism - Arabidopsis thaliana (thale cress)","4/18","124/5528",0.00057838698704192,0.00266058014039283,0.0013394224963076,"816270/821845/832872/821817",4
"ath00220","Metabolism","Amino acid metabolism","ath00220","Arginine biosynthesis - Arabidopsis thaliana (thale cress)","2/18","38/5528",0.0065685352899201,0.0251793852780271,0.0126761207349335,"830635/826458",2
"ath00920","Metabolism","Energy metabolism","ath00920","Sulfur metabolism - Arabidopsis thaliana (thale cress)","2/18","42/5528",0.00798314034717497,0.0262303182835749,0.0132051945592368,"832872/821817",2
"ath01200","Metabolism","Global and overview maps","ath01200","Carbon metabolism - Arabidopsis thaliana (thale cress)","4/18","272/5528",0.0101492971572471,0.0291792293270853,0.0146897722012787,"830635/816270/832872/821817",4
"ath00330","Metabolism","Amino acid metabolism","ath00330","Arginine and proline metabolism - Arabidopsis thaliana (thale cress)","2/18","54/5528",0.0129655732771718,0.0331342428194389,0.016680854508642,"829623/826458",2
"ath00260","Metabolism","Amino acid metabolism","ath00260","Glycine, serine and threonine metabolism - Arabidopsis thaliana (thale cress)","2/18","70/5528",0.0212194084512279,0.0488046394378241,0.0245698413645796,"819608/816270",2
