row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,1439.759637406694,-6.920832991813068,0.22863252270211037,-30.270553419166667,2.799235672634875e-201,6.163357104007468e-197
AT3G26830,1830.1185059224335,-6.1103102156107925,0.2119165943958018,-28.833561774772658,8.144957917837527e-183,8.966784171747334e-179
AT1G51890,1064.759610268413,-6.295827998039832,0.24176096680232542,-26.04154045755278,1.6775101689967317e-149,1.2311806300323346e-145
AT4G00700,1560.204317675283,-6.4048442564375305,0.24625539220505457,-26.008950297844752,3.922487960887857e-149,2.159133498070721e-145
AT4G23150,1846.3740225839065,-6.3881079851150195,0.24604193391037102,-25.96349282249627,1.2803752746548388e-148,5.638260559470049e-145
AT5G38900,1751.3564669955797,-6.4836332662954925,0.2500728082798543,-25.92698226925862,3.306305030771303e-148,1.2133037361253757e-144
AT4G25070,555.5482676416198,-5.729931135485718,0.2244295464069762,-25.531090835496194,8.906106529681094e-144,2.8013521938645478e-140
AT1G30900,1318.4849099426492,-5.062607012870744,0.19963643358297892,-25.359133711264537,7.126160475924067e-142,1.9612975169862014e-138
AT4G04500,773.3581701187715,-6.574781504290444,0.27510459835588663,-23.899206133170612,3.121504310212008e-126,7.636586878027555e-123
AT1G51860,706.3095871541203,-7.034805316725025,0.2960279754250912,-23.76398820626045,7.876181525815381e-125,1.7341776483540307e-121
AT3G13950,1388.6220570210826,-7.153261555281956,0.3080603937151458,-23.22032205768185,2.8385191821957623e-119,5.68168321396239e-116
AT4G03450,776.0091826880691,-5.002827487276261,0.2179760577257015,-22.95127060959952,1.4310456053312279e-116,2.6257301781819145e-113
AT5G58940,602.5798869279784,-3.6386202863359602,0.1607412761284513,-22.6365024216199,1.8949592464869798e-113,3.209477899165409e-110
AT3G47480,1638.8742782402978,-4.9376269952580625,0.21863630478286505,-22.583747013844672,6.26092480977581e-113,9.846645890117413e-110
AT1G65690,1522.385581230463,-6.429702385792387,0.28734703277383083,-22.376087630781864,6.729661843800873e-111,9.878246298453841e-108
AT1G32960,1026.9741812574166,-7.21525963258918,0.329959708964535,-21.867092970932084,5.345673903179748e-106,7.356315500013231e-103
AT2G04430,426.9903272394887,-3.2272916033833936,0.14764854373086747,-21.85793047350385,6.53400570109773e-106,8.462690442751167e-103
AT2G29350,14247.206754705609,-7.696682806099544,0.3542283062294452,-21.72802870562849,1.1148640487810954e-104,1.3637264792256754e-101
AT5G48400,626.9346674829249,-5.950081003870789,0.27504423233615477,-21.633178610336003,8.753873261054057e-104,1.0144356919046749e-100
AT5G67340,1145.6846112124335,-4.7670033099164835,0.2208238198662141,-21.58736006289796,2.361208480516362e-103,2.599454416200463e-100
AT3G26230,728.1075385297295,-3.2887140147915335,0.15351508771887123,-21.422741332201056,8.201727341324402e-102,8.599315838156222e-99
AT5G61010,2149.854685432974,-2.7791453848274696,0.1302862984097624,-21.331064116096087,5.846274792540673e-101,5.851058108280025e-98
AT2G39210,3305.0258619919387,-4.826122702494135,0.22711056235912355,-21.250102383449356,3.2894757203947344e-100,3.149029409202229e-97
AT3G09940,561.1057668041794,-5.108697369979686,0.2417784011753602,-21.129668097500502,4.24520602605554e-99,3.89462276173712e-96
AT1G74590,1072.5183417418355,-4.928504736913439,0.23545802994262188,-20.931563634140883,2.7628335313998843e-97,2.4332827477745063e-94
AT5G09290,349.3185201302776,-6.135742901716605,0.2959055266269925,-20.735479231015155,1.6579541121975658e-95,1.4040320631679232e-92
AT2G29120,893.2815442272052,-3.1607090480394873,0.15333641167102874,-20.61290605143768,2.10223740609763e-94,1.7143356743502822e-91
AT1G36622,748.0362598849844,-5.9649694278657,0.2911299880010574,-20.489024400482013,2.697443418085262e-93,2.121153899264332e-90
