"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"AT2G42590",3336.6617260226,-0.276786704839241,0.0966273584077266,-2.86447554191969,0.00417700410381287,0.00999196740270894,"GF14","818859"
"AT2G03290",1.01378993651256,3.57165130941015,1.24676267192552,2.86474033096776,0.00417351322742895,0.00998472247488014,NA,"814858"
"AT4G17370",319.714873357665,-0.394042075488267,0.137534356543891,-2.86504467240168,0.00416950417720604,0.00997623612448247,NA,"827449"
"AT2G32235",15.049990770208,-0.859614886799189,0.299967278885509,-2.86569551850115,0.0041609423888315,0.00995685349962881,NA,"817783"
"AT5G01910",15.6372596571279,-1.17619581598902,0.410359605962077,-2.86625632469713,0.00415357785955412,0.00994033185732644,NA,"831775"
"AT4G21820",17.4099851694026,-1.24690365665552,0.434990158455265,-2.86651004032717,0.00415024994294508,0.00993346803518633,NA,"828270"
"AT1G59950",5.14821810608828,2.37571593238906,0.828752507973501,2.86661688445234,0.00414884922264115,0.00993121587525173,NA,"842289"
"AT4G09415",1.05419364313952,-3.81677654533127,1.33129591804867,-2.8669633051423,0.00414431061688343,0.00992145113989793,NA,NA
"AT5G61200",65.6210383629152,-0.76893114064688,0.268193255601537,-2.86707858824498,0.00414280124293285,0.00991893700383423,NA,"836241"
"AT1G61900",384.82699831084,-0.794083009281286,0.276955200386015,-2.86718937999542,0.0041413511432127,0.00991656424393498,NA,"842486"
"AT1G76480",2.38737816079419,3.33102243687066,1.16163396021253,2.86753189986045,0.00413687097846828,0.00990693459045381,NA,"843981"
"AT4G08115",18.9433938765711,-1.21216963238672,0.422697886384936,-2.86769740618678,0.00413470772964584,0.00990285194235279,NA,NA
"AT4G29080",206.973300311284,-0.665036210760121,0.231890400578431,-2.86789021495174,0.00413218891898255,0.00989791670425173,"IAA27","829029"
"AT3G14190",28.4031996323489,-0.881489126715032,0.307333619323836,-2.86818320968072,0.00412836396666713,0.00988985139669255,"CMR1","820636"
"AT4G33440",40.767728662166,-0.798406871586437,0.27835372290964,-2.86831756098199,0.00412661112805656,0.00988674877741235,"PGF14","829481"
"AT5G03680",21.7148745061316,-0.780141077608627,0.271921632499801,-2.86899232854965,0.00411781785964256,0.00986677577217294,"PTL","831757"
"AT1G63860",606.293756672303,0.994881402514134,0.346738521952528,2.86925547502433,0.00411439326366707,0.0098596637329124,NA,"3767624"
"AT1G50910",16.9321737622367,-1.05015512378095,0.365940382374738,-2.86974374614263,0.00410804573511011,0.00984554487119865,NA,"841513"
"AT1G63870",3.57000312367363,2.88216604358473,1.0042644516265,2.86992737711345,0.0041056608314427,0.00984092095206323,NA,"842691"
"AT3G13980",234.40442350933,-0.926823934250186,0.322931419680781,-2.8700333190445,0.0041042854842882,0.00983897455119091,"BG4","820612"
"AT5G53210",21.1429868516579,-1.0802686043593,0.376396930168353,-2.87002501289296,0.00410439330034634,0.00983897455119091,"SPCH","835402"
"AT1G76560",157.284431925391,0.75795574840693,0.264044368563748,2.87056206701086,0.00409742748196632,0.00982445676966972,"CP12-3","843989"
"AT1G50570",627.96346406003,0.46948855956985,0.16352576092687,2.87103730267801,0.00409127242433698,0.00981078770405231,NA,"841478"
"AT5G14550",223.568689388,-1.11271103679092,0.387563001305554,-2.87104556689522,0.00409116546385041,0.00981078770405231,NA,"831306"
