"UMVsIM_log2FoldChange" "UMVsIM_padj"
"AT1G01080" -1.81606842349779 3.79785309772937e-18
"AT1G01090" -0.861899971992527 4.69029736681644e-07
"AT1G01110" -1.23724448912917 0.00249115919851353
"AT1G01170" -0.75457298824269 0.00126913361686267
"AT1G01200" -1.80268447989782 0.00693609783623125
"AT1G01220" -0.658705834947516 0.00110007448664611
"AT1G01250" -1.9037829738205 0.000546390910753814
"AT1G01300" -0.937146940231897 0.000647458399044018
"AT1G01350" 0.405728459713344 0.00320142273874471
"AT1G01430" -0.889715546674198 5.05520553133762e-05
"AT1G01440" 0.475394737326751 0.000452697301526148
"AT1G01448" -0.826192588031899 0.00381425277597412
"AT1G01510" -0.432392803418446 6.56135540700469e-05
"AT1G01540" -0.737837648224705 0.00154857926593946
"AT1G01550" 0.50931580273086 0.000610716767554438
"AT1G01610" -0.596006390207452 0.00660968081939623
"AT1G01650" 0.711587100651012 0.00135430286129022
"AT1G01725" 0.831241300305577 0.00110153041164424
"AT1G01760" -0.917805318724996 0.0033585059047032
"AT1G01790" -1.15200264347838 3.5377590325513e-07
"AT1G01800" 0.375100676273848 4.56708649550869e-05
"AT1G01860" -1.28013699925482 1.07167329371834e-09
"AT1G01920" -1.11567561927178 0.000243050410747238
"AT1G01970" -1.05907452734541 1.28217522100112e-06
"AT1G02010" -0.74239949302792 0.00660692705160728
"AT1G02100" 0.613441645446055 0.000340446595598066
"AT1G02110" -0.912037816979153 0.00086266242849663
"AT1G02120" 0.780426076901076 2.81957760853143e-10
"AT1G02150" -1.23725034168195 3.47002682890759e-10
"AT1G02180" -1.47937547154845 1.44814442826563e-08
"AT1G02280" -1.04896435519465 3.01696558457815e-07
"AT1G02300" -1.12344800072439 0.00013677945808094
"AT1G02305" 0.909234021001025 0.00688528310798538
"AT1G02330" 0.468837577116835 0.00376727014385585
"AT1G02340" -1.8455365857297 0.000876993916656634
"AT1G02350" -1.68749918246526 0.00098909355726577
"AT1G04107" -1.25059788496735 0.000424230048461706
"AT1G02410" 0.60054182443724 6.97797393546457e-06
"AT1G02620" -2.22084446720231 0.00680901167229941
"AT1G02690" -0.722228169189931 0.00701986523141588
"AT1G02720" -0.86842868766629 1.47487161116616e-05
"AT1G02730" -0.998571926353991 0.000136890286688036
"AT1G02740" 0.590844826744608 1.14080354113865e-07
"AT1G02750" 0.787527916328399 1.13334926334105e-07
"AT1G02880" 0.684389686077829 0.000160897348652723
"AT1G02910" -0.626649005543304 2.07993516834282e-05
"AT1G02960" -0.578257222084717 0.00506981402891227
"AT1G02970" -1.06130146680708 0.00561348069231495
"AT1G02990" 0.374540545923366 0.000746165567101039
"AT1G03000" -0.560430926654667 0.00128232956332367
"AT1G03020" -1.59815587980434 0.000363056734835409
"AT1G03030" 0.958722017545619 1.78177913220385e-08
"AT1G03040" 0.583033431986825 0.000299762451050076
"AT1G03080" 0.634466064207076 0.00285352420292796
"AT1G03130" -1.0682420903515 8.78652170019279e-06
"AT1G03150" 0.574916473713997 0.00198478611673323
"AT1G03160" -1.09419071156889 2.07053675755874e-11
"AT1G03270" -1.55552625778446 3.20620070683577e-06
"AT1G03310" -1.62688562620394 1.49971364802626e-06
"AT1G03350" 0.540681904904724 0.00381505625021305
