gene_id	colors
AT1G01010	turquoise
AT1G01020	brown
AT1G01030	yellow
AT1G01040	brown
AT1G01046	brown
AT1G01050	grey
AT1G01060	turquoise
AT1G01070	green
AT1G01080	blue
AT1G01090	yellow
AT1G01100	red
AT1G01110	blue
AT1G01120	blue
AT1G01130	black
AT1G01140	turquoise
AT1G01150	grey
AT1G01160	turquoise
AT1G04007	brown
AT1G01170	blue
AT1G04013	green
AT1G01180	green
AT1G08765	yellow
AT1G01190	blue
AT1G01200	blue
AT1G01210	yellow
AT1G01220	yellow
AT1G01225	blue
AT1G01230	purple
AT1G01240	black
AT1G01250	blue
AT1G01260	grey
AT1G01290	purple
AT1G01300	blue
AT1G01320	brown
AT1G01340	turquoise
AT1G01350	turquoise
AT1G01355	turquoise
AT1G01360	green
AT1G01370	red
AT1G01380	blue
AT1G01390	blue
AT1G01420	yellow
AT1G01430	blue
AT1G01440	turquoise
AT1G01448	yellow
AT1G01453	turquoise
AT1G01470	turquoise
AT1G01480	turquoise
AT1G01490	black
AT1G01500	magenta
AT1G01510	blue
AT1G01520	turquoise
AT1G01530	turquoise
AT1G01540	blue
AT1G01550	turquoise
AT1G01560	turquoise
AT1G01570	grey
AT1G01580	green
AT1G01590	grey
AT1G01600	brown
AT1G01610	blue
AT1G01620	blue
AT1G01630	blue
AT1G01640	turquoise
AT1G01650	turquoise
AT1G04027	brown
AT1G01660	brown
AT1G01670	turquoise
AT1G01680	turquoise
AT1G01690	blue
AT1G01695	brown
AT1G04037	blue
AT1G01700	yellow
AT1G01710	brown
AT1G01715	pink
AT1G01720	turquoise
AT1G01725	purple
AT1G04047	brown
AT1G01730	turquoise
AT1G01740	yellow
AT1G01750	yellow
AT1G01760	yellow
AT1G01770	brown
AT1G01780	brown
AT1G01790	blue
AT1G01800	turquoise
AT1G01810	green
AT1G01820	green
AT1G01830	grey
AT1G01860	blue
AT1G01880	blue
AT1G01900	blue
AT1G01910	turquoise
AT1G01920	yellow
AT1G01930	grey
AT1G01940	greenyellow
AT1G01950	brown
AT1G01960	yellow
AT1G01970	blue
AT1G01990	green
AT1G02000	turquoise
AT1G02010	yellow
AT1G02020	brown
AT1G02030	turquoise
AT1G02050	yellow
AT1G02060	yellow
AT1G02065	brown
AT1G02070	grey
AT1G02080	brown
AT1G02090	turquoise
AT1G02100	turquoise
AT1G02110	yellow
AT1G02120	turquoise
AT1G02130	turquoise
AT1G02140	greenyellow
AT1G02145	brown
AT1G02150	blue
AT1G02160	blue
AT1G02170	turquoise
AT1G02180	blue
AT1G02205	yellow
AT1G02220	turquoise
AT1G02230	turquoise
AT1G02250	turquoise
AT1G02260	brown
AT1G02270	brown
AT1G08795	turquoise
AT1G02280	blue
AT1G02290	blue
AT1G02300	yellow
AT1G02305	turquoise
AT1G02310	turquoise
AT1G02330	turquoise
AT1G02335	green
AT1G02340	blue
AT1G02350	blue
AT1G04107	blue
AT1G02360	turquoise
AT1G02370	pink
AT1G02380	black
AT1G02390	turquoise
AT1G02400	turquoise
AT1G02405	grey
AT1G02410	purple
AT1G02420	blue
AT1G02430	turquoise
AT1G02440	turquoise
AT1G02450	turquoise
AT1G02460	grey
AT1G02470	turquoise
AT1G02475	green
AT1G02500	turquoise
AT1G02520	brown
AT1G02560	blue
AT1G02580	turquoise
AT1G02610	tan
AT1G02620	black
AT1G02630	green
AT1G02640	black
AT1G02650	black
AT1G02660	tan
AT1G02670	brown
AT1G02680	turquoise
AT1G02690	blue
AT1G02700	blue
AT1G02705	black
AT1G02720	blue
AT1G02730	blue
AT1G02740	turquoise
AT1G02750	turquoise
AT1G02770	turquoise
AT1G02780	red
AT1G02790	brown
AT1G02800	blue
AT1G02810	brown
AT1G02816	black
AT1G02820	red
AT1G02840	brown
AT1G02850	turquoise
AT1G02860	grey
AT1G02870	red
AT1G08815	grey
AT1G02880	turquoise
AT1G02890	brown
AT1G02900	green
AT1G02910	blue
AT1G02920	turquoise
AT1G02930	turquoise
AT1G02940	turquoise
AT1G02950	blue
AT1G02960	yellow
AT1G02970	blue
AT1G02990	brown
AT1G03000	yellow
AT1G03010	blue
AT1G03020	blue
AT1G03030	turquoise
AT1G03040	turquoise
AT1G03050	turquoise
AT1G03055	red
AT1G03060	brown
AT1G03070	green
AT1G03080	brown
AT1G03090	turquoise
AT1G03100	blue
AT1G03106	brown
AT1G03110	pink
AT1G03120	blue
AT1G03130	blue
AT1G03140	turquoise
AT1G03150	turquoise
AT1G03160	yellow
AT1G03170	brown
AT1G03180	brown
AT1G03190	brown
AT1G03200	grey
AT1G03210	turquoise
AT1G03220	turquoise
AT1G03230	green
AT1G03250	brown
AT1G03260	blue
AT1G03270	yellow
AT1G03280	turquoise
AT1G03290	turquoise
AT1G03310	blue
AT1G03320	blue
AT1G03330	greenyellow
AT1G03340	turquoise
AT1G03350	turquoise
AT1G03360	blue
AT1G03365	yellow
AT1G03370	turquoise
AT1G03380	turquoise
AT1G03400	turquoise
AT1G03410	turquoise
AT1G03430	turquoise
AT1G03440	blue
AT1G03457	black
AT1G03470	blue
AT1G03475	magenta
AT1G03495	brown
AT1G04187	brown
AT1G04193	brown
AT1G03502	grey
AT1G03506	brown
AT1G04197	turquoise
AT1G03510	blue
AT1G03520	blue
AT1G03530	pink
AT1G03540	pink
AT1G03550	turquoise
AT1G03545	yellow
AT1G08825	brown
AT1G03560	blue
AT1G03580	black
AT1G03590	turquoise
AT1G03600	blue
AT1G03610	black
AT1G03620	black
AT1G03630	blue
AT1G03650	brown
AT1G03660	turquoise
AT1G03670	turquoise
AT1G03680	blue
AT1G03687	blue
AT1G03710	blue
AT1G03730	purple
AT1G03740	turquoise
AT1G03750	brown
AT1G03760	red
AT1G03770	turquoise
AT1G03780	blue
AT1G03790	turquoise
AT1G03800	grey
AT1G03820	turquoise
AT1G03830	blue
AT1G03840	green
AT1G03850	turquoise
AT1G03860	pink
AT1G03870	green
AT1G03900	turquoise
AT1G03905	turquoise
AT1G03910	brown
AT1G03920	yellow
AT1G03930	blue
AT1G04217	turquoise
AT1G03935	brown
AT1G04223	grey
AT1G03940	brown
AT1G03950	turquoise
AT1G03960	yellow
AT1G03970	turquoise
AT1G03980	blue
AT1G03990	brown
AT1G04000	turquoise
AT1G04010	yellow
AT1G04020	blue
AT1G04030	brown
AT1G04040	blue
AT1G04237	turquoise
AT1G04050	yellow
AT1G04070	purple
AT1G04080	yellow
AT1G04090	blue
AT1G04100	purple
AT1G04110	blue
AT1G04120	turquoise
AT1G04130	turquoise
AT1G04140	brown
AT1G04160	yellow
AT1G04170	pink
AT1G04180	blue
AT1G04190	red
AT1G04200	brown
AT1G04210	brown
AT1G04220	grey
AT1G04247	brown
AT1G04230	turquoise
AT1G04240	blue
AT1G04250	blue
AT1G04260	turquoise
AT1G04270	red
AT1G04280	turquoise
AT1G04290	red
AT1G04300	brown
AT1G04310	grey
AT1G04330	blue
AT1G04340	turquoise
AT1G04350	green
AT1G04360	blue
AT1G04380	blue
AT1G04390	brown
AT1G04400	magenta
AT1G04410	greenyellow
AT1G04420	blue
AT1G04425	turquoise
AT1G08835	brown
AT1G04430	blue
AT1G04440	turquoise
AT1G04445	turquoise
AT1G04480	red
AT1G04267	brown
AT1G04273	brown
AT1G04277	brown
AT1G04490	turquoise
AT1G04500	purple
AT1G04510	pink
AT1G04520	blue
AT1G04530	turquoise
AT1G04540	turquoise
AT1G04550	red
AT1G04555	turquoise
AT1G04570	brown
AT1G04580	turquoise
AT1G04590	blue
AT1G04600	turquoise
AT1G04610	blue
AT1G04620	blue
AT1G04630	blue
AT1G04635	red
AT1G04640	pink
AT1G04645	turquoise
AT1G04650	yellow
AT1G04660	blue
AT1G04680	blue
AT1G04690	turquoise
AT1G04700	brown
AT1G04710	blue
AT1G04730	yellow
AT1G04750	turquoise
AT1G04760	blue
AT1G04770	brown
AT1G04778	grey
AT1G04780	turquoise
AT1G04790	brown
AT1G04800	blue
AT1G04810	brown
AT1G04820	blue
AT1G04830	brown
AT1G04840	magenta
AT1G04850	turquoise
AT1G04860	brown
AT1G04870	turquoise
AT1G04880	blue
AT1G04900	blue
AT1G04297	brown
AT1G04910	brown
AT1G04920	pink
AT1G04930	magenta
AT1G04945	turquoise
AT1G04940	blue
AT1G04950	yellow
AT1G04960	turquoise
AT1G04970	turquoise
AT1G04980	turquoise
AT1G04985	green
AT1G04990	turquoise
AT1G05000	turquoise
AT1G05010	turquoise
AT1G05020	yellow
AT1G05030	yellow
AT1G04313	pink
AT1G05035	pink
AT1G04317	brown
AT1G05055	green
AT1G05060	turquoise
AT1G05061	yellow
AT1G05065	blue
AT1G05070	blue
AT1G05085	turquoise
AT1G05087	grey
AT1G05090	grey
AT1G05100	turquoise
AT1G05120	brown
AT1G05135	blue
AT1G08865	green
AT1G05140	blue
AT1G05150	blue
AT1G05160	brown
AT1G05170	turquoise
AT1G05180	turquoise
AT1G05190	blue
AT1G05200	yellow
AT1G05205	red
