"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"AT2G14610",23132.2451219191,7.24971274898928,0.259948142443369,27.8890731083745,3.6202518292237e-171,7.97505275459689e-167,"AtCAPE9","815949"
"AT1G21240",1439.75963740669,6.87484639988922,0.247407665559528,27.7875238196089,6.13835249419553e-170,6.76108835473167e-166,"WAK3","838719"
"AT2G43570",8715.07659571864,7.46977171968176,0.276032273774602,27.0612259122326,2.81784341633247e-161,2.06914242061293e-157,"CHI","818959"
"AT3G26830",1830.11850592243,5.95852875977503,0.221882029206059,26.8544901139399,7.475297244229e-159,4.11683307482802e-155,"CYP71B15","822298"
"AT4G23150",1846.37402258391,6.18595479759374,0.248164535812778,24.9268283936452,3.80924822293231e-137,1.67827858205952e-133,"CRK7","828414"
"AT4G25070",555.54826764162,5.61885563800727,0.230049994881473,24.4244979918484,9.39458895240497e-132,3.44922333387548e-128,NA,"828610"
"AT1G51890",1064.75961026841,6.17094521968228,0.25437244588074,24.2594876906419,5.25089969827371e-130,1.65245813504674e-126,NA,"841616"
"AT5G38900",1751.35646699558,6.36252654790131,0.273339568808935,23.2770051391598,7.58090448342523e-120,2.08749681081718e-116,"PDI","833882"
"AT1G51860",706.30958715412,7.13284417758018,0.307429482470677,23.2015619330216,4.3908724306833e-119,9.88525278025632e-116,NA,"841613"
"AT5G58940",602.579886927978,3.76454529846634,0.162260501272757,23.2006265784808,4.48738153354956e-119,9.88525278025632e-116,"CRCK1","836011"
"AT2G18660",1314.87942775835,5.90359022233094,0.255311466705984,23.1230907820114,2.71255941637032e-118,5.43227012574743e-115,"AtPNP-A","816381"
"AT4G00700",1560.20431767528,6.35807082209106,0.275800262031661,23.0531717963385,1.3670065486566e-117,2.50948227169636e-114,"MCTP9","828031"
"AT3G13950",1388.62205702108,7.32893504822223,0.324327063927725,22.5973588496317,4.60079356899069e-113,7.79622165625353e-110,NA,"820608"
"AT1G30900",1318.48490994265,4.98466465904884,0.222368810882489,22.4162041397208,2.73542155516679e-111,4.30418581705494e-108,"BP80-3;3","839974"
"AT4G21840",450.504567548536,6.60859048991765,0.295265453888197,22.3818614839378,5.91241868195953e-111,8.68297807632577e-108,"ATMSRB8","828272"
"AT4G04500",773.358170118771,6.56675527315079,0.299540504864092,21.9227622525717,1.5759852904129e-106,2.16983624765661e-103,"CRK37","825780"
"AT1G32960",1026.97418125742,6.89102029038493,0.316907724761784,21.7445639596347,7.77679924836685e-105,1.00773594495455e-101,"ATSBT3.3","840190"
"AT1G66465",335.261727494255,5.61096228433125,0.262707456399614,21.3582148037558,3.27074092164818e-101,4.00284176461043e-98,NA,NA
"AT2G43000",532.768687049742,5.73453742383678,0.272047518032136,21.0791756723889,1.2351600810883e-98,1.43207060138391e-95,"ANAC042","818902"
"AT4G03450",776.009182688069,5.06374312814009,0.24261247131404,20.8717346668694,9.67582326717631e-97,1.06574355376313e-93,NA,"827913"
"AT1G66700",680.07591387427,6.82649511048543,0.328595630123331,20.7747592623896,7.32302780320901e-96,7.68185616556626e-93,"PXMT1","842988"
"AT3G15536",1039.27026734523,6.95274887055347,0.341388972174914,20.3660616986514,3.34523249836624e-92,3.34964212302318e-89,NA,NA
"AT1G65690",1522.38558123046,6.23274687895812,0.306544812264258,20.3322536529673,6.66689956308263e-92,6.38544045544119e-89,"NHL6","842880"
"AT5G53110",600.394286058338,6.06079517078695,0.298933011433869,20.2747603609103,2.14835708553219e-91,1.97192325988286e-88,"ATL96","835391"
"AT5G09290",349.318520130278,5.97851357854809,0.295022347438281,20.2646125978602,2.64030280324089e-91,2.32652921810374e-88,NA,"830788"
"AT1G65500",646.390222778988,5.43098838377413,0.269039204311097,20.186605880287,1.28387148054396e-90,1.08778480172703e-87,"STMP6","842862"
"AT5G67340",1145.68461121243,4.57060753076587,0.22685190127643,20.1479798275808,2.80322068844428e-90,2.28711661280515e-87,"PUB2","836869"
"AT1G19250",596.077224214013,8.14445041957487,0.406798119486851,20.0208654598712,3.62371817903461e-89,2.85096027735548e-86,"FMO1","838508"
"AT5G51465",670.825652550103,6.99412119525302,0.351114882032709,19.9197514920529,2.74348991715846e-88,2.08401170293392e-85,NA,NA
"AT2G39210",3305.02586199194,4.58894359223913,0.23274910317749,19.7162675584605,1.5634942703514e-86,1.14807384271903e-83,"PIC30","818506"
"AT3G47480",1638.8742782403,4.93986185347994,0.251260017942535,19.6603577995832,4.71390818339874e-86,3.34976397974487e-83,"CML47","823902"
"AT2G04430",426.990327239489,3.16206410362003,0.160897416833278,19.6526716578462,5.4848465083108e-86,3.77580261661183e-83,"atnudt5","814983"
"AT5G48400",626.934667482925,5.959872082691,0.303876621602074,19.6128022329254,1.202220553529e-85,8.02536865869402e-83,"ATGLR1.2","834895"
"AT2G13810",460.162377494944,7.41682199605649,0.381027541347416,19.4653173096848,2.16151887098221e-84,1.40047350614315e-81,"ALD1","815864"
"AT4G20110",1454.06507720607,3.96167323767875,0.204869379254273,19.3375567012469,2.59481717150388e-83,1.63317792774454e-80,"BP80-3;1","827757"
"AT1G26420",666.386509517814,5.61311641454675,0.290599698803887,19.3156305311066,3.9685577944312e-83,2.42842665704236e-80,"AtBBE7","839184"
"AT3G63380",923.350267997774,4.51155804875633,0.235305978812028,19.1731551893985,6.2030007203295e-82,3.69313250994969e-79,"ACA12","825513"
