"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G21240",1439.75963740669,6.92083274068836,0.228637558551029,30.2698855977493,2.85646121376481e-201,6.28935630046736e-197
"AT3G26830",1830.11850592243,6.11031021763156,0.211921376280553,28.8329111714639,8.29937810478598e-183,9.13678535555889e-179
"AT1G51890",1064.75961026841,6.29582742964027,0.241766386809007,26.0409542978111,1.70335089500294e-149,1.25014600020583e-145
"AT4G00700",1560.20431767528,6.40484422069766,0.246259494299875,26.0085169057415,3.96701820470808e-149,2.18364517078156e-145
"AT4G23150",1846.37402258391,6.38810822021039,0.246045954253683,25.9630695395382,1.29454500751626e-148,5.7006583950986e-145
"AT5G38900",1751.35646699558,6.48363354874079,0.250076781546244,25.9265714659793,3.34176083396347e-148,1.22631483403679e-144
"AT4G25070",555.54826764162,5.72993193730717,0.224435216152318,25.5304494345417,9.05337552981326e-144,2.84767460593469e-140
"AT1G30900",1318.48490994265,5.06260760197721,0.199642046762025,25.3584236591797,7.2558392189809e-142,1.99698834904402e-138
"AT4G04500",773.358170118771,6.57478159882703,0.2751089044947,23.8988323947679,3.14955949929672e-126,7.70522233950168e-123
"AT1G51860",706.30958715412,7.0348054726223,0.296032038461532,23.7636625724092,7.93747464021635e-125,1.74767316628284e-121
"AT3G13950",1388.62205702108,7.15326201859321,0.30806210547948,23.2201945366165,2.84695227575843e-119,5.69856320069537e-116
"AT4G03450",776.009182688069,5.00282752675128,0.217981137888676,22.9507358994807,1.4487494174463e-116,2.65821372277772e-113
"AT5G58940",602.579886927978,3.63862035794434,0.160747521089695,22.6356234502306,1.93311456152174e-113,3.27410126273736e-110
"AT3G47480",1638.8742782403,4.9376272572635,0.218640326334147,22.5833328190214,6.31987962974941e-113,9.93936497770161e-110
"AT1G65690",1522.38558123046,6.42970286486243,0.28734867249407,22.3759616115683,6.74870284251543e-111,9.90619594576698e-108
"AT1G32960",1026.97418125742,7.21526008354913,0.329961196345102,21.8669957663833,5.35707233984457e-106,7.37200117366861e-103
"AT2G04430",426.990327239489,3.22729163123823,0.147655108802162,21.8569588104287,6.67455495035957e-106,8.64472652335394e-103
