"","x"
"1","AT2G29350"
"2","AT1G73260"
"3","AT2G19500"
"4","AT2G44240"
"5","AT2G35980"
"6","AT3G01420"
"7","AT4G14630"
"8","AT4G16260"
"9","AT5G66690"
"10","AT1G15520"
"11","AT3G22600"
"12","AT4G10500"
"13","AT1G68620"
"14","AT1G26390"
"15","AT3G44300"
"16","AT2G19190"
"17","AT2G29470"
"18","AT1G09932"
"19","AT2G43570"
"20","AT1G33950"
"21","AT3G55970"
"22","AT2G45220"
"23","AT1G19250"
"24","AT3G13950"
"25","AT1G69140"
"26","AT5G46960"
"27","AT1G32960"
"28","AT2G14610"
"29","AT3G13610"
"30","AT1G14880"
"31","AT3G46080"
"32","AT3G60120"
"33","AT3G28510"
"34","AT1G66960"
"35","AT2G30770"
"36","AT1G21240"
"37","AT4G15610"
"38","AT4G15417"
"39","AT1G32350"
"40","AT1G66700"
"41","AT3G48850"
"42","AT1G51860"
"43","AT5G38900"
"44","AT2G41850"
"45","AT4G23150"
"46","AT1G13520"
"47","AT1G44130"
"48","AT1G65690"
"49","AT4G11650"
"50","AT1G33960"
"51","AT4G00700"
"52","AT1G30730"
"53","AT3G11340"
"54","AT4G23310"
"55","AT4G37990"
"56","AT1G13340"
"57","AT5G13080"
"58","AT5G51465"
"59","AT5G25260"
"60","AT1G09930"
"61","AT4G04500"
"62","AT4G23700"
"63","AT3G15536"
"64","AT3G51860"
"65","AT3G60140"
"66","AT2G36690"
"67","AT1G51890"
"68","AT3G22620"
"69","AT1G30700"
"70","AT3G26830"
"71","AT5G11210"
"72","AT2G13810"
"73","AT3G57260"
"74","AT3G61390"
"75","AT1G67980"
"76","AT4G28940"
"77","AT2G39518"
"78","AT5G02780"
"79","AT3G53150"
"80","AT3G18250"
"81","AT4G15280"
"82","AT2G18690"
"83","AT2G29460"
"84","AT2G32190"
"85","AT5G53110"
"86","AT5G43350"
"87","AT4G25810"
"88","AT4G22070"
"89","AT1G61800"
"90","AT1G14870"
"91","AT3G50770"
"92","AT2G22470"
"93","AT2G24850"
"94","AT2G45570"
"95","AT2G26400"
"96","AT2G34500"
"97","AT5G44990"
"98","AT4G21120"
"99","AT1G36622"
"100","AT4G21840"
"101","AT2G37750"
"102","AT3G25010"
"103","AT1G26420"
"104","AT2G23110"
